,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Matrícula,Origem,Potência,Quilómetros,Segmento,Tipo de Caixa,Série,Valor Fixo
915,2011,,Diesel,Usados,8053475034,Renault,,,110 cv,237 000 km,Monovolume,Manual,,Sim
916,2011,,Diesel,Usados,8036716585,Toyota,,,90 cv,212 000 km,SUV / TT,,,
917,2012,Classe 1,Diesel,Usados,8064200767,Renault,,Nacional,110 cv,220 000 km,Carrinha,Manual,,
918,2016,Classe 1,Diesel,Usados,8064200091,Peugeot,,,100 cv,139 000 km,SUV / TT,Semi-automática,,
919,2008,Classe 1,Diesel,Usados,8050139227,Peugeot,,,110 cv,210 000 km,Carrinha,,,
920,2012,Classe 1,Diesel,Usados,8038363373,Renault,,Importado,110 cv,109 000 km,Carrinha,Manual,,Sim
921,2000,,Diesel,Usados,8066429299,Ford,,,90 cv,255 909 km,Utilitário,Manual,,
922,2016,Classe 1,Eléctrico,Usados,8073617477,Renault,65-ZO-23,Importado,88 cv,53 000 km,Pequeno citadino,Automática,,
923,2016,Classe 1,Diesel,Usados,8074402375,BMW,73-SB-74,Nacional,116 cv,109 000 km,Monovolume,Manual,Série 2,
924,2018,Classe 1,Diesel,Usados,8075732526,Nissan,,Nacional,115 cv,19 180 km,SUV / TT,Manual,,
925,2018,Classe 1,Gasolina,Usados,8068023250,Fiat,,Nacional,69 cv,42 254 km,Pequeno citadino,Manual,,
926,2019,Classe 1,Gasolina,Usados,8066432572,Mazda,,Nacional,90 cv,7 500 km,Citadino,Manual,,
927,2003,,Diesel,Usados,8073202283,BMW,,Nacional,184 cv,344 000 km,SUV / TT,Automática,Série X,
928,2017,Classe 1,Gasolina,Usados,8066426067,SEAT,,Nacional,75 cv,42 017 km,Utilitário,Manual,,Sim
929,2017,Classe 1,Diesel,Usados,8053996729,Jeep,,Nacional,120 cv,60 000 km,SUV / TT,Manual,,
930,2015,Classe 1,Gasolina,Usados,8075731388,Renault,,,90 cv,29 100 km,Citadino,Manual,,Sim
931,2015,,Diesel,Usados,8075732891,Peugeot,,,120 cv,163 807 km,Carrinha,,,
932,2008,Classe 1,Diesel,Usados,8060427700,VW,,Nacional,105 cv,223 000 km,Carrinha,Manual,,Sim
933,2018,Classe 1,Diesel,Usados,8068011057,Nissan,76-VB-15,Nacional,90 cv,38 379 km,Citadino,Manual,,Sim
934,2007,,Diesel,Usados,8066059988,Opel,,Nacional,100 cv,187 500 km,Carrinha,Manual,,Sim
935,2014,Classe 1,Diesel,Usados,8075586953,Mitsubishi,,Nacional,115 cv,52 000 km,SUV / TT,Manual,,Sim
936,2015,Classe 1,Diesel,Usados,8070249679,Toyota,,Nacional,90 cv,20 900 km,Utilitário,Manual,,Sim
937,2008,Classe 2,Diesel,Usados,8041993921,BMW,,Nacional,286 cv,227 000 km,SUV / TT,Automática,Série X,Sim
938,2015,,Diesel,Usados,8074402960,Ford,,,120 cv,77 885 km,SUV / TT,Manual,,
939,2018,,Diesel,Usados,8064925358,Mercedes-Benz,,Nacional,204 cv,21 000 km,SUV / TT,Automática,Classe GLC,
940,2008,Classe 2,Diesel,Usados,8075738102,BMW,,,286 cv,206 350 km,SUV / TT,Automática,Série X,Sim
941,2013,Classe 1,Diesel,Usados,8067411974,Renault,,,110 cv,149 000 km,Carrinha,Manual,,
942,2017,Classe 1,Gasolina,Usados,8068021253,VW,51-UA-24,Nacional,115 cv,61 683 km,Utilitário,Manual,,Sim
943,2017,,Diesel,Usados,8064928862,BMW,,Nacional,231 cv,85 000 km,SUV / TT,Automática,Série X,Sim
944,2015,Classe 1,Diesel,Usados,8066363765,SEAT,,,105 cv,143 000 km,Citadino,Manual,,
945,2010,Classe 1,Gasolina,Usados,8073202206,Mitsubishi,,Nacional,95 cv,118 385 km,Citadino,Manual,,Sim
946,2008,Classe 2,Diesel,Usados,8075738102,BMW,,,286 cv,206 350 km,SUV / TT,Automática,Série X,Sim
947,2017,Classe 1,Gasolina,Usados,8068021730,Fiat,23-TX-49,Nacional,69 cv,43 037 km,Pequeno citadino,Manual,,Sim
948,2015,,Eléctrico,Usados,8060972980,BMW,00-00-00,,170 cv,12 888 km,Utilitário,,Série i,Sim
949,2017,Classe 1,Diesel,Usados,8075604364,Ford,10-TE-08,Nacional,150 cv,46 500 km,Monovolume,Automática,,Sim
950,2017,Classe 1,Diesel,Usados,8071217005,Ford,98-ZE-39,Nacional,120 cv,52 523 km,Carrinha,Automática,,
951,2017,Classe 1,Diesel,Usados,8053996729,Jeep,,Nacional,120 cv,60 000 km,SUV / TT,Manual,,
952,2015,Classe 1,Gasolina,Usados,8063373953,Porsche,,Importado,350 cv,47 500 km,Coupé,Automática,911 (Todos),
953,2017,Classe 1,Diesel,Usados,8075604364,Ford,10-TE-08,Nacional,150 cv,46 500 km,Monovolume,Automática,,Sim
954,2014,Classe 1,Diesel,Usados,8071223879,VW,,,105 cv,77 000 km,Utilitário,Manual,,
955,2011,Classe 1,Diesel,Usados,8064920970,Volvo,,Nacional,163 cv,138 000 km,SUV / TT,Manual,,Sim
956,2013,,Gasolina,Usados,8064922053,Opel,,Nacional,70 cv,40 000 km,Pequeno citadino,Manual,,Sim
957,2018,Classe 1,Diesel,Usados,8066432086,Mercedes-Benz,,Nacional,163 cv,67 000 km,Carrinha,Manual,,Sim
958,2017,,Diesel,Usados,8075730221,Mercedes-Benz,,Nacional,110 cv,17 000 km,Utilitário,Automática,Classe A,
959,2014,Classe 1,Diesel,Usados,8075586953,Mitsubishi,,Nacional,115 cv,52 000 km,SUV / TT,Manual,,Sim
960,2019,Classe 1,Gasolina,Usados,8074400059,Fiat,74-XB-20,Nacional,69 cv,20 321 km,Pequeno citadino,Automática,,
961,2019,,Diesel,Usados,8064921498,Mercedes-Benz,,Nacional,204 cv,11 050 km,SUV / TT,Automática,Classe GLC,
962,2018,,Diesel,Usados,8057947341,Mercedes-Benz,,Nacional,109 cv,32 000 km,Utilitário,Manual,Classe B,
963,2019,,Diesel,Usados,8064925898,Mercedes-Benz,,Nacional,116 cv,41 000 km,Utilitário,Automática,Classe A,Sim
