,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Potência,Quilómetros,Segmento,Série,Tipo de Caixa,Matrícula,Origem,Valor Fixo
20,2017,,Diesel,Usados,8073952063,Mercedes-Benz,150 cv,37 000 km,Carrinha,Classe C,Automática,,Nacional,
21,2012,,Diesel,Usados,8051129221,VW,140 cv,110 000 km,Cabrio,,Manual,,,
22,2013,,Diesel,Usados,8068623906,Renault,90 cv,165 000 km,Citadino,,Manual,68-TD-58,,
23,2015,,Diesel,Usados,8059400912,Audi,90 cv,123 000 km,Citadino,,Manual,38-ZC-53,,Sim
24,2018,,Eléctrico,Usados,8074358975,Citroën,67 cv,7 080 km,Carrinha,,Automática,85-VU-46,Nacional,Sim
25,2017,,Híbrido (Gasolina),Usados,8073916277,BMW,252 cv,79 904 km,Sedan,série-5,Automática,,,
26,2011,,Diesel,Usados,8074845680,Mercedes-Benz,204 cv,279 000 km,Carrinha,Classe E,Automática,,,Sim
27,2001,Classe 1,Diesel,Usados,8058056001,Saab,125 cv,180 000 km,Coupé,,Manual,,Nacional,
28,2008,,Diesel,Usados,8072569522,Mercedes-Benz,150 cv,176 000 km,Carrinha,,Manual,,Nacional,
29,2010,,Diesel,Usados,8074758304,Mercedes-Benz,160 cv,236 000 km,Sedan,Classe E,,,,Sim
30,2011,Classe 1,Diesel,Usados,8065157802,Renault,130 cv,217 000 km,Monovolume,,Manual,,Importado,
31,2013,,Diesel,Usados,8073443704,VW,160 cv,127 406 km,SUV / TT,,Manual,,,
32,1998,Classe 1,Diesel,Usados,8072158718,Land Rover,120 cv,295 000 km,SUV / TT,,Manual,,,
33,2011,,Diesel,Usados,8075680143,Mercedes-Benz,110 cv,181 200 km,Utilitário,,,,,
34,2007,Classe 1,Diesel,Usados,8056258350,Mercedes-Benz,235 cv,159 000 km,Sedan,Classe S,Automática,,,
35,2014,,Diesel,Usados,8064559111,BMW,184 cv,140 000 km,Coupé,Série 4,Automática,,Importado,
36,2013,Classe 1,Diesel,Usados,8072177175,BMW,184 cv,52 138 km,SUV / TT,Série X,Manual,,Nacional,
37,2018,Classe 1,Diesel,Usados,8075273467,Volvo,150 cv,24 945 km,Utilitário,,Manual,,,Sim
38,2016,,Diesel,Usados,8074513395,BMW,190 cv,196 000 km,Sedan,Série 5,Automática,,,
39,2017,Classe 1,Gasolina,Usados,8075275931,Audi,116 cv,45 432 km,SUV / TT,,Manual,,Nacional,
40,2015,Classe 1,Diesel,Usados,8072602202,Peugeot,120 cv,186 500 km,Carrinha,,Automática,,Importado,Sim
41,2012,,Diesel,Usados,8074116308,BMW,163 cv,174 500 km,Sedan,Série 3,Manual,,,
42,2005,,Diesel,Usados,8073711599,BMW,218 cv,219 000 km,SUV / TT,Série X,Automática,,,
43,2014,Classe 1,Diesel,Usados,8075745751,Mercedes-Benz,170 cv,85 547 km,SUV / TT,Classe GLK,Automática,,Nacional,Sim
44,2019,Classe 1,Diesel,Usados,8062817952,BMW,190 cv,59 000 km,Coupé,Série 6,Automática,,Nacional,
45,2010,,Diesel,Usados,8074752719,BMW,204 cv,240 000 km,Carrinha,Série 5,,,,
46,2018,Classe 1,Diesel,Usados,8073438580,Mercedes-Benz,204 cv,34 000 km,SUV / TT,Classe GLC,Automática,,,
47,2013,,Diesel,Usados,8073440923,Audi,177 cv,92 000 km,Carrinha,,Manual,,Nacional,
48,2018,,Diesel,Usados,8062820974,BMW,400 cv,16 000 km,SUV / TT,Série X,Automática,,,
49,2015,Classe 1,Diesel,Usados,8070682232,Mercedes-Benz,170 cv,135 000 km,Carrinha,Classe C,Manual,,,
50,2011,Classe 1,Diesel,Usados,8073085290,Chevrolet,163 cv,150 000 km,Sedan,,Manual,,Nacional,Sim
51,2016,Classe 1,Gasolina,Usados,8063099208,Peugeot,82 cv,42 500 km,Citadino,,Manual,,,
52,2012,,Diesel,Usados,8073956728,Porsche,250 cv,157 000 km,Sedan,,,,,
53,2015,Classe 1,Diesel,Usados,8074296690,SEAT,105 cv,36 000 km,Carrinha,,Manual,66-PZ-37,Nacional,
54,2015,,Diesel,Usados,8069590773,Peugeot,110 cv,150 000 km,Citadino,,Manual,,,Sim
55,2007,Classe 1,Diesel,Usados,8074841272,BMW,177 cv,311 641 km,Carrinha,Série 3,Automática,,,
56,2006,Classe 1,Gasolina,Usados,8073439947,BMW,507 cv,75 000 km,Cabrio,Série 6,Automática,,Nacional,
57,2009,,Diesel,Usados,8074754474,Toyota,90 cv,120 000 km,Utilitário,,Manual,,,
58,2011,,Diesel,Usados,8071459940,MINI,110 cv,120 000 km,Citadino,,Manual,,,
59,2011,Classe 1,Diesel,Usados,8073085290,Chevrolet,163 cv,150 000 km,Sedan,,Manual,,Nacional,Sim
60,2017,,Diesel,Usados,8072039485,Fiat,120 cv,24 500 km,SUV / TT,,Manual,,Nacional,Sim
61,2012,,Diesel,Usados,8075632052,BMW,245 cv,155 km,SUV / TT,Série X,Automática,,,
62,2014,Classe 1,Diesel,Usados,8075745751,Mercedes-Benz,170 cv,85 547 km,SUV / TT,Classe GLK,Automática,,Nacional,Sim
63,2015,Classe 1,Diesel,Usados,8074296690,SEAT,105 cv,36 000 km,Carrinha,,Manual,66-PZ-37,Nacional,
64,2016,,Diesel,Usados,8074513395,BMW,190 cv,196 000 km,Sedan,Série 5,Automática,,,
65,2016,Classe 1,Diesel,Usados,8074753240,Volvo,150 cv,137 200 km,Utilitário,,Automática,,Nacional,
66,2015,Classe 1,Diesel,Usados,8074509242,Toyota,90 cv,150 000 km,Carrinha,,Manual,,,
67,2012,,Diesel,Usados,8075632052,BMW,245 cv,155 km,SUV / TT,Série X,Automática,,,
68,2001,Classe 1,Diesel,Usados,8058056001,Saab,125 cv,180 000 km,Coupé,,Manual,,Nacional,
69,2008,Classe 1,Diesel,Usados,8073777040,Renault,85 cv,147 000 km,Citadino,,Manual,,,
70,2017,Classe 1,Diesel,Usados,8069614766,Renault,110 cv,85 230 km,Carrinha,,Manual,,,Sim
71,2012,,Diesel,Usados,8070061801,Mercedes-Benz,109 cv,55 000 km,Utilitário,Classe B,Automática,,Nacional,Sim
72,2013,,Diesel,Usados,8073956513,Renault,90 cv,159 000 km,Carrinha,,Manual,,,
73,2012,,Gasolina,Usados,8074127421,MINI,184 cv,72 000 km,Cabrio,,Manual,,,
74,2014,,Diesel,Usados,8051852531,Volvo,115 cv,146 230 km,Carrinha,,Manual,,,Sim
75,1989,Classe 1,Gasolina,Usados,8073905707,BMW,260 cv,96 500 km,Coupé,serie-m,Manual,98-79-QE,Importado,Sim
76,2015,Classe 1,Diesel,Usados,8073645597,Mercedes-Benz,136 cv,133 654 km,Carrinha,Classe CLA,Automática,,,Sim
77,2000,Classe 2,Diesel,Usados,8074623555,Land Rover,136 cv,277 000 km,SUV / TT,,Manual,,Nacional,
78,2014,Classe 1,Diesel,Usados,8074628989,Maserati,275 cv,76 000 km,Sedan,,Automática,,Importado,
79,2003,Classe 1,Gasolina,Usados,8073956020,Audi,102 cv,225 000 km,Utilitário,,Manual,75-07-VJ,Nacional,Sim
80,2018,Classe 1,Híbrido (Gasolina),Usados,8053782018,Mercedes-Benz,295 cv,60 000 km,Carrinha,Classe C,Automática,,Importado,
81,2016,Classe 1,Diesel,Usados,8073954617,VW,150 cv,125 500 km,Monovolume,,Manual,02-SH-88,Nacional,
82,2015,,Diesel,Usados,8069725565,Audi,110 cv,109 000 km,Utilitário,,,,,Sim
83,2005,Classe 1,Diesel,Usados,8073772846,BMW,231 cv,279 000 km,Sedan,Série 5,Automática,,Nacional,
84,2008,,Diesel,Usados,8074745926,Opel,150 cv,277 000 km,Carrinha,,Manual,,,
85,2018,Classe 1,Diesel,Usados,8070603527,Opel,95 cv,29 100 km,Citadino,,Manual,40-UE-70,Nacional,Sim
86,2017,Classe 1,Diesel,Usados,8063095984,BMW,116 cv,52 280 km,Citadino,Série 1,Manual,99-TC-98,Nacional,
87,2018,Classe 1,Gasolina,Usados,8043938532,BMW,450 cv,18 000 km,Cabrio,Série 4,Automática,,Nacional,
88,2016,Classe 1,Gasolina,Usados,8066230390,Mercedes-Benz,250 cv,26 000 km,Sedan,Classe CLA,Manual,,,Sim
89,2017,,Híbrido (Gasolina),Usados,8047040045,BMW,224 cv,52 000 km,Monovolume,Série 2,Automática,,,
90,2000,,Gasolina,Usados,8075262860,Porsche,320 cv,180 000 km,Coupé,911 (Todos),,,,
91,2011,,Diesel,Usados,8070573391,Audi,143 cv,115 394 km,Carrinha,,Automática,,,Sim
92,2014,Classe 1,Híbrido (Diesel),Usados,8073954587,Volvo,285 cv,157 000 km,Carrinha,,Automática,,Importado,
93,2006,Classe 1,Diesel,Usados,8074747606,Mazda,110 cv,231 423 km,Utilitário,,Manual,,Nacional,
94,2011,Classe 1,Diesel,Usados,8073773797,Renault,85 cv,274 000 km,Citadino,,Manual,,Nacional,
95,2001,,Diesel,Usados,8073953215,Chrysler,105 cv,261 000 km,Monovolume,,,,,
96,2008,Classe 1,Diesel,Usados,8073954387,Smart,45 cv,123 500 km,Cabrio,,Semi-automática,,Importado,
97,2015,Classe 1,Diesel,Usados,8071927486,Renault,75 cv,134 000 km,Citadino,,Manual,,Importado,
98,2017,Classe 2,Diesel,Usados,8060393132,Ford,136 cv,114 000 km,Carrinha,,Manual,,Nacional,Sim
99,2008,Classe 1,Diesel,Usados,8072002685,BMW,143 cv,280 000 km,Coupé,Série 1,Manual,,Importado,
100,2014,Classe 1,Eléctrico,Usados,8072810721,Tesla,421 cv,131 900 km,Sedan,,Automática,,Importado,
101,2007,Classe 1,Diesel,Usados,8071920955,Kia,140 cv,164 000 km,SUV / TT,,Manual,,Nacional,
102,1990,,Gasolina,Usados,8068891613,Nissan,175 cv,210 km,Coupé,,,,,
103,2011,,Diesel,Usados,8074746005,SEAT,75 cv,160 000 km,Carrinha,,,,,
104,2010,Classe 1,Diesel,Usados,8074112574,Opel,125 cv,121 000 km,Utilitário,,Manual,,,
105,2015,Classe 1,Diesel,Usados,8064330491,Peugeot,120 cv,95 000 km,Carrinha,,Manual,,,Sim
106,2015,Classe 1,Diesel,Usados,8075740245,BMW,150 cv,88 450 km,Carrinha,Série 3,Automática,70-QN-01,Nacional,
107,2010,Classe 1,Gasolina,Usados,8074501437,Honda,90 cv,132 000 km,Citadino,,Manual,,Nacional,
108,2018,,Diesel,Usados,8074747298,Fiat,125 cv,24 500 km,Monovolume,,Manual,,Nacional,
109,2016,,Híbrido (Gasolina),Usados,8068395348,Toyota,198 cv,62 000 km,SUV / TT,,Automática,,Nacional,
110,2011,Classe 1,Diesel,Usados,8067074348,Renault,90 cv,225 000 km,Citadino,,Manual,,,
111,2006,Classe 1,Diesel,Usados,8073772483,Audi,170 cv,247 000 km,Utilitário,,Automática,,Nacional,
112,2018,Classe 1,Diesel,Usados,8070603527,Opel,95 cv,29 100 km,Citadino,,Manual,40-UE-70,Nacional,Sim
113,2018,Classe 1,Híbrido (Gasolina),Usados,8053782018,Mercedes-Benz,295 cv,60 000 km,Carrinha,Classe C,Automática,,Importado,
114,2014,Classe 1,Eléctrico,Usados,8072810721,Tesla,421 cv,131 900 km,Sedan,,Automática,,Importado,
115,2015,Classe 1,Diesel,Usados,8075740245,BMW,150 cv,88 450 km,Carrinha,Série 3,Automática,70-QN-01,Nacional,
116,2015,Classe 1,Diesel,Usados,8073911299,Audi,150 cv,53 000 km,Sedan,,Manual,xx-QO-XX,Nacional,Sim
117,2014,,Diesel,Usados,8065232665,Jeep,1 500 cv,109 000 km,SUV / TT,,Automática,,,
118,2015,Classe 1,Diesel,Usados,8070371295,Peugeot,120 cv,162 000 km,Carrinha,,Manual,82-VU-39,,Sim
119,2009,Classe 1,Diesel,Usados,8070317971,BMW,245 cv,309 000 km,Sedan,Série 5,Automática,,Nacional,
120,2002,Classe 1,Gasolina,Usados,8074695233,Opel,75 cv,166 000 km,Citadino,,Manual,,Nacional,
121,2018,,Híbrido (Gasolina),Usados,8053549210,Toyota,122 cv,35 000 km,Sedan,,Automática,75-VG-25,Nacional,
122,2017,,Diesel,Usados,8069256918,Renault,110 cv,92 000 km,Carrinha,,Automática,,,
123,1990,Classe 1,Gasolina,Usados,8072318728,Opel,70 cv,96 000 km,Citadino,,Manual,,,Sim
124,2004,Classe 1,GPL,Usados,8065908873,Mercedes-Benz,163 cv,269 342 km,Coupé,Classe CLK,Automática,,,Sim
125,2014,Classe 1,Diesel,Usados,8068404097,BMW,143 cv,130 000 km,Carrinha,Série 3,Automática,,Nacional,Sim
126,2018,Classe 1,Híbrido (Gasolina),Usados,8064192780,Toyota,101 cv,47 900 km,Citadino,,Automática,95-UT-20,Nacional,
127,2015,,Híbrido (Gasolina),Usados,8072135838,Audi,150 cv,126 000 km,Utilitário,,Automática,,,Sim
128,2017,,Diesel,Usados,8069256918,Renault,110 cv,92 000 km,Carrinha,,Automática,,,
129,2012,Classe 1,Diesel,Usados,8053392891,Renault,95 cv,88 089 km,Citadino,,Manual,,,
130,2013,Classe 1,Diesel,Usados,8074744919,VW,140 cv,170 000 km,Carrinha,,Manual,00-SC-00,,
131,2007,Classe 1,Gasolina,Usados,8070909977,Smart,71 cv,47 640 km,Pequeno citadino,,Semi-automática,,Nacional,
132,2007,,Diesel,Usados,8073951543,Mazda,105 cv,187 517 km,Carrinha,,,,,
133,2007,Classe 1,Diesel,Usados,8069532400,Skoda,140 cv,270 000 km,Carrinha,,Manual,,Nacional,
134,2008,Classe 1,Diesel,Usados,8069265716,Ford,110 cv,217 000 km,Carrinha,,Manual,,,
135,2008,,Diesel,Usados,8074106429,BMW,177 cv,119 000 km,Sedan,Série 5,Manual,23-GB-58,Nacional,
136,2017,Classe 2,Diesel,Usados,8060393132,Ford,136 cv,114 000 km,Carrinha,,Manual,,Nacional,Sim
137,2019,Classe 1,Diesel,Usados,8067056838,Mercedes-Benz,109 cv,18 000 km,Sedan,Classe CLA,Automática,94-XR-48,Nacional,Sim
138,2014,Classe 1,Diesel,Usados,8062081793,Opel,136 cv,72 420 km,Carrinha,,Manual,90-PI-35,Nacional,
139,2017,Classe 1,Diesel,Usados,8036931563,Mercedes-Benz,286 cv,33 000 km,Sedan,Classe S,Automática,,,
140,2009,,Diesel,Usados,8074742840,Mazda,140 cv,317 000 km,Sedan,,Automática,,,Sim
141,2015,,Diesel,Usados,8075643356,Jaguar,163 cv,127 000 km,Sedan,,,,,
142,2003,,Diesel,Usados,8075256243,SEAT,75 cv,259 000 km,Citadino,,,,,
143,2014,Classe 1,Diesel,Usados,8062081793,Opel,136 cv,72 420 km,Carrinha,,Manual,90-PI-35,Nacional,
144,2019,,Diesel,Usados,8073288906,Mercedes-Benz,136 cv,12 000 km,Carrinha,Classe CLA,Automática,24-XB-05,,Sim
145,2012,Classe 1,Diesel,Usados,8067740942,Audi,177 cv,200 000 km,Carrinha,,Automática,,,Sim
146,2018,Classe 1,Diesel,Usados,8071297095,Mercedes-Benz,116 cv,25 700 km,Utilitário,Classe A,Automática,86-VS-66,Nacional,Sim
147,2015,,Diesel,Usados,8075643356,Jaguar,163 cv,127 000 km,Sedan,,,,,
148,2017,Classe 1,Diesel,Usados,8074109238,Audi,190 cv,70 000 km,SUV / TT,,Automática,07-SX-21,Nacional,
149,2007,Classe 1,Gasolina,Usados,8070909977,Smart,71 cv,47 640 km,Pequeno citadino,,Semi-automática,,Nacional,
150,2017,Classe 1,Diesel,Usados,8070856890,Peugeot,115 cv,70 000 km,Monovolume,,Manual,,Nacional,
151,2014,Classe 1,Gasolina,Usados,8064537253,Fiat,69 cv,47 721 km,Cabrio,,Manual,33-ZH-58,,
152,2015,,Diesel,Usados,8072383414,Nissan,110 cv,81 000 km,SUV / TT,,,,,
153,2006,Classe 1,Diesel,Usados,8074740921,BMW,163 cv,331 000 km,Carrinha,Série 3,Manual,,Importado,
154,2000,Classe 1,Diesel,Usados,8073528816,Citroën,50 cv,320 000 km,Citadino,,Manual,,,
155,2015,Classe 1,Diesel,Usados,8073552766,BMW,116 cv,36 236 km,Utilitário,Série 1,Automática,,,Sim
156,2006,Classe 1,Diesel,Usados,8073772483,Audi,170 cv,247 000 km,Utilitário,,Automática,,Nacional,
157,2014,,Gasolina,Usados,8064449585,Mercedes-Benz,156 cv,129 000 km,Sedan,Classe C,,,,
158,2009,Classe 1,Gasolina,Usados,8060477315,SEAT,102 cv,140 000 km,Sedan,,Manual,,,Sim
159,2010,Classe 1,Gasolina,Usados,8073773518,Nissan,115 cv,209 000 km,SUV / TT,,Manual,,Nacional,
160,2016,Classe 1,Diesel,Usados,8075294215,Opel,110 cv,57 670 km,Carrinha,,Manual,,Nacional,Sim
161,2014,Classe 1,Diesel,Usados,8068414661,Mercedes-Benz,204 cv,94 000 km,Sedan,Classe C,Automática,,Nacional,
162,2018,,Eléctrico,Usados,8074500630,BMW,170 cv,10 000 km,Utilitário,Série i,Automática,00-00-00,,Sim
163,2008,,Diesel,Usados,8072270902,Smart,45 cv,115 000 km,Pequeno citadino,,Automática,,Importado,Sim
164,2011,Classe 1,Gasolina,Usados,8075516702,Fiat,85 cv,124 900 km,Pequeno citadino,,Manual,,,
165,2007,Classe 1,Diesel,Usados,8072455842,Renault,150 cv,198 587 km,Sedan,,Manual,,Nacional,
166,2015,Classe 1,Diesel,Usados,8074279001,VW,110 cv,108 000 km,Carrinha,,Manual,,Nacional,Sim
167,2017,Classe 1,Diesel,Usados,8071943183,BMW,190 cv,67 000 km,Carrinha,Série 3,Automática,,,
168,2006,Classe 1,Gasolina,Usados,8060434442,Mercedes-Benz,70 cv,52 000 km,Utilitário,Classe A,Manual,,Nacional,
169,2019,Classe 1,Híbrido (Gasolina),Usados,8074762309,Toyota,180 cv,400 km,SUV / TT,,Automática,,Nacional,
170,2009,,Diesel,Usados,8049081786,BMW,143 cv,178 000 km,Cabrio,Série 1,Manual,,Nacional,
171,2011,Classe 1,Diesel,Usados,8075683301,BMW,313 cv,159 791 km,Sedan,Série 5,Automática,,Nacional,
172,2015,Classe 1,Diesel,Usados,8059288751,Nissan,130 cv,170 000 km,SUV / TT,,Automática,,,
173,2014,Classe 1,Diesel,Usados,8069928974,Kia,128 cv,99 000 km,Carrinha,,Manual,,Nacional,
174,2002,,Diesel,Usados,8066324749,Audi,180 cv,173 000 km,Carrinha,,Automática,,,
175,2010,,Diesel,Usados,8070649931,Opel,95 cv,184 413 km,Citadino,,,,,Sim
176,2015,Classe 1,Híbrido (Gasolina),Usados,8072606476,Audi,204 cv,149 000 km,Citadino,,Automática,,,
177,2004,,Gasolina,Usados,8064731708,Mazda,192 cv,123 350 km,Coupé,,Manual,,,
178,2012,Classe 1,Diesel,Usados,8074105038,Opel,130 cv,105 500 km,Sedan,,Manual,,Nacional,
179,2014,Classe 1,Diesel,Usados,8073618048,Toyota,90 cv,119 500 km,Carrinha,,Manual,,Nacional,
180,2015,Classe 1,Diesel,Usados,8074279001,VW,110 cv,108 000 km,Carrinha,,Manual,,Nacional,Sim
181,2012,Classe 1,Diesel,Usados,8068306855,BMW,284 cv,230 000 km,Carrinha,Série 5,Automática,,,
182,2011,Classe 1,Gasolina,Usados,8075516702,Fiat,85 cv,124 900 km,Pequeno citadino,,Manual,,,
183,1975,,Gasolina,Usados,8069236184,BMW,85 cv,13 000 km,Coupé,,,,,
184,2001,,Diesel,Usados,8072587716,Jeep,140 cv,218 000 km,SUV / TT,,,,,
185,2018,,Eléctrico,Usados,8074500630,BMW,170 cv,10 000 km,Utilitário,Série i,Automática,00-00-00,,Sim
186,2011,,Diesel,Usados,8073948785,BMW,143 cv,195 000 km,Coupé,Série 1,,,,
187,2012,,Diesel,Usados,8073429790,Mercedes-Benz,204 cv,126 000 km,Coupé,Classe E,Automática,,,
188,2011,Classe 1,Diesel,Usados,8075683301,BMW,313 cv,159 791 km,Sedan,Série 5,Automática,,Nacional,
189,2016,,Diesel,Usados,8072574175,Peugeot,120 cv,90 000 km,Carrinha,,Manual,,,
190,2013,Classe 1,Diesel,Usados,8069263234,BMW,184 cv,76 000 km,Sedan,Série 3,Automática,98-XA-19,Importado,Sim
191,2018,,Diesel,Usados,8073946054,BMW,190 cv,18 773 km,Utilitário,Série 1,Automática,,,Sim
192,2007,Classe 1,Diesel,Usados,8074104061,BMW,204 cv,215 000 km,Utilitário,Série 1,Manual,,,Sim
193,2006,,GPL,Usados,8075150418,Hummer,323 cv,89 000 km,SUV / TT,,,,,Sim
194,2013,Classe 1,Diesel,Usados,8074991355,Hyundai,75 cv,87 000 km,Citadino,,Manual,,Nacional,Sim
195,2004,Classe 1,Gasolina,Usados,8074741333,VW,75 cv,148 000 km,Utilitário,,Manual,,Nacional,
196,2011,Classe 1,Diesel,Usados,8074693367,BMW,184 cv,150 000 km,SUV / TT,Série X,Automática,,Nacional,
197,2011,Classe 1,Diesel,Usados,8073795284,Mercedes-Benz,204 cv,191 000 km,Carrinha,Classe E,Automática,,Nacional,
198,2013,Classe 1,Gasolina,Usados,8054393243,Fiat,70 cv,57 400 km,Citadino,,Manual,,,
199,2009,,Diesel,Usados,8072941729,Renault,110 cv,135 000 km,Utilitário,,,,,
200,2017,Classe 1,Diesel,Usados,8073925890,Renault,110 cv,58 000 km,Carrinha,,Manual,00-UX-00,Importado,Sim
201,2014,,Diesel,Usados,8075646848,Smart,71 cv,30 000 km,Utilitário,,,,,
202,2001,,Diesel,Usados,8072288669,Hyundai,110 cv,260 000 km,SUV / TT,,,,,
203,2007,Classe 1,Diesel,Usados,8073917604,Smart,45 cv,140 000 km,Pequeno citadino,,Automática,,,
204,2004,Classe 1,Gasolina,Usados,8066656577,BMW,228 cv,74 000 km,Cabrio,Série Z,Automática,,Nacional,
205,2012,,Diesel,Usados,8074710324,Renault,110 cv,174 000 km,Utilitário,,,,Nacional,
206,2016,Classe 1,Gasolina,Usados,8047887334,Honda,100 cv,35 987 km,Utilitário,,Manual,,,Sim
207,2010,Classe 1,Gasolina,Usados,8071698310,VW,160 cv,174 000 km,Coupé,,Manual,,,
208,2006,Classe 1,Diesel,Usados,8074712137,VW,150 cv,199 000 km,Monovolume,,,,,
209,2017,Classe 1,Diesel,Usados,8020657788,Renault,130 cv,65 000 km,Carrinha,,Manual,44-TE-92,Nacional,Sim
210,2010,Classe 1,Diesel,Usados,8072814626,Mazda,112 cv,200 000 km,Sedan,,Manual,,Nacional,
211,2015,Classe 1,Diesel,Usados,8075611039,Skoda,90 cv,68 100 km,Carrinha,,Manual,,Nacional,Sim
212,2009,Classe 1,Gasolina,Usados,8073728151,MINI,95 cv,130 000 km,Citadino,,Manual,..-zn-..,Importado,
213,2019,Classe 1,Diesel,Usados,8069249520,Peugeot,180 cv,17 960 km,Monovolume,,Automática,,Nacional,
214,2017,Classe 1,Diesel,Usados,8074714048,Renault,110 cv,52 000 km,Carrinha,,Manual,,,
215,2011,,Diesel,Usados,8058327174,BMW,165 cv,220 000 km,Carrinha,Série 3,Manual,55-MM-52,Nacional,
216,2016,Classe 1,Gasolina,Usados,8047887334,Honda,100 cv,35 987 km,Utilitário,,Manual,,,Sim
217,2009,,Diesel,Usados,8055635625,Audi,170 cv,130 000 km,Sedan,,,,,Sim
218,2016,Classe 1,Gasolina,Usados,8074793811,Ford,100 cv,31 979 km,Citadino,,Automática,,Nacional,
219,2016,,Diesel,Usados,8067542568,BMW,116 cv,52 000 km,Sedan,Série 1,,,,Sim
220,2015,,Diesel,Usados,8072989130,Renault,160 cv,105 000 km,Monovolume,,,,,
221,2012,Classe 1,Diesel,Usados,8056282033,BMW,184 cv,122 400 km,Carrinha,Série 5,Automática,,,
222,2013,,Diesel,Usados,8062705383,Renault,90 cv,153 000 km,Citadino,,Manual,,,
223,2012,Classe 1,Diesel,Usados,8059852103,Peugeot,115 cv,247 000 km,Citadino,,Manual,,Nacional,
224,2016,Classe 1,Diesel,Usados,8075196579,BMW,190 cv,48 000 km,Sedan,Série 4,Automática,,,
225,2012,Classe 1,Diesel,Usados,6009218159,Opel,130 cv,147 000 km,Carrinha,,Manual,,Importado,
226,2015,Classe 1,Diesel,Usados,8075611039,Skoda,90 cv,68 100 km,Carrinha,,Manual,,Nacional,Sim
227,2014,,Diesel,Usados,8075646848,Smart,71 cv,30 000 km,Utilitário,,,,,
228,2016,Classe 1,Diesel,Usados,8071949089,Mercedes-Benz,109 cv,84 234 km,SUV / TT,Classe GLA,Manual,,,Sim
229,2018,Classe 1,Diesel,Usados,8056843191,Renault,130 cv,40 000 km,Sedan,,Manual,,Nacional,Sim
230,2014,Classe 1,Diesel,Usados,8075187567,Mercedes-Benz,177 cv,44 000 km,Utilitário,Classe A,Automática,86-OZ-02,Nacional,
231,2014,Classe 1,Diesel,Usados,8072829086,Audi,90 cv,81 000 km,Citadino,,Manual,,Nacional,
232,2000,Classe 2,Diesel,Usados,8067896347,Land Rover,125 cv,193 000 km,SUV / TT,,Manual,,Nacional,Sim
233,2006,Classe 1,Diesel,Usados,8072603078,Mercedes-Benz,235 cv,146 950 km,Sedan,Classe S,Automática,,Nacional,Sim
234,2007,Classe 1,Diesel,Usados,8075214217,VW,140 cv,281 350 km,Carrinha,,Manual,,,
235,2009,,Diesel,Usados,8075213003,Chatenet,5 cv,6 200 km,Pequeno citadino,,Automática,,,
