,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Potência,Quilómetros,Segmento,Série,Tipo de Caixa,Matrícula,Origem,Valor Fixo
0,2013,Classe 1,Diesel,Usados,8048399330,Mercedes-Benz,136 cv,151 000 km,Sedan,Classe A,Manual,,,
1,2009,Classe 1,Gasolina,Usados,8055541960,Porsche,385 cv,87 000 km,Coupé,911 (Todos),Automática,01-IJ-82,Nacional,
2,2014,Classe 1,Diesel,Usados,8059906129,Peugeot,150 cv,131 000 km,Sedan,,Automática,,Importado,
3,2018,,Eléctrico,Usados,8074358975,Citroën,67 cv,7 080 km,Carrinha,,Automática,85-VU-46,Nacional,Sim
4,2017,Classe 1,Diesel,Usados,8074757170,MINI,85 cv,74 048 km,Carrinha,,Automática,30-SL-78,Nacional,
5,2018,,Diesel,Usados,8074754446,Jeep,120 cv,35 000 km,SUV / TT,,Manual,,,
6,2011,Classe 1,Diesel,Usados,8074758735,Citroën,71 cv,65 000 km,Citadino,,Manual,,Nacional,
7,2010,Classe 1,Diesel,Usados,8074761416,Chevrolet,150 cv,39 999 km,Sedan,,Manual,,,
8,2009,,Diesel,Usados,8072523604,Audi,170 cv,245 000 km,Coupé,,Manual,,Nacional,Sim
9,2015,Classe 1,Eléctrico,Usados,8074757262,Nissan,109 cv,20 400 km,Utilitário,,Automática,,,
10,2015,Classe 1,Diesel,Usados,8063855365,Mercedes-Benz,170 cv,136 500 km,Carrinha,Classe C,Manual,,,
11,2017,Classe 1,Gasolina,Usados,8075708522,Ford,125 cv,35 000 km,Utilitário,,Manual,05-TV-42,Nacional,
12,2017,Classe 1,Gasolina,Usados,8075708522,Ford,125 cv,35 000 km,Utilitário,,Manual,05-TV-42,Nacional,
13,2015,,Diesel,Usados,8059400912,Audi,90 cv,123 000 km,Citadino,,Manual,38-ZC-53,,Sim
14,2011,,Diesel,Usados,8075680143,Mercedes-Benz,110 cv,181 200 km,Utilitário,,,,,
15,2001,,Diesel,Usados,8074758135,Mercedes-Benz,143 cv,436 000 km,Sedan,Classe C,,,,
16,2014,,Gasolina,Usados,8074745510,SEAT,85 cv,81 000 km,Citadino,,Manual,,,
17,2011,,Diesel,Usados,8074753353,Alfa Romeo,85 cv,115 000 km,Utilitário,,,,,
18,2009,,Gasolina,Usados,8074757214,BMW,420 cv,80 000 km,Coupé,Série 3,Manual,,,
19,2017,Classe 1,Diesel,Usados,8072568204,Mazda,105 cv,90 000 km,Utilitário,,Manual,70-SJ-89,Nacional,
