,Ano de Registo,Classe do veículo,Combustível,Condição,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Matrícula,Série,Origem
647,2017,Classe 1,Gasolina,Usados,Nissan,80 cv,62 134 km,Citadino,Manual,Sim,,,Nacional
648,2016,Classe 1,Diesel,Usados,Volvo,120 cv,86 600 km,Utilitário,Manual,,,,Importado
649,2014,,Diesel,Usados,SEAT,110 cv,159 249 km,Citadino,Manual,Sim,,,Importado
650,2017,Classe 1,Diesel,Usados,SEAT,90 cv,62 000 km,Citadino,Manual,Sim,66-SV-15,,Nacional
651,2019,Classe 1,Gasolina,Usados,Renault,90 cv,19 500 km,Citadino,Manual,,,,Nacional
652,2016,Classe 1,Diesel,Usados,Renault,130 cv,63 000 km,Sedan,Manual,,,,Nacional
653,2015,Classe 1,Diesel,Usados,VW,150 cv,205 143 km,Carrinha,Manual,,,,Nacional
654,2015,Classe 1,Diesel,Usados,Ford,120 cv,93 675 km,Carrinha,Manual,Sim,,,
655,2015,,Diesel,Usados,VW,110 cv,192 000 km,Carrinha,,,,,
656,2017,,Diesel,Usados,Opel,110 cv,54 000 km,Carrinha,Manual,Sim,,,
657,2009,Classe 1,Diesel,Usados,Skoda,105 cv,152 900 km,Carrinha,Manual,Sim,,,
658,2016,Classe 1,Diesel,Usados,Renault,90 cv,117 015 km,Citadino,Manual,,,,
659,2016,Classe 1,Diesel,Usados,Opel,136 cv,112 843 km,Carrinha,Manual,,,,Nacional
660,2015,,Diesel,Usados,VW,110 cv,192 000 km,Carrinha,,,,,
661,2011,Classe 1,Diesel,Usados,Renault,110 cv,125 232 km,Monovolume,Manual,,,,Nacional
662,2018,Classe 1,Diesel,Usados,Dacia,90 cv,1 792 km,Utilitário,Automática,Sim,,,Nacional
663,2015,,Diesel,Usados,VW,150 cv,106 634 km,Sedan,Automática,Sim,45QJ66,,
664,2004,Classe 2,Diesel,Usados,Mazda,136 cv,337 000 km,Carrinha,Manual,,82-96-XV,,
665,2014,,Diesel,Usados,Renault,110 cv,140 000 km,Monovolume,Manual,Sim,,,
666,2014,Classe 1,Diesel,Usados,Opel,165 cv,220 754 km,Monovolume,Manual,,,,Nacional
667,2015,Classe 1,Diesel,Usados,Peugeot,180 cv,183 232 km,Sedan,Automática,,,,Nacional
668,2011,Classe 1,Diesel,Usados,Mercedes-Benz,265 cv,133 765 km,Monovolume,Automática,,,Classe R,Nacional
669,2015,Classe 1,Diesel,Usados,Renault,160 cv,110 834 km,Monovolume,Automática,Sim,,,
670,2018,Classe 1,Diesel,Usados,Dacia,90 cv,1 792 km,Utilitário,Automática,Sim,,,Nacional
671,2017,Classe 1,Eléctrico,Usados,BMW,170 cv,21 051 km,Utilitário,Automática,Sim,,Série i,
672,2007,Classe 1,Diesel,Usados,Renault,120 cv,244 321 km,Monovolume,Manual,,,,Nacional
673,2015,Classe 1,Diesel,Usados,Ford,150 cv,145 332 km,Monovolume,Manual,,,,
674,2011,Classe 1,Diesel,Usados,Mercedes-Benz,204 cv,224 000 km,Sedan,Automática,,,,Importado
675,2013,Classe 1,Diesel,Usados,MINI,150 cv,110 000 km,Carrinha,Manual,,,,Importado
676,2015,,Diesel,Usados,VW,150 cv,106 634 km,Sedan,Automática,Sim,45QJ66,,
677,2011,Classe 1,Diesel,Usados,Renault,110 cv,143 332 km,Carrinha,Manual,,,,
678,2010,Classe 1,Diesel,Usados,Opel,125 cv,126 443 km,Carrinha,Manual,,,,Nacional
679,2012,Classe 1,Diesel,Usados,Peugeot,92 cv,174 321 km,Citadino,Manual,,,,
680,2008,Classe 1,Diesel,Usados,Volvo,110 cv,195 242 km,Carrinha,Manual,,,,Nacional
681,2015,,Híbrido (Gasolina),Usados,VW,204 cv,121 649 km,Utilitário,Automática,Sim,,,Importado
682,2016,Classe 1,Gasolina,Usados,Peugeot,110 cv,59 400 km,SUV / TT,Automática,Sim,,,
683,2013,Classe 1,Diesel,Usados,BMW,184 cv,220 414 km,Sedan,Automática,Sim,,Série 3,
684,2011,,Diesel,Usados,Renault,110 cv,124 223 km,Monovolume,Manual,,,,
685,2019,Classe 1,Gasolina,Usados,Renault,90 cv,19 500 km,Citadino,Manual,,,,Nacional
686,2005,Classe 1,Diesel,Usados,Audi,225 cv,217 000 km,Sedan,Automática,Sim,,,
687,2014,Classe 1,Diesel,Usados,BMW,190 cv,212 000 km,Sedan,Automática,,,Série 5,
688,2015,Classe 1,Diesel,Usados,Citroën,100 cv,80 986 km,Utilitário,Manual,,,,
689,1999,,Gasolina,Usados,VW,75 cv,159 500 km,Carrinha,Manual,,,,
690,2013,,Híbrido (Diesel),Usados,Volvo,284 cv,176 582 km,Carrinha,Automática,Sim,,,
691,2017,Classe 1,Diesel,Usados,Volvo,120 cv,98 960 km,Utilitário,Manual,,00-TS-00,,Nacional
692,2013,,Diesel,Usados,Mercedes-Benz,110 cv,146 648 km,Utilitário,Automática,,,Classe A,
693,2015,Classe 1,Diesel,Usados,Fiat,90 cv,51 324 km,Monovolume,Automática,,,,
694,2015,Classe 1,Híbrido (Gasolina),Usados,BMW,170 cv,64 051 km,Utilitário,Automática,,,Série i,
695,2017,Classe 1,Gasolina,Usados,Fiat,69 cv,38 566 km,Pequeno citadino,Manual,Sim,,,Nacional
696,2013,Classe 1,Diesel,Usados,BMW,184 cv,218 000 km,Carrinha,Automática,,,Série 3,Nacional
697,2015,Classe 1,Diesel,Usados,Renault,90 cv,147 000 km,Carrinha,,Sim,,,Importado
698,2014,Classe 1,Diesel,Usados,Jaguar,275 cv,154 000 km,Carrinha,Automática,Sim,,,Nacional
699,2008,Classe 1,Diesel,Usados,Renault,150 cv,146 000 km,Sedan,Manual,,,,Nacional
700,2015,Classe 1,Diesel,Usados,VW,240 cv,146 500 km,Carrinha,Automática,,00-PU-67,,Nacional
701,2017,Classe 1,Diesel,Usados,Mercedes-Benz,204 cv,42 665 km,SUV / TT,Automática,,,Classe GLC,Nacional
702,2015,Classe 1,Diesel,Usados,Nissan,110 cv,43 350 km,SUV / TT,Manual,Sim,,,Nacional
703,1996,,Diesel,Usados,BMW,143 cv,400 000 km,Sedan,,,,Série 5,
704,2019,Classe 1,Gasolina,Usados,Ford,85 cv,16 000 km,Citadino,Manual,Sim,81-XE-91,,Nacional
705,2010,Classe 1,Gasolina,Usados,Ford,82 cv,68 000 km,Citadino,Manual,Sim,77-LE-20,,Nacional
706,2013,Classe 1,Diesel,Usados,Volvo,114 cv,110 000 km,Carrinha,Automática,Sim,,,Importado
707,2015,Classe 1,Diesel,Usados,Citroën,120 cv,170 000 km,Monovolume,Manual,,21-XL-53,,
708,2011,Classe 1,Diesel,Usados,Citroën,115 cv,113 222 km,Utilitário,Automática,,,,Nacional
709,2018,Classe 1,Diesel,Usados,BMW,190 cv,80 000 km,Coupé,Automática,Sim,51-UD-80,Série 4,Nacional
710,2018,Classe 1,Diesel,Usados,Fiat,120 cv,73 421 km,Carrinha,Manual,,,,Nacional
711,2010,,Gasolina,Usados,Toyota,50 cv,196 000 km,Pequeno citadino,,Sim,,,
712,2018,,Gasolina,Usados,MINI,196 cv,22 953 km,Utilitário,Automática,,EN18MVV,,Nacional
713,2015,,Diesel,Usados,Citroën,120 cv,166 976 km,Monovolume,Manual,Sim,60-ZP-96,,
714,2006,Classe 1,Diesel,Usados,Lexus,177 cv,202 500 km,Sedan,Manual,,44-BT-83,IS,Nacional
715,1987,Classe 2,Diesel,Usados,UMM,110 cv,165 000 km,SUV / TT,Manual,,OD-67-88,,Nacional
716,2014,Classe 2,Diesel,Usados,Land Rover,190 cv,115 000 km,SUV / TT,Automática,,,,Importado
717,2015,,Diesel,Usados,Citroën,120 cv,166 976 km,Monovolume,Manual,Sim,60-ZP-96,,
718,2008,Classe 1,Diesel,Usados,Opel,90 cv,135 000 km,Utilitário,Manual,Sim,,,Nacional
719,2015,Classe 1,Diesel,Usados,Mercedes-Benz,204 cv,187 000 km,Carrinha,Automática,Sim,,Classe CLS,Nacional
720,2004,Classe 1,Gasolina,Usados,Opel,90 cv,200 000 km,Cabrio,Manual,Sim,,,Nacional
721,2010,Classe 1,Diesel,Usados,Ford,109 cv,179 000 km,Carrinha,Manual,Sim,07-JU-11,,Nacional
722,2016,,Diesel,Usados,Renault,90 cv,123 000 km,Carrinha,Manual,,,,
723,2017,,Diesel,Usados,Renault,160 cv,100 000 km,Monovolume,Automática,,,,
724,2014,,Diesel,Usados,Peugeot,115 cv,39 900 km,Utilitário,,Sim,,,
725,2019,Classe 1,Híbrido (Gasolina),Usados,Mazda,122 cv,13 300 km,Utilitário,Manual,Sim,,,Nacional
726,2017,Classe 1,Diesel,Usados,Volvo,120 cv,98 960 km,Utilitário,Manual,,00-TS-00,,Nacional
727,2018,,Gasolina,Usados,MINI,196 cv,22 953 km,Utilitário,Automática,,EN18MVV,,Nacional
728,2016,,Diesel,Usados,Dacia,110 cv,88 000 km,SUV / TT,,,,,
729,2015,Classe 1,Diesel,Usados,BMW,218 cv,103 322 km,SUV / TT,Automática,,,Série X,Nacional
730,2015,Classe 1,Diesel,Usados,Renault,90 cv,147 000 km,Carrinha,,Sim,,,Importado
731,2008,Classe 2,Diesel,Usados,BMW,286 cv,140 000 km,SUV / TT,Automática,,,Série X,Nacional
732,2018,Classe 1,Gasolina,Usados,Fiat,69 cv,37 338 km,Pequeno citadino,Manual,,83-UX-31,,Nacional
733,2015,Classe 1,Diesel,Usados,BMW,116 cv,39 865 km,SUV / TT,Manual,,55-QM-86,Série 2,Nacional
734,2017,Classe 1,Diesel,Usados,BMW,258 cv,47 000 km,Sedan,Automática,Sim,,Série 4,Nacional
735,2010,,Diesel,Usados,Volvo,110 cv,100 000 km,Carrinha,,,,,
736,2015,Classe 1,Diesel,Usados,BMW,116 cv,56 171 km,Monovolume,Manual,,07-QM-12,Série 2,Nacional
737,2015,Classe 1,Diesel,Usados,Audi,218 cv,217 000 km,Carrinha,Automática,Sim,52-PU-93,,Nacional
738,2015,,Diesel,Usados,BMW,190 cv,60 000 km,Utilitário,Manual,,,Série 1,Nacional
739,2014,,Diesel,Usados,Audi,136 cv,76 130 km,Sedan,Manual,Sim,,,Nacional
