,Ano de Registo,Classe do veículo,Combustível,Condição,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Matrícula,Série,Origem
0,2012,Classe 1,Diesel,Usados,Porsche,250 cv,113 000 km,Sedan,Automática,Sim,,,
1,2013,Classe 1,Diesel,Usados,Citroën,115 cv,104 000 km,Citadino,Manual,Sim,00-00-00,,
2,2018,Classe 1,Diesel,Usados,BMW,190 cv,35 000 km,Sedan,Automática,Sim,00-00-00,Série 5,
3,2017,Classe 1,Gasolina,Usados,Audi,310 cv,16 000 km,Utilitário,Manual,Sim,00-00-00,,Nacional
4,2016,Classe 1,Diesel,Usados,Nissan,130 cv,44 741 km,SUV / TT,Manual,Sim,,,
5,1994,,Diesel,Usados,Komatsu,,22 957 km,Transportes,,,,,
6,2016,,Diesel,Usados,Mercedes-Benz,109 cv,75 000 km,Utilitário,,Sim,00-00-00,Classe A,
7,2015,Classe 1,Diesel,Usados,Peugeot,120 cv,61 150 km,Citadino,Manual,Sim,,,
8,2011,Classe 1,Diesel,Usados,Opel,95 cv,99 000 km,Carrinha,,Sim,,,Nacional
9,2014,Classe 1,Diesel,Usados,BMW,163 cv,58 044 km,SUV / TT,Manual,Sim,,Série X,Nacional
10,2014,Classe 2,Diesel,Usados,Porsche,240 cv,35 171 km,SUV / TT,Automática,Sim,,,
11,2019,Classe 1,Diesel,Usados,Peugeot,102 cv,24 000 km,Carrinha,Manual,,,,Nacional
12,2012,Classe 1,Diesel,Usados,BMW,190 cv,107 000 km,Carrinha,Manual,Sim,,Série 3,Nacional
13,2019,Classe 1,Gasolina,Usados,Peugeot,68 cv,17 000 km,Pequeno citadino,Manual,,,,
14,2015,Classe 1,Diesel,Usados,Renault,90 cv,115 000 km,Citadino,Manual,Sim,57-ZL-51,,
15,2017,Classe 1,Diesel,Usados,Mercedes-Benz,194 cv,82 000 km,Carrinha,Automática,Sim,,Classe E,
16,2019,Classe 1,Diesel,Usados,Peugeot,130 cv,25 000 km,Carrinha,Manual,Sim,,,Nacional
17,2007,,Diesel,Usados,Ford,115 cv,200 000 km,Monovolume,Manual,Sim,,,
18,2018,,Diesel,Usados,Peugeot,130 cv,43 000 km,Carrinha,Manual,Sim,18-VQ-03,,Nacional
19,2003,,Diesel,Usados,Peugeot,90 cv,245 000 km,Citadino,,,,,
20,2019,Classe 1,Diesel,Usados,Renault,90 cv,17 000 km,Carrinha,Manual,,,,Nacional
21,2015,,Diesel,Usados,Mercedes-Benz,80 cv,110 000 km,Utilitário,Automática,,,Classe B,
22,2018,Classe 1,Gasolina,Usados,Porsche,420 cv,4 200 km,Coupé,Automática,Sim,,911 (Todos),Nacional
23,2018,,Diesel,Usados,Audi,116 cv,42 642 km,Utilitário,Manual,Sim,90-UV-52,,Nacional
24,2015,,Diesel,Usados,Fiat,120 cv,100 000 km,SUV / TT,Manual,,,,
25,2018,,Gasolina,Usados,Renault,140 cv,8 000 km,Carrinha,,,,,
26,2009,Classe 1,Gasolina,Usados,Audi,211 cv,34 836 km,Cabrio,Automática,,,,Nacional
27,2016,,Diesel,Usados,Renault,90 cv,120 000 km,Citadino,Manual,,,,
28,2013,,Diesel,Usados,Hyundai,105 cv,188 000 km,Carrinha,Manual,Sim,,,Nacional
29,2017,Classe 1,Diesel,Usados,BMW,190 cv,25 838 km,Sedan,Automática,,,Série 4,Nacional
30,1993,Classe 2,Diesel,Usados,Nissan,78 cv,344 000 km,SUV / TT,Manual,,,,Nacional
31,2019,Classe 1,Diesel,Usados,Renault,90 cv,17 000 km,Carrinha,Manual,,,,Nacional
32,2016,,Diesel,Usados,Citroën,120 cv,72 000 km,Monovolume,Automática,Sim,,,
33,2017,Classe 1,Gasolina,Usados,Opel,75 cv,68 132 km,Citadino,Manual,,,,Nacional
34,2014,Classe 1,Diesel,Usados,Volvo,181 cv,180 000 km,Carrinha,Automática,Sim,98-PG-62,,Nacional
35,2010,Classe 1,Diesel,Usados,Audi,170 cv,164 000 km,SUV / TT,Automática,Sim,77-LD-43,,Nacional
36,2013,Classe 1,Gasolina,Usados,VW,460 cv,77 500 km,Utilitário,Automática,,,,
37,2015,Classe 1,Diesel,Usados,Renault,90 cv,120 000 km,Citadino,Manual,Sim,30-ZM-52,,
38,2015,Classe 1,Diesel,Usados,Mercedes-Benz,116 cv,118 000 km,Carrinha,Manual,,,Classe C,Nacional
39,2018,,Diesel,Usados,BMW,190 cv,50 000 km,Sedan,Automática,Sim,,Série 5,
40,2019,,Gasolina,Usados,Opel,83 cv,9 691 km,SUV / TT,,,,,
41,2016,,Diesel,Usados,Citroën,120 cv,72 000 km,Monovolume,Automática,Sim,,,
42,2011,Classe 1,Diesel,Usados,Opel,170 cv,127 000 km,Utilitário,Manual,,,,Nacional
43,2015,Classe 1,Diesel,Usados,Audi,110 cv,123 000 km,Sedan,Manual,,,,Nacional
44,2015,,Diesel,Usados,BMW,116 cv,74 000 km,Utilitário,Manual,,,Série 1,Nacional
45,2014,Classe 1,Eléctrico,Usados,Tesla,367 cv,115 000 km,Sedan,Automática,,,,
46,2011,,Diesel,Usados,Peugeot,115 cv,181 000 km,Carrinha,Automática,,,,
47,2019,,Gasolina,Usados,Opel,83 cv,9 691 km,SUV / TT,,,,,
48,2017,,Diesel,Usados,Renault,110 cv,150 000 km,Monovolume,Automática,Sim,,,
49,2016,Classe 1,Diesel,Usados,Audi,150 cv,95 000 km,SUV / TT,Manual,,,,Nacional
50,2017,Classe 1,Gasolina,Usados,Opel,75 cv,68 132 km,Citadino,Manual,,,,Nacional
51,2019,Classe 1,Gasolina,Usados,Renault,90 cv,70 km,SUV / TT,,Sim,,,Nacional
52,2007,,Diesel,Usados,Mercedes-Benz,109 cv,154 033 km,Citadino,,,,Classe A,
53,2014,Classe 1,Diesel,Usados,Nissan,90 cv,120 000 km,SUV / TT,Manual,,,,Nacional
54,2018,Classe 1,Gasolina,Usados,Fiat,69 cv,25 000 km,Pequeno citadino,,Sim,,,Nacional
55,2012,,Gasolina,Usados,Toyota,68 cv,35 867 km,Pequeno citadino,,Sim,,,
56,2018,Classe 1,Diesel,Usados,Mercedes-Benz,110 cv,128 000 km,Utilitário,Automática,,,Classe A,
57,2018,Classe 1,Diesel,Usados,Opel,102 cv,34 000 km,Monovolume,Manual,Sim,20-VS-11,,Nacional
58,2019,Classe 1,Híbrido (Gasolina),Usados,Toyota,75 cv,3 528 km,Citadino,Automática,,20-ZS-32,,
59,2016,Classe 1,Gasolina,Usados,Mitsubishi,80 cv,44 850 km,Citadino,Manual,,,,Nacional
60,2009,,Diesel,Usados,BMW,286 cv,167 000 km,Carrinha,,,,Série 3,
61,2016,Classe 1,Gasolina,Usados,Mitsubishi,80 cv,44 850 km,Citadino,Manual,,,,Nacional
62,2015,,Diesel,Usados,Nissan,110 cv,90 000 km,SUV / TT,Manual,Sim,,,
63,2018,,Diesel,Usados,Audi,116 cv,30 000 km,Utilitário,Manual,Sim,,,
64,2015,Classe 1,Diesel,Usados,Renault,110 cv,58 000 km,Carrinha,Manual,,,,Importado
65,2019,Classe 1,Diesel,Usados,BMW,116 cv,450 km,Citadino,,Sim,,Série 1,Nacional
66,2016,Classe 1,Diesel,Usados,SEAT,90 cv,144 000 km,Citadino,Manual,,,,Nacional
67,2016,,Diesel,Usados,Mercedes-Benz,170 cv,75 000 km,Coupé,Automática,,,Classe C,Importado
68,2017,Classe 2,Diesel,Usados,Mercedes-Benz,190 cv,49 734 km,Monovolume,Automática,Sim,,Classe V,Importado
69,2010,Classe 1,Diesel,Usados,MINI,110 cv,97 000 km,Citadino,Manual,,38-IQ-09,,Nacional
70,2017,Classe 1,Gasolina,Usados,Opel,75 cv,68 132 km,Citadino,Manual,,,,Nacional
71,2019,,Diesel,Usados,BMW,190 cv,17 795 km,Sedan,Semi-automática,Sim,89-XE-73,Série 3,Nacional
72,2018,Classe 1,Híbrido (Gasolina),Usados,BMW,224 cv,15 000 km,Monovolume,Automática,,23-ZH-58,Série 2,
73,2015,,Híbrido (Gasolina),Usados,VW,204 cv,160 000 km,Utilitário,Automática,Sim,,,
74,1991,Classe 1,Diesel,Usados,Mercedes-Benz,72 cv,291 000 km,Sedan,Manual,Sim,,,
75,2017,Classe 1,Gasolina,Usados,Opel,75 cv,68 132 km,Citadino,Manual,,,,Nacional
76,2010,Classe 1,Diesel,Usados,MINI,112 cv,147 900 km,Cabrio,Manual,,,,Importado
77,2015,Classe 1,Diesel,Usados,Alfa Romeo,150 cv,71 602 km,Utilitário,Manual,,,,
78,2014,,Diesel,Usados,BMW,184 cv,110 000 km,Utilitário,Manual,,,Série 1,
79,2018,,Diesel,Usados,Audi,116 cv,50 000 km,Sedan,Manual,Sim,,,
80,2015,Classe 1,Diesel,Usados,VW,150 cv,133 000 km,SUV / TT,Manual,,,,
81,2012,,Gasolina,Usados,Toyota,68 cv,35 867 km,Pequeno citadino,,Sim,,,
82,2019,,Diesel,Usados,BMW,190 cv,17 795 km,Sedan,Semi-automática,Sim,89-XE-73,Série 3,Nacional
83,2014,,Diesel,Usados,MINI,95 cv,89 500 km,Citadino,,,,,
84,2012,,Diesel,Usados,VW,105 cv,149 000 km,Monovolume,,,,,
85,2012,,Diesel,Usados,Peugeot,90 cv,120 000 km,Citadino,Manual,,,,
86,2014,Classe 1,Diesel,Usados,Renault,110 cv,134 000 km,Carrinha,Manual,,,,
87,2015,Classe 1,Diesel,Usados,Mercedes-Benz,136 cv,104 801 km,Sedan,,Sim,,Classe C,Nacional
88,2002,,Diesel,Usados,Mercedes-Benz,163 cv,157 913 km,SUV / TT,,,,Classe M,
89,2013,Classe 1,Diesel,Usados,BMW,140 cv,160 000 km,Carrinha,Manual,,,Série 3,
90,2019,Classe 1,Diesel,Usados,MINI,116 cv,80 km,Carrinha,,Sim,,,Nacional
91,2018,Classe 1,Diesel,Usados,Opel,110 cv,43 000 km,Carrinha,,Sim,,,Nacional
92,2016,Classe 1,Gasolina,Usados,Hyundai,66 cv,34 000 km,Pequeno citadino,Manual,,,,Nacional
93,2019,,Diesel,Usados,Peugeot,130 cv,22 012 km,Monovolume,Manual,Sim,74-XC-14,,Nacional
94,2019,,Diesel,Usados,Peugeot,130 cv,22 012 km,Monovolume,Manual,Sim,74-XC-14,,Nacional
95,1998,,Diesel,Usados,Audi,90 cv,340 728 km,Citadino,,,,,
96,2015,,Diesel,Usados,Dacia,115 cv,160 000 km,Monovolume,,,,,
97,2019,Classe 1,Gasolina,Usados,Mitsubishi,80 cv,22 000 km,Citadino,Manual,Sim,,,Nacional
98,2019,Classe 1,Gasolina,Usados,Ford,85 cv,16 000 km,Citadino,Manual,Sim,81-XE-91,,Nacional
99,2017,Classe 2,Diesel,Usados,Mercedes-Benz,190 cv,49 734 km,Monovolume,Automática,Sim,,Classe V,Importado
100,2009,,Gasolina,Usados,Smart,61 cv,115 573 km,Pequeno citadino,Automática,,,,
101,2016,Classe 1,Diesel,Usados,Honda,120 cv,106 489 km,Carrinha,Manual,,,,Nacional
102,2019,Classe 1,Gasolina,Usados,Ford,85 cv,16 000 km,Citadino,Manual,Sim,81-XE-91,,Nacional
103,2016,,Gasolina,Usados,Fiat,69 cv,77 835 km,Citadino,Manual,Sim,97-RA-97,,Nacional
104,2017,,Gasolina,Usados,Fiat,70 cv,46 000 km,Pequeno citadino,Manual,Sim,,,
105,2010,Classe 1,Diesel,Usados,Mercedes-Benz,170 cv,200 000 km,Carrinha,Automática,Sim,,Classe C,
106,2017,Classe 1,Diesel,Usados,SEAT,115 cv,20 700 km,Carrinha,Manual,,00-00-00,,Nacional
107,2013,,Híbrido (Gasolina),Usados,Toyota,136 cv,100 000 km,Carrinha,Automática,Sim,,,
108,2013,Classe 1,Gasolina,Usados,Opel,100 cv,100 000 km,Pequeno citadino,Manual,Sim,,,Nacional
109,2015,Classe 1,Diesel,Usados,Mercedes-Benz,170 cv,120 000 km,Carrinha,Automática,Sim,,Classe C,Importado
110,2011,,Diesel,Usados,Volvo,115 cv,255 000 km,Carrinha,,,,,
111,2010,,Diesel,Usados,Mitsubishi,140 cv,140 000 km,SUV / TT,Manual,Sim,,,Nacional
112,2019,Classe 1,Diesel,Usados,Audi,150 cv,6 000 km,Carrinha,Automática,Sim,,,Nacional
113,2009,Classe 1,Gasolina,Usados,Audi,200 cv,102 300 km,Cabrio,Automática,,,,
114,2017,,Diesel,Usados,Mercedes-Benz,190 cv,37 700 km,Carrinha,Automática,,00-00-00,Classe E,
115,2017,,Gasolina,Usados,Renault,90 cv,52 521 km,Citadino,Manual,Sim,05-SZ-54,,Nacional
116,2013,Classe 1,Híbrido (Gasolina),Usados,Honda,98 cv,56 560 km,Utilitário,Automática,Sim,,,Nacional
117,2018,Classe 1,Diesel,Usados,Opel,99 cv,34 000 km,SUV / TT,,Sim,,,Nacional
118,2019,Classe 1,Diesel,Usados,BMW,190 cv,7 000 km,Sedan,Automática,,,Série 4,Nacional
119,2016,,Gasolina,Usados,Renault,90 cv,38 016 km,SUV / TT,Manual,Sim,35-QV-91,,Nacional
120,2013,Classe 1,Diesel,Usados,Mercedes-Benz,170 cv,180 000 km,Carrinha,Manual,Sim,,Classe C,Nacional
121,2019,Classe 1,Gasolina,Usados,Mitsubishi,80 cv,19 518 km,Citadino,Manual,,,,Nacional
122,2002,,Diesel,Usados,Mercedes-Benz,116 cv,188 000 km,Sedan,,,,Classe C,
123,2002,,Diesel,Usados,Mercedes-Benz,116 cv,188 000 km,Sedan,,,,Classe C,
124,2019,Classe 1,Gasolina,Usados,Mitsubishi,80 cv,19 518 km,Citadino,Manual,,,,Nacional
125,2004,,Diesel,Usados,Land Rover,177 cv,200 000 km,SUV / TT,,,,,
126,2013,Classe 1,Diesel,Usados,VW,90 cv,130 000 km,Citadino,Manual,Sim,,,Nacional
127,2019,Classe 1,Diesel,Usados,Mercedes-Benz,116 cv,16 000 km,Utilitário,Automática,Sim,,Classe A,Nacional
128,2019,Classe 1,Diesel,Usados,Peugeot,130 cv,16 617 km,SUV / TT,Manual,Sim,00-00-00,,Nacional
129,2010,Classe 1,Diesel,Usados,MINI,112 cv,147 900 km,Cabrio,Manual,,,,Importado
130,2014,Classe 1,Diesel,Usados,SEAT,140 cv,126 720 km,Monovolume,Automática,Sim,,,Nacional
131,2017,Classe 1,Diesel,Usados,Mercedes-Benz,194 cv,36 000 km,Sedan,,Sim,,Classe E,Nacional
132,2012,Classe 1,Diesel,Usados,Skoda,105 cv,190 000 km,Carrinha,Manual,Sim,,,Nacional
133,2014,,Diesel,Usados,Nissan,110 cv,90 000 km,SUV / TT,Manual,Sim,,,
134,2017,Classe 1,Diesel,Usados,Mercedes-Benz,194 cv,36 000 km,Sedan,,Sim,,Classe E,Nacional
135,2017,,Diesel,Usados,Renault,90 cv,29 368 km,SUV / TT,Manual,Sim,,,Nacional
136,2013,,Diesel,Usados,VW,140 cv,50 043 km,Coupé,Automática,,,,
137,2003,,Diesel,Usados,BMW,150 cv,177 000 km,Carrinha,Manual,,,Série 3,Nacional
138,2013,Classe 1,Diesel,Usados,Mercedes-Benz,204 cv,165 000 km,Carrinha,Automática,Sim,76-OA-98,Classe CLS,Nacional
139,2015,Classe 1,Diesel,Usados,Mercedes-Benz,109 cv,183 889 km,Carrinha,Manual,,21-XE-17,Classe CLA,
140,2004,Classe 1,Diesel,Usados,Ford,110 cv,260 000 km,Monovolume,Manual,Sim,,,Nacional
141,2015,,Diesel,Usados,Mercedes-Benz,170 cv,103 347 km,Carrinha,Manual,Sim,,Classe E,Nacional
142,2014,Classe 1,Diesel,Usados,BMW,204 cv,107 000 km,Coupé,Automática,,,Série 4,
143,2015,Classe 1,Diesel,Usados,Mercedes-Benz,109 cv,183 889 km,Carrinha,Manual,,21-XE-17,Classe CLA,
144,2019,,Gasolina,Usados,Citroën,82 cv,10 390 km,Citadino,Manual,Sim,65-XG-36,,Nacional
145,2013,,Gasolina,Usados,Renault,90 cv,90 000 km,Carrinha,Manual,,,,Nacional
146,2017,Classe 1,Diesel,Usados,Audi,150 cv,42 000 km,Carrinha,,Sim,,,Nacional
147,2013,Classe 1,Diesel,Usados,BMW,313 cv,104 000 km,Sedan,Automática,Sim,,Série 7,
148,2010,Classe 1,Diesel,Usados,Audi,233 cv,118 000 km,Sedan,Automática,,,,Nacional
149,2015,,Diesel,Usados,Peugeot,120 cv,160 000 km,Carrinha,Manual,,,,
150,2014,,Gasolina,Usados,Mitsubishi,90 cv,35 500 km,SUV / TT,Manual,,,,
151,2018,,Diesel,Usados,Citroën,100 cv,68 567 km,Utilitário,Manual,Sim,71-UD-32,,Nacional
152,2006,Classe 1,Gasolina,Usados,Mercedes-Benz,231 cv,135 000 km,Sedan,Automática,Sim,,Classe C,
153,2015,,Diesel,Usados,Mercedes-Benz,170 cv,310 000 km,Carrinha,,,,,
154,2018,,Diesel,Usados,Mercedes-Benz,204 cv,33 000 km,SUV / TT,,Sim,,Classe GLC,Nacional
155,2007,,Diesel,Usados,BMW,177 cv,122 000 km,Carrinha,Automática,,,Série 3,
156,1998,,Gasolina,Usados,Audi,180 cv,205 000 km,Sedan,Manual,,,,Importado
157,2019,,Diesel,Usados,Mercedes-Benz,116 cv,20 300 km,Utilitário,Automática,Sim,,Classe A,Nacional
158,2019,Classe 1,Diesel,Usados,VW,115 cv,7 000 km,Monovolume,Automática,,,,
159,2017,,Diesel,Usados,Citroën,75 cv,102 634 km,Citadino,Manual,Sim,07-TE-94,,Nacional
160,2014,,Diesel,Usados,Volvo,190 cv,164 700 km,Utilitário,Manual,,,,Importado
161,2017,,Diesel,Usados,Fiat,95 cv,45 000 km,Carrinha,Manual,,,,
162,2014,,Diesel,Usados,Volvo,190 cv,164 700 km,Utilitário,Manual,,,,Importado
163,2017,Classe 1,Eléctrico,Usados,BMW,170 cv,60 000 km,Citadino,Automática,,,Série i,
164,2019,Classe 1,Gasolina,Usados,Nissan,100 cv,14 771 km,Citadino,Manual,Sim,,,Nacional
165,2016,,Diesel,Usados,Citroën,120 cv,72 000 km,Monovolume,Automática,Sim,,,
166,2017,Classe 1,Diesel,Usados,Opel,134 cv,27 000 km,Monovolume,Manual,,,,Nacional
167,2008,Classe 1,Diesel,Usados,BMW,286 cv,179 995 km,Cabrio,Automática,,,Série 6,Importado
168,2015,,Diesel,Usados,Mercedes-Benz,170 cv,140 907 km,Carrinha,Manual,Sim,80-PS-25,Classe C,Nacional
169,2016,,Diesel,Usados,Citroën,120 cv,72 000 km,Monovolume,Automática,Sim,,,
170,2017,Classe 1,Diesel,Usados,Mercedes-Benz,177 cv,26 000 km,SUV / TT,Automática,,,Classe GLA,
171,2012,Classe 1,Diesel,Usados,Volvo,115 cv,212 000 km,Utilitário,Manual,,,,
172,2002,,Diesel,Usados,Mercedes-Benz,143 cv,284 000 km,Sedan,,,,Classe E,
173,2014,Classe 1,Diesel,Usados,Mercedes-Benz,109 cv,65 000 km,Utilitário,Manual,,,Classe A,
174,2019,Classe 1,Diesel,Usados,Alfa Romeo,120 cv,17 900 km,Utilitário,Automática,,,,
175,2010,Classe 1,Diesel,Usados,Renault,110 cv,160 000 km,Coupé,Manual,,,,Nacional
176,2013,,Diesel,Usados,Volvo,115 cv,180 000 km,Utilitário,,,,,
177,1972,Classe 2,Diesel,Usados,Land Rover,75 cv,27 700 km,SUV / TT,Manual,Sim,,,
178,2015,,Diesel,Usados,Audi,110 cv,69 500 km,Sedan,Manual,Sim,,,Nacional
179,2009,,Gasolina,Usados,Smart,71 cv,32 500 km,Pequeno citadino,Semi-automática,Sim,,,
180,2013,Classe 1,Diesel,Usados,Skoda,105 cv,154 000 km,Sedan,Manual,Sim,,,Nacional
181,2011,Classe 1,Diesel,Usados,BMW,184 cv,224 000 km,Sedan,Automática,,,Série 5,Nacional
182,2018,Classe 1,Diesel,Usados,Opel,110 cv,39 000 km,Carrinha,Manual,,61-UF-30,,Nacional
183,2014,,Diesel,Usados,Audi,150 cv,73 000 km,Coupé,,,,,
184,2017,Classe 1,Gasolina,Usados,Fiat,69 cv,24 000 km,Citadino,Manual,,,,Nacional
185,1998,Classe 1,Gasolina,Usados,BMW,118 cv,165 000 km,Sedan,Manual,,,Série 3,Nacional
186,2017,,Diesel,Usados,Ford,90 cv,107 564 km,Utilitário,Manual,,,,
187,2016,,Diesel,Usados,Peugeot,120 cv,120 000 km,SUV / TT,Automática,,,,
188,2004,Classe 1,Diesel,Usados,VW,174 cv,275 000 km,SUV / TT,Manual,Sim,15-40-XX,,Nacional
189,2016,Classe 1,Gasolina,Usados,Honda,100 cv,35 987 km,Utilitário,Manual,Sim,,,
190,1999,,GPL,Usados,Mercedes-Benz,196 cv,280 000 km,Sedan,,,,Classe CLK,
191,2015,,Diesel,Usados,Audi,110 cv,69 500 km,Sedan,Manual,Sim,,,Nacional
192,2014,Classe 1,Diesel,Usados,Mercedes-Benz,204 cv,92 000 km,Carrinha,Automática,,47-UM-45,Classe C,Importado
193,2010,Classe 1,Gasolina,Usados,SEAT,125 cv,185 169 km,Utilitário,Manual,,,,Nacional
194,2003,Classe 1,Diesel,Usados,Peugeot,75 cv,213 000 km,Carrinha,Manual,Sim,,,Nacional
195,2019,Classe 1,Gasolina,Novos,Abarth,165 cv,25 km,Citadino,Manual,,,,
196,2002,,Diesel,Usados,VW,75 cv,268 000 km,Utilitário,,Sim,,,
197,2016,Classe 1,Gasolina,Usados,Honda,100 cv,35 987 km,Utilitário,Manual,Sim,,,
198,2013,Classe 1,Gasolina,Usados,Porsche,400 cv,85 000 km,Coupé,Manual,Sim,,911 (Todos),
199,2000,Classe 1,Diesel,Usados,VW,115 cv,368 000 km,Carrinha,Manual,,71-13-OV,,Nacional
200,2015,Classe 1,Diesel,Usados,Mercedes-Benz,177 cv,166 000 km,Carrinha,Automática,Sim,,Classe CLA,Importado
201,2012,Classe 1,Diesel,Usados,BMW,184 cv,134 000 km,Sedan,Manual,,,Série 3,
202,2013,Classe 1,Diesel,Usados,Opel,95 cv,203 000 km,Citadino,Manual,,,,Nacional
203,2019,Classe 1,Gasolina,Novos,Fiat,69 cv,5 km,Pequeno citadino,Manual,,,,
204,2000,,Gasolina,Usados,Mazda,140 cv,117 000 km,Cabrio,Manual,Sim,,,
205,2015,Classe 1,Diesel,Usados,BMW,184 cv,92 400 km,Sedan,Automática,,,Série 3,
206,2014,Classe 1,Híbrido (Gasolina),Usados,Toyota,136 cv,137 885 km,Carrinha,Automática,,,,
207,2009,,Diesel,Usados,Mercedes-Benz,231 cv,218 km,Coupé,,,,Classe E,
208,2017,Classe 1,Diesel,Usados,Renault,110 cv,74 000 km,Carrinha,Manual,,,,
209,1972,Classe 2,Diesel,Usados,Land Rover,75 cv,27 700 km,SUV / TT,Manual,Sim,,,
210,2018,Classe 1,Diesel,Usados,Opel,110 cv,39 000 km,Carrinha,Manual,,61-UF-30,,Nacional
211,2008,Classe 2,Diesel,Usados,BMW,286 cv,140 000 km,SUV / TT,Automática,,,Série X,Nacional
212,2011,Classe 1,Diesel,Usados,Renault,85 cv,169 735 km,Carrinha,Manual,,,,
213,2018,,Diesel,Usados,Volvo,120 cv,37 303 km,Carrinha,Manual,Sim,39396,,
214,2016,,Diesel,Usados,Audi,150 cv,127 000 km,Carrinha,,Sim,,,
215,2018,,Gasolina,Usados,Audi,116 cv,14 747 km,Cabrio,Manual,Sim,41659,,
216,2014,,Gasolina,Usados,Fiat,70 cv,74 000 km,Pequeno citadino,,,,,
217,2015,Classe 1,Diesel,Usados,Peugeot,120 cv,160 546 km,Carrinha,Manual,Sim,,,
218,2015,Classe 1,Diesel,Usados,BMW,184 cv,92 400 km,Sedan,Automática,,,Série 3,
219,2008,Classe 2,Diesel,Usados,BMW,286 cv,140 000 km,SUV / TT,Automática,,,Série X,Nacional
220,2008,,Gasolina,Usados,Skoda,70 cv,170 000 km,Carrinha,,,,,
221,2016,Classe 1,Diesel,Usados,Mercedes-Benz,170 cv,110 000 km,Carrinha,Automática,Sim,,Classe C,
222,2016,Classe 1,Diesel,Usados,BMW,163 cv,167 895 km,Carrinha,Automática,Sim,54-XV-51,Série 3,
223,2017,Classe 1,Diesel,Usados,BMW,190 cv,54 500 km,Carrinha,Automática,,,Série 5,Nacional
224,2015,,Diesel,Usados,Mercedes-Benz,170 cv,78 000 km,Coupé,,,,Classe C,
225,2015,Classe 1,Diesel,Usados,Peugeot,120 cv,160 546 km,Carrinha,Manual,Sim,,,
226,2017,Classe 1,Diesel,Usados,BMW,190 cv,54 500 km,Carrinha,Automática,,,Série 5,Nacional
227,2019,Classe 1,Gasolina,Usados,Smart,90 cv,6 000 km,Pequeno citadino,Automática,Sim,,,Nacional
228,2011,Classe 1,Gasolina,Usados,Kia,60 cv,97 200 km,Pequeno citadino,Manual,Sim,,,
229,2017,,Diesel,Usados,BMW,190 cv,43 514 km,Carrinha,Automática,Sim,39405,Série 5,
230,2019,,Diesel,Usados,Renault,115 cv,27 897 km,SUV / TT,Manual,Sim,47969,,
231,1996,,Gasolina,Usados,Fiat,40 cv,0 km,Pequeno citadino,,,,,
232,2015,Classe 1,Diesel,Usados,Mercedes-Benz,170 cv,181 000 km,Carrinha,Automática,,,Classe C,
233,2019,,Gasolina,Usados,Fiat,140 cv,5 060 km,Cabrio,Manual,Sim,46106,,
234,2018,,Diesel,Usados,Mercedes-Benz,109 cv,20 361 km,Utilitário,Manual,Sim,43759,Classe A,
235,2017,Classe 1,Diesel,Usados,Volvo,190 cv,18 000 km,SUV / TT,Automática,Sim,,,Nacional
236,1997,Classe 1,Diesel,Usados,Opel,82 cv,297 000 km,Utilitário,Manual,Sim,,,Nacional
237,2019,Classe 1,Diesel,Usados,Mercedes-Benz,116 cv,14 987 km,Utilitário,Automática,Sim,,Classe B,Nacional
238,2009,,Diesel,Usados,Audi,170 cv,85 600 km,Cabrio,,,,,
239,2012,Classe 1,Híbrido (Diesel),Usados,Mercedes-Benz,204 cv,174 000 km,Carrinha,Automática,Sim,,Classe E,
240,2002,Classe 1,GPL,Usados,Volvo,200 cv,296 000 km,SUV / TT,Manual,,,,Nacional
241,2016,Classe 1,Diesel,Usados,BMW,163 cv,167 895 km,Carrinha,Automática,Sim,54-XV-51,Série 3,
242,2013,Classe 1,Diesel,Usados,SEAT,105 cv,110 000 km,Utilitário,Manual,,,,
243,2017,,Gasolina,Usados,Opel,105 cv,33 000 km,Utilitário,Manual,,,,
244,2004,,Gasolina,Usados,Audi,250 cv,210 000 km,Utilitário,,,,,
245,2008,,Diesel,Usados,VW,170 cv,226 000 km,Carrinha,Automática,,,,Nacional
246,2016,,Diesel,Usados,Honda,120 cv,32 500 km,SUV / TT,,,,,
247,2014,,Diesel,Usados,Land Rover,258 cv,143 000 km,SUV / TT,Automática,,,,
248,2016,,Gasolina,Usados,Opel,105 cv,60 000 km,Utilitário,Manual,,,,
249,2013,,Diesel,Usados,BMW,186 cv,155 000 km,Coupé,Automática,,,Série 4,
250,2020,Classe 1,Diesel,Usados,BMW,116 cv,1 300 km,Utilitário,Manual,,,Série 1,Nacional
251,2014,,Diesel,Usados,Volvo,115 cv,142 000 km,Carrinha,,,,,
252,2016,Classe 2,Diesel,Usados,Mercedes-Benz,258 cv,69 486 km,SUV / TT,Automática,,,Classe GLE,Nacional
253,2015,Classe 1,Diesel,Usados,Mercedes-Benz,170 cv,85 000 km,SUV / TT,Automática,,,Classe GLA,
254,2008,,Diesel,Usados,BMW,177 cv,206 800 km,Sedan,Manual,,,Série 3,
255,2015,,Diesel,Usados,BMW,163 cv,101 000 km,SUV / TT,Manual,,,Série X,Nacional
256,2015,,Diesel,Usados,BMW,163 cv,101 000 km,SUV / TT,Manual,,,Série X,Nacional
257,2018,,Diesel,Usados,Renault,110 cv,40 975 km,Monovolume,Manual,Sim,46307,,
