,gas,diesel,electric,GPL,hybrid,CNG
,fuel_type,fuel_type,fuel_type,fuel_type,fuel_type,fuel_type
year,,,,,,
2001.0,0.35051546391752575,0.6443298969072165,0.0,0.005154639175257732,0.0,0.0
2002.0,0.2727272727272727,0.7107438016528925,0.0,0.01652892561983471,0.0,0.0
2003.0,0.29844961240310075,0.6782945736434108,0.0,0.023255813953488372,0.0,0.0
2004.0,0.31875,0.61875,0.0,0.05,0.0125,0.0
2005.0,0.27546296296296297,0.7106481481481481,0.0,0.009259259259259259,0.004629629629629629,0.0
2006.0,0.2702127659574468,0.7127659574468085,0.0,0.00851063829787234,0.00851063829787234,0.0
2007.0,0.21013412816691504,0.7719821162444114,0.0,0.0,0.01788375558867362,0.0
2008.0,0.18161925601750548,0.812910284463895,0.0,0.005470459518599562,0.0,0.0
2009.0,0.23751686909581646,0.7435897435897436,0.0,0.005398110661268556,0.01349527665317139,0.0
2010.0,0.1848101265822785,0.7966244725738396,0.0,0.00590717299578059,0.012658227848101266,0.0
2011.0,0.12935779816513762,0.8550458715596331,0.0,0.005504587155963303,0.010091743119266056,0.0
2012.0,0.14827995255041518,0.8173190984578885,0.0,0.002372479240806643,0.03202846975088968,0.0
2013.0,0.14954954954954955,0.7612612612612613,0.01891891891891892,0.0,0.07027027027027027,0.0
2014.0,0.09851694915254237,0.8268008474576272,0.017478813559322032,0.0031779661016949155,0.05402542372881356,0.0
2015.0,0.08888170652876536,0.8513251454427925,0.012928248222365869,0.0,0.04686489980607628,0.0
2016.0,0.18779904306220097,0.7679425837320574,0.02033492822966507,0.001594896331738437,0.022328548644338118,0.0
2017.0,0.2311023622047244,0.715748031496063,0.01653543307086614,0.0,0.03661417322834646,0.0
2018.0,0.3451106352605282,0.5956459671663098,0.018201284796573874,0.0007137758743754461,0.04032833690221271,0.0
2019.0,0.43297974927675986,0.5072324011571842,0.016875602700096432,0.0,0.0429122468659595,0.0
2020.0,0.32653061224489793,0.6122448979591837,0.0,0.0,0.061224489795918366,0.0
