,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Potência,Quilómetros,Segmento,Série,Tipo de Caixa,Matrícula,Origem,Valor Fixo
134,2013,,Diesel,Usados,8075702417,Renault,110 cv,140 000 km,Carrinha,,,,,
135,2011,Classe 1,Diesel,Usados,8075701976,Toyota,145 cv,169 916 km,Carrinha,,Manual,,Nacional,
136,2017,,Diesel,Usados,8075702565,Renault,110 cv,160 000 km,Carrinha,,Manual,,,
137,2011,Classe 1,Diesel,Usados,8065845111,VW,140 cv,145 000 km,Carrinha,,Manual,,Nacional,Sim
138,2016,,Gasolina,Usados,8074507183,SEAT,75 cv,23 207 km,Utilitário,,Manual,16SC53,,Sim
139,2011,Classe 1,Diesel,Usados,8074291331,Peugeot,112 cv,147 000 km,Carrinha,,Manual,01-TO-34,,
140,2013,Classe 1,Diesel,Usados,8055441343,Mercedes-Benz,177 cv,199 000 km,Carrinha,Classe E,Manual,,,
141,2012,,Diesel,Usados,8058931008,BMW,218 cv,136 000 km,Carrinha,Série 5,,,,Sim
142,2003,,Diesel,Usados,8065594828,Renault,95 cv,300 000 km,Carrinha,,,,,
143,2001,Classe 1,Gasolina,Usados,8075702507,Honda,125 cv,232 000 km,Monovolume,,Manual,,Nacional,
144,2015,,Híbrido (Gasolina),Usados,8075702950,Toyota,100 cv,162 000 km,Citadino,,Automática,,Importado,
145,2019,Classe 1,Diesel,Usados,8075701930,Mercedes-Benz,116 cv,20 400 km,Utilitário,Classe B,Automática,12-XI-22,,
146,1969,,Gasolina,Usados,8049332275,Fiat,40 cv,43 000 km,Pequeno citadino,,,,,
147,2019,Classe 1,Diesel,Usados,8071448737,Jeep,120 cv,4 000 km,SUV / TT,,Manual,,Nacional,Sim
148,2016,Classe 1,Diesel,Usados,8075702664,VW,170 cv,149 000 km,Monovolume,,Manual,,Nacional,
149,2006,Classe 1,Diesel,Usados,8069329963,Audi,233 cv,244 183 km,Sedan,,Automática,,Nacional,
150,2012,Classe 1,Gasolina,Usados,8075697229,Fiat,68 cv,108 000 km,Pequeno citadino,,Manual,,Importado,
151,2015,Classe 1,Diesel,Usados,8073189298,BMW,143 cv,177 000 km,Sedan,Série 4,Manual,89-QE-89,Nacional,Sim
152,2011,Classe 1,Diesel,Usados,8074291331,Peugeot,112 cv,147 000 km,Carrinha,,Manual,01-TO-34,,
153,2013,Classe 1,Diesel,Usados,8073025150,Audi,136 cv,180 000 km,Carrinha,,Manual,,,
154,2006,Classe 1,Diesel,Usados,8008446426,Audi,140 cv,212 970 km,Carrinha,,Manual,,Nacional,
155,2019,Classe 1,Gasolina,Usados,8074380187,Renault,90 cv,16 601 km,SUV / TT,,Manual,79-XD-19,Nacional,
156,2019,Classe 1,Gasolina,Usados,8074380213,Mercedes-Benz,109 cv,12 480 km,Utilitário,Classe A,Manual,,Nacional,
157,2019,Classe 1,Diesel,Usados,8074376064,Peugeot,100 cv,24 000 km,Utilitário,,Manual,,,Sim
158,2008,Classe 1,Diesel,Usados,8075701608,Ford,140 cv,276 000 km,Sedan,,Manual,,Nacional,Sim
159,2015,Classe 1,Diesel,Usados,8074680075,Renault,130 cv,130 000 km,Monovolume,,Manual,,Nacional,
160,2017,Classe 1,Diesel,Usados,8073107123,Audi,190 cv,33 000 km,Carrinha,,Automática,,,
161,2016,,Diesel,Usados,8067537110,BMW,143 cv,168 234 km,Utilitário,Série 1,Automática,,Importado,
162,2010,Classe 1,Diesel,Usados,8064125866,Renault,110 cv,147 000 km,Carrinha,,Manual,88-IS-30,Nacional,Sim
163,2015,Classe 1,Diesel,Usados,8074304525,VW,120 cv,76 000 km,Carrinha,,Manual,75-QI-82,Nacional,Sim
164,2013,,Gasolina,Usados,8069738031,VW,220 cv,121 170 km,Utilitário,,Automática,,Nacional,
165,2007,,Híbrido (Gasolina),Usados,8075700855,Honda,95 cv,166 500 km,Sedan,,Automática,,Nacional,
166,2016,Classe 1,Diesel,Usados,8075701098,Mercedes-Benz,109 cv,106 000 km,SUV / TT,Classe GLA,Manual,,,
167,2018,Classe 1,Diesel,Usados,8066567011,VW,150 cv,23 643 km,Carrinha,,Automática,,,
168,2019,Classe 1,Diesel,Usados,8075701930,Mercedes-Benz,116 cv,20 400 km,Utilitário,Classe B,Automática,12-XI-22,,
169,2016,Classe 1,Diesel,Usados,8075604363,Peugeot,120 cv,177 000 km,Carrinha,,Manual,,Importado,
170,2013,Classe 1,Diesel,Usados,8052379815,Jaguar,200 cv,135 000 km,Carrinha,,Automática,,,Sim
171,2007,Classe 1,Gasolina,Usados,8075619880,Chevrolet,94 cv,99 896 km,Citadino,,Manual,,Nacional,
172,1989,,Gasolina,Usados,8037575371,Fiat,26 cv,53 346 km,Pequeno citadino,,Manual,,,Sim
173,2014,,Diesel,Usados,8073108082,VW,105 cv,170 000 km,Utilitário,,Manual,00-00-00,Importado,Sim
174,1967,Classe 1,Gasolina,Usados,8015756817,Ford,54 cv,28 557 km,Sedan,,Manual,,Nacional,Sim
175,1959,Classe 1,Gasolina,Usados,8036792037,Outra não listada,34 cv,26 500 km,Citadino,,Manual,,Nacional,Sim
176,2015,Classe 1,Diesel,Usados,8074305027,Opel,136 cv,78 000 km,Sedan,,Manual,19-QP-28,Nacional,Sim
177,2013,,Gasolina,Usados,8070649383,Peugeot,68 cv,103 000 km,Pequeno citadino,,Manual,,Nacional,
178,2000,Classe 1,Gasolina,Usados,8075700542,Ford,90 cv,180 750 km,Citadino,,Manual,,Nacional,
179,2014,,Diesel,Usados,8075595232,SEAT,184 cv,141 000 km,Utilitário,,Manual,,,Sim
180,2017,,Diesel,Usados,8044070765,Kia,136 cv,30 000 km,Carrinha,,Manual,,Nacional,Sim
181,1928,Classe 1,Gasolina,Usados,8037290503,Chevrolet,35 cv,95 000 km,Sedan,,Manual,,Nacional,Sim
182,2014,,Diesel,Usados,8068250775,Renault,110 cv,93 000 km,Carrinha,,Manual,,Nacional,
183,2018,Classe 1,Diesel,Usados,8066567011,VW,150 cv,23 643 km,Carrinha,,Automática,,,
184,2014,,Diesel,Usados,8073959961,SEAT,150 cv,122 000 km,Coupé,,Manual,,Importado,
185,2015,,Diesel,Usados,8070685766,Mazda,150 cv,113 000 km,SUV / TT,,Manual,,Nacional,Sim
186,2017,Classe 1,Diesel,Usados,8049614066,Audi,116 cv,126 000 km,Monovolume,,Manual,,Importado,Sim
187,2007,Classe 1,Gasolina,Usados,8075619880,Chevrolet,94 cv,99 896 km,Citadino,,Manual,,Nacional,
188,2015,,Diesel,Usados,8074497367,Citroën,120 cv,166 976 km,Monovolume,,Manual,60-ZP-96,,Sim
189,2012,Classe 1,Diesel,Usados,8075701403,BMW,184 cv,171 753 km,Sedan,Série 3,Automática,75-NC-20,Nacional,
190,2015,,Diesel,Usados,8075701262,Ford,185 cv,42 659 km,Utilitário,,Manual,20-PZ-47,Nacional,
191,2014,,Diesel,Usados,8070642633,SEAT,105 cv,132 600 km,Utilitário,,Manual,,Nacional,
192,2009,,Diesel,Usados,8060925834,BMW,245 cv,243 000 km,Sedan,Série 7,Automática,,Importado,
193,1998,,Diesel,Usados,8074376178,Mitsubishi,100 cv,250 000 km,Monovolume,,Manual,,Nacional,
194,2013,,Diesel,Usados,8073112804,Smart,54 cv,110 000 km,Pequeno citadino,,Automática,00-00-00,Importado,Sim
195,2011,Classe 1,Gasolina,Usados,8064314819,Fiat,69 cv,109 000 km,Citadino,,Manual,87-LT-09,Nacional,Sim
196,2014,,Diesel,Usados,8075595232,SEAT,184 cv,141 000 km,Utilitário,,Manual,,,Sim
197,2011,Classe 1,Diesel,Usados,8075701976,Toyota,145 cv,169 916 km,Carrinha,,Manual,,Nacional,
198,2015,,Diesel,Usados,8074497367,Citroën,120 cv,166 976 km,Monovolume,,Manual,60-ZP-96,,Sim
199,2011,,Híbrido (Gasolina),Usados,8068845796,Lexus,136 cv,173 000 km,Utilitário,CT,Automática,,Nacional,
200,2005,Classe 1,Diesel,Usados,8075687348,Kia,115 cv,239 000 km,SUV / TT,,Manual,,,
201,2006,Classe 1,Diesel,Usados,8053640372,BMW,163 cv,169 134 km,Carrinha,Série 5,Manual,,,
202,2007,,Diesel,Usados,8073045180,Mercedes-Benz,320 cv,196 000 km,Sedan,Classe S,Automática,,Nacional,Sim
203,2010,,Diesel,Usados,8072877812,Mercedes-Benz,170 cv,222 000 km,Carrinha,Classe C,Manual,,Importado,Sim
204,2019,,Diesel,Usados,8073090589,Peugeot,130 cv,22 012 km,Monovolume,,Manual,74-XC-14,Nacional,Sim
205,2015,,Diesel,Usados,8063463731,Toyota,90 cv,94 704 km,Citadino,,Manual,71-PX-72,Nacional,
206,1997,Classe 1,Gasolina,Usados,8055827792,Mercedes-Benz,193 cv,131 000 km,Cabrio,Classe SLK,Manual,,,
207,2015,Classe 1,Diesel,Usados,8075761263,Peugeot,120 cv,75 200 km,Utilitário,,Manual,,,Sim
208,2016,Classe 1,Eléctrico,Usados,8069148284,BMW,170 cv,29 959 km,Citadino,Série i,Automática,32-zl-83,,
209,2018,Classe 1,Diesel,Usados,8073189300,Mercedes-Benz,109 cv,25 700 km,Monovolume,Classe B,Automática,38-VB-26,Nacional,Sim
210,2010,Classe 1,Gasolina,Usados,8075700388,Fiat,69 cv,65 200 km,Cabrio,,Manual,,Nacional,Sim
211,2015,Classe 1,Diesel,Usados,8069720354,Peugeot,120 cv,153 985 km,SUV / TT,,Manual,10-ZN-27,,
212,2016,,Diesel,Usados,8073274182,Opel,110 cv,72 586 km,Utilitário,,Manual,12SC86,,Sim
213,2010,,Diesel,Usados,8073189520,BMW,204 cv,140 000 km,Sedan,Série 5,Manual,,Nacional,Sim
214,2019,Classe 1,Gasolina,Usados,8056506174,Fiat,69 cv,8 500 km,Pequeno citadino,,Manual,29-XT-32,Nacional,
215,2002,Classe 1,Diesel,Usados,8040392188,Opel,75 cv,198 982 km,Utilitário,,Manual,,Nacional,
216,2015,,Diesel,Usados,8071199758,VW,150 cv,74 507 km,Carrinha,,Manual,45-QJ-71,Nacional,
217,2014,,Gasolina,Usados,8064968577,Ferrari,605 cv,12 000 km,Coupé,,,,,
218,2017,Classe 1,Diesel,Usados,8073189427,Renault,110 cv,32 846 km,SUV / TT,,Manual,09-TG-29,Nacional,
219,2016,Classe 1,Eléctrico,Usados,8069148284,BMW,170 cv,29 959 km,Citadino,Série i,Automática,32-zl-83,,
220,2017,Classe 1,Diesel,Usados,8067775871,Audi,150 cv,129 000 km,SUV / TT,,Automática,,Nacional,
221,2014,,Diesel,Usados,8073959631,Peugeot,120 cv,119 000 km,Utilitário,,Manual,,Importado,
222,2011,,Diesel,Usados,8072325723,Mercedes-Benz,265 cv,72 000 km,Sedan,Classe CLS,Automática,,Nacional,Sim
223,2014,,Gasolina,Usados,8067449116,VW,180 cv,52 000 km,Citadino,,Automática,,Nacional,Sim
224,2012,,Diesel,Usados,8050513556,Mercedes-Benz,204 cv,172 000 km,Carrinha,Classe E,Automática,,Nacional,Sim
225,2013,Classe 1,Diesel,Usados,8052712267,BMW,143 cv,185 329 km,Sedan,Série 5,Manual,,Nacional,
226,2019,,Diesel,Usados,8073090589,Peugeot,130 cv,22 012 km,Monovolume,,Manual,74-XC-14,Nacional,Sim
227,2018,,Diesel,Usados,8066082884,Mercedes-Benz,204 cv,28 000 km,SUV / TT,Classe GLC,Automática,,Nacional,Sim
228,2018,Classe 1,Gasolina,Usados,8066425980,Smart,90 cv,36 212 km,Citadino,,Manual,00-00-00,Nacional,Sim
229,2014,Classe 1,Diesel,Usados,8054973187,Opel,136 cv,83 794 km,Carrinha,,Manual,,Nacional,
230,2010,,Diesel,Usados,8074278620,Mercedes-Benz,170 cv,75 000 km,Cabrio,Classe E,Manual,,Nacional,Sim
231,2015,Classe 1,Diesel,Usados,8052539301,Peugeot,68 cv,88 794 km,Citadino,,Manual,,Nacional,
232,2007,Classe 1,Diesel,Usados,8075736744,Mercedes-Benz,109 cv,212 000 km,Monovolume,Classe A,Automática,,Importado,
233,2019,,Diesel,Usados,8073189493,Mercedes-Benz,116 cv,10 087 km,Utilitário,Classe A,Automática,25-XH-14,Nacional,
234,2018,Classe 1,Diesel,Usados,8075700645,Mercedes-Benz,109 cv,25 000 km,Utilitário,Classe A,Automática,,Nacional,Sim
235,2017,Classe 1,Gasolina,Usados,8068000735,Mercedes-Benz,557 cv,13 711 km,Cabrio,,Automática,,Nacional,
236,2015,Classe 1,Gasolina,Usados,8064912042,Fiat,70 cv,88 000 km,Citadino,,Manual,40-PU-64,Nacional,
237,2016,,Diesel,Usados,8074373720,BMW,150 cv,150 306 km,Carrinha,Série 2,Manual,,,
238,2015,Classe 1,Diesel,Usados,8075761263,Peugeot,120 cv,75 200 km,Utilitário,,Manual,,,Sim
239,2007,Classe 1,Diesel,Usados,8075736744,Mercedes-Benz,109 cv,212 000 km,Monovolume,Classe A,Automática,,Importado,
240,2017,Classe 1,Diesel,Usados,8074377269,VW,105 cv,85 150 km,Utilitário,,Manual,,,
241,2017,Classe 1,Diesel,Usados,8074378128,Renault,90 cv,58 183 km,Citadino,,Manual,,,
242,2005,,Diesel,Usados,8073350905,Renault,100 cv,210 500 km,Monovolume,,Manual,,Nacional,
243,2018,Classe 1,Diesel,Usados,8074376793,Mercedes-Benz,110 cv,46 700 km,Utilitário,Classe A,Manual,,,Sim
244,2008,,Diesel,Usados,8069831160,BMW,177 cv,250 000 km,Sedan,Série 3,Manual,,Nacional,
245,2007,,Diesel,Usados,8070326208,Audi,140 cv,172 000 km,Cabrio,,Manual,,Nacional,
246,2011,Classe 1,Gasolina,Usados,8074420743,Smart,71 cv,78 000 km,Pequeno citadino,,Automática,,Importado,Sim
247,2011,,Diesel,Usados,8069832594,Mitsubishi,177 cv,130 000 km,SUV / TT,,Manual,,Nacional,
248,2010,,Diesel,Usados,8061091419,Nissan,110 cv,162 000 km,SUV / TT,,Manual,,Nacional,
249,2010,,Diesel,Usados,8075699510,Dodge,140 cv,258 000 km,SUV / TT,,Manual,,Nacional,
250,2015,Classe 1,Gasolina,Usados,8036755386,Toyota,69 cv,69 458 km,Citadino,,Manual,,Nacional,Sim
251,2016,Classe 1,Gasolina,Usados,8048975673,VW,65 cv,68 500 km,Pequeno citadino,,Manual,,Nacional,Sim
252,2008,,Gasolina,Usados,8075699364,Peugeot,68 cv,90 000 km,Pequeno citadino,,,,,
253,2017,Classe 1,Diesel,Usados,8074268531,Opel,95 cv,62 229 km,Citadino,,Manual,,Nacional,
254,2019,Classe 1,Gasolina,Usados,8075623642,Citroën,83 cv,780 km,Citadino,,Manual,,Nacional,Sim
255,1998,Classe 1,Gasolina,Usados,8075622905,Subaru,211 cv,198 000 km,Utilitário,,Manual,,Nacional,Sim
256,2019,Classe 1,Gasolina,Usados,8075623642,Citroën,83 cv,780 km,Citadino,,Manual,,Nacional,Sim
257,2019,,Diesel,Usados,8051596547,BMW,190 cv,17 795 km,Sedan,Série 3,Semi-automática,89-XE-73,Nacional,Sim
258,2017,Classe 1,Diesel,Usados,8074376331,Renault,130 cv,72 860 km,Utilitário,,Manual,,,
259,2005,Classe 1,Híbrido (Gasolina),Usados,8058573319,Honda,90 cv,94 000 km,Sedan,,Manual,,Nacional,Sim
260,2003,,Gasolina,Usados,8073351110,Opel,75 cv,193 303 km,Citadino,,Manual,,Nacional,
261,2000,Classe 1,Diesel,Usados,8068005778,Audi,115 cv,233 000 km,Sedan,,Manual,,Importado,Sim
262,1981,Classe 1,Gasolina,Usados,8071213058,MINI,40 cv,23 000 km,Pequeno citadino,,Manual,,Nacional,Sim
263,2005,,Diesel,Usados,8073350613,Mercedes-Benz,204 cv,207 321 km,Sedan,Classe C,Manual,,,
264,2000,Classe 1,Gasolina,Usados,8072532991,Toyota,68 cv,255 776 km,Citadino,,Manual,,Nacional,Sim
265,2017,Classe 1,Gasolina,Usados,8065746269,Opel,75 cv,68 132 km,Citadino,,Manual,,Nacional,
266,2002,Classe 1,Gasolina,Usados,8075699652,Mercedes-Benz,200 cv,214 586 km,Coupé,Classe CLK,Manual,,,
267,2012,Classe 1,Diesel,Usados,8071478861,Fiat,84 cv,191 140 km,Citadino,,Manual,56-MU-73,Nacional,Sim
268,2017,,Diesel,Usados,8075624652,Mercedes-Benz,110 cv,24 000 km,Citadino,Classe A,,,,
269,2008,,Diesel,Usados,8064952253,Peugeot,110 cv,141 000 km,Cabrio,,Manual,,Nacional,
270,2014,Classe 1,Diesel,Usados,8053818754,BMW,184 cv,92 000 km,Coupé,Série 4,Automática,,Importado,Sim
271,2010,,Diesel,Usados,8068123914,Citroën,96 cv,167 087 km,Utilitário,,Manual,,Nacional,
272,2003,Classe 1,Diesel,Usados,8075699508,Opel,75 cv,230 000 km,Carrinha,,Manual,,Nacional,Sim
273,2019,,Diesel,Usados,8051596547,BMW,190 cv,17 795 km,Sedan,Série 3,Semi-automática,89-XE-73,Nacional,Sim
274,2005,,Diesel,Usados,8070585262,Citroën,90 cv,197 087 km,Utilitário,,Manual,,Nacional,
275,2017,Classe 1,Gasolina,Usados,8067200594,Toyota,69 cv,68 062 km,Pequeno citadino,,Manual,,Nacional,Sim
276,2014,,Diesel,Usados,8055610493,Volvo,115 cv,169 000 km,Carrinha,,Manual,,,
277,2014,,Diesel,Usados,8070042769,BMW,184 cv,70 000 km,Sedan,Série 4,Manual,,Nacional,Sim
278,2014,Classe 1,Diesel,Usados,8053818754,BMW,184 cv,92 000 km,Coupé,Série 4,Automática,,Importado,Sim
279,2017,,Diesel,Usados,8075624652,Mercedes-Benz,110 cv,24 000 km,Citadino,Classe A,,,,
280,2017,Classe 1,Diesel,Usados,8072169134,Ford,95 cv,112 000 km,Monovolume,,Manual,,Importado,
281,2016,Classe 1,Diesel,Usados,8047577281,Porsche,258 cv,122 000 km,SUV / TT,,Automática,,,Sim
282,2008,,Diesel,Usados,8075698820,Fiat,105 cv,242 000 km,Utilitário,,Manual,,Nacional,
283,2013,,Diesel,Usados,8075698528,Mercedes-Benz,204 cv,210 000 km,Utilitário,Classe E,,,,
284,2015,Classe 1,Diesel,Usados,8074377254,BMW,116 cv,159 000 km,Monovolume,Série 2,Manual,,,
285,2007,,Diesel,Usados,8075697393,Renault,85 cv,264 000 km,Citadino,,,,,Sim
286,2019,Classe 1,Gasolina,Usados,8069218890,Kia,67 cv,5 000 km,Pequeno citadino,,Manual,83-XX-20,Nacional,Sim
287,2009,Classe 1,Diesel,Usados,8071464145,Fiat,105 cv,163 208 km,Utilitário,,Manual,81-HP-67,Nacional,Sim
288,2018,Classe 1,Diesel,Usados,8074377436,Mercedes-Benz,109 cv,31 176 km,Sedan,Classe CLA,Manual,31-UR-96,Nacional,Sim
289,2004,Classe 1,Diesel,Usados,8075698382,Citroën,110 cv,215 852 km,Monovolume,,Manual,,Nacional,Sim
290,2016,Classe 1,Gasolina,Usados,8043838300,Fiat,69 cv,51 694 km,Pequeno citadino,,Manual,,Nacional,
291,2008,Classe 1,Diesel,Usados,8063799799,Toyota,136 cv,200 000 km,Monovolume,,Manual,,Nacional,
292,2018,Classe 1,Eléctrico,Usados,8074373053,Renault,92 cv,62 000 km,Pequeno citadino,,Automática,,Nacional,
293,2009,Classe 1,Diesel,Usados,8060053796,Audi,143 cv,360 000 km,Carrinha,,Automática,,Nacional,
294,2008,,Diesel,Usados,8075595697,Audi,143 cv,291 222 km,Carrinha,,,,,
295,2015,Classe 1,Diesel,Usados,8074552597,Skoda,90 cv,54 000 km,Citadino,,Manual,,,
296,2019,Classe 1,Diesel,Usados,8074372056,SEAT,115 cv,16 062 km,SUV / TT,,Manual,00-00-00,Nacional,
297,2020,Classe 1,Gasolina,Usados,8075603775,Renault,100 cv,700 km,SUV / TT,,Manual,,Nacional,
298,2008,Classe 1,Diesel,Usados,8071311810,Mazda,143 cv,173 500 km,Monovolume,,Manual,52-HB-58,Nacional,Sim
299,2011,Classe 1,Diesel,Usados,8075610444,VW,140 cv,149 000 km,SUV / TT,,Manual,,Nacional,
300,2015,Classe 1,Diesel,Usados,8065231311,Audi,116 cv,99 000 km,Citadino,,Manual,,Importado,Sim
301,2011,,Gasolina,Usados,8075628567,Mercedes-Benz,95 cv,62 000 km,Utilitário,Classe A,Manual,,Nacional,
302,2018,Classe 1,Eléctrico,Usados,8075627651,Nissan,150 cv,22 500 km,Utilitário,,Automática,,Nacional,
303,2018,Classe 1,Diesel,Usados,8064210722,SEAT,95 cv,33 400 km,SUV / TT,,Manual,,Nacional,
304,2018,Classe 1,Eléctrico,Usados,8075627651,Nissan,150 cv,22 500 km,Utilitário,,Automática,,Nacional,
305,2014,,Diesel,Usados,8074377184,BMW,313 cv,170 000 km,Cabrio,Série 6,Automática,,,
306,2020,Classe 1,Gasolina,Usados,8075603775,Renault,100 cv,700 km,SUV / TT,,Manual,,Nacional,
307,2008,,Diesel,Usados,8075697947,Chrysler,163 cv,213 181 km,Monovolume,,,,,Sim
308,2014,Classe 1,Diesel,Usados,8072248823,Ford,115 cv,131 172 km,Carrinha,,Manual,,,
309,2015,Classe 1,Diesel,Usados,8072167828,Ford,115 cv,137 400 km,Utilitário,,Manual,,,
310,2016,Classe 1,Diesel,Usados,8062269195,Peugeot,120 cv,143 000 km,Carrinha,,Manual,,,
