,Ano de Registo,Combustível,Condição,ID,Marca,Matrícula,Origem,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Classe do veículo,Série
0,2019,Gasolina,Usados,8074081238,Renault,30-XD-16,Nacional,90 cv,20 573 km,Citadino,Manual,Sim,,
1,2015,Diesel,Usados,8074279001,VW,,Nacional,110 cv,108 000 km,Carrinha,Manual,Sim,Classe 1,
2,2014,Diesel,Usados,8066085090,Peugeot,,Nacional,70 cv,139 674 km,Citadino,Manual,,Classe 1,
3,2018,Gasolina,Usados,8074081246,Renault,17-VO-35,Nacional,90 cv,24 853 km,Citadino,Manual,Sim,,
4,2019,Diesel,Usados,8074081287,Renault,60-ZJ-63,Nacional,150 cv,3 076 km,SUV / TT,Automática,Sim,,
5,2018,Gasolina,Usados,8074081260,Renault,84-VP-88,Nacional,90 cv,25 292 km,SUV / TT,Manual,Sim,,
6,2016,Diesel,Usados,8059740893,Renault,90-ZD-03,,110 cv,157 264 km,Carrinha,Manual,Sim,Classe 1,
7,2006,Diesel,Usados,8073385631,Citroën,,,110 cv,235 000 km,Utilitário,Manual,Sim,Classe 1,
8,2015,Híbrido (Gasolina),Usados,8075385187,VW,,,204 cv,119 000 km,Citadino,,,,
9,2019,Gasolina,Usados,8074081271,Renault,71-XD-53,Nacional,90 cv,20 450 km,SUV / TT,Manual,Sim,,
10,2019,Gasolina,Usados,8074081171,Renault,24-XN-49,Nacional,90 cv,6 120 km,Carrinha,Manual,Sim,,
11,2019,Gasolina,Usados,8075384538,Nissan,90-XL-45,Nacional,140 cv,3 816 km,SUV / TT,Manual,Sim,,
12,2011,Diesel,Usados,8075384823,VW,,Nacional,105 cv,202 000 km,Carrinha,Manual,,Classe 1,
13,2018,Diesel,Usados,8075384547,Hyundai,50-UL-65,Nacional,75 cv,39 303 km,Citadino,Manual,Sim,,
14,2019,Diesel,Usados,8075384550,Audi,52-ZR-03,Nacional,150 cv,100 km,Carrinha,Automática,Sim,,
15,2019,Eléctrico,Usados,8074081280,BMW,38-ZR-53,Nacional,170 cv,6 km,Utilitário,Automática,Sim,,Série i
16,2018,Diesel,Usados,8074081275,Renault,46-UZ-97,Nacional,110 cv,45 401 km,Sedan,Manual,Sim,,
17,2019,Gasolina,Usados,8074081252,Renault,52-XA-15,Nacional,90 cv,17 638 km,Citadino,Manual,Sim,,
18,2007,Diesel,Usados,8069332426,Opel,,Nacional,90 cv,197 774 km,Coupé,Manual,,Classe 1,
19,2019,Diesel,Usados,8066160316,Renault,,Nacional,110 cv,31 000 km,Carrinha,,Sim,,
20,2019,Gasolina,Usados,8074081224,Renault,27-XD-18,Nacional,90 cv,18 377 km,Citadino,Manual,Sim,,
21,2006,Diesel,Usados,8073385631,Citroën,,,110 cv,235 000 km,Utilitário,Manual,Sim,Classe 1,
22,2015,Diesel,Usados,8074279001,VW,,Nacional,110 cv,108 000 km,Carrinha,Manual,Sim,Classe 1,
23,2016,Híbrido (Gasolina),Usados,8072875103,Volvo,,,390 cv,94 000 km,SUV / TT,Automática,,,
24,2013,Diesel,Usados,8047173256,Renault,,,130 cv,134 995 km,Coupé,Manual,Sim,Classe 1,
25,2019,Eléctrico,Usados,8075385361,Nissan,,,150 cv,12 000 km,Utilitário,,,,
26,2019,Diesel,Usados,8074081231,Renault,69-XD-58,Nacional,90 cv,19 143 km,Carrinha,Manual,Sim,,
27,2013,Diesel,Usados,8075702417,Renault,,,110 cv,140 000 km,Carrinha,,,,
28,2019,Gasolina,Usados,8074081214,Renault,75-XD-04,Nacional,90 cv,19 196 km,SUV / TT,Manual,Sim,,
29,2018,Eléctrico,Usados,8074500630,BMW,00-00-00,,170 cv,10 000 km,Utilitário,Automática,Sim,,Série i
30,2019,Gasolina,Usados,8074081256,Renault,69-XD-64,Nacional,140 cv,20 274 km,Utilitário,Manual,Sim,,
31,2019,Diesel,Usados,8066160068,Renault,,Nacional,115 cv,23 000 km,Carrinha,,Sim,,
32,2015,Diesel,Usados,8068132236,Peugeot,,Importado,120 cv,122 300 km,Carrinha,Manual,,Classe 1,
33,2014,Diesel,Usados,8075384470,Citroën,,,120 cv,171 000 km,Monovolume,Automática,,Classe 1,
34,2018,Eléctrico,Usados,8074500630,BMW,00-00-00,,170 cv,10 000 km,Utilitário,Automática,Sim,,Série i
35,2014,Diesel,Usados,8047444384,Volvo,88-XJ-19,,190 cv,130 324 km,Utilitário,Manual,,Classe 1,
36,2013,Diesel,Usados,8067556268,BMW,,,184 cv,86 800 km,Carrinha,Manual,,Classe 1,Série 3
37,2017,Gasolina,Usados,8069333840,Fiat,,Nacional,70 cv,42 111 km,Cabrio,Manual,,Classe 1,
38,2019,Diesel,Usados,8066159887,Renault,,Nacional,115 cv,15 000 km,Carrinha,Manual,Sim,,
39,2013,Diesel,Usados,8075702417,Renault,,,110 cv,140 000 km,Carrinha,,,,
40,2011,Diesel,Usados,8072715805,Audi,,,105 cv,145 000 km,Citadino,,Sim,,
41,2005,Diesel,Usados,8038055998,Renault,,Nacional,150 cv,175 000 km,Carrinha,Automática,,Classe 1,
42,2019,Diesel,Usados,8069362453,Peugeot,88-VZ-24,Nacional,99 cv,19 688 km,Citadino,Manual,Sim,,
43,2019,Diesel,Usados,8070818687,Audi,03-ZJ-16,Nacional,190 cv,4 238 km,SUV / TT,Automática,Sim,,
44,2003,Diesel,Usados,8006468360,Renault,,Nacional,120 cv,187 000 km,Carrinha,Manual,,,
45,2005,Diesel,Usados,8057283089,Audi,64-MH-22,Importado,105 cv,347 000 km,Utilitário,Manual,,Classe 1,
46,2019,Gasolina,Usados,8072270365,Nissan,13-ZO-46,Nacional,100 cv,2 500 km,Citadino,Automática,Sim,,
47,2004,Diesel,Usados,8056719143,Renault,,Importado,120 cv,249 000 km,Carrinha,Manual,Sim,Classe 1,
48,2015,Diesel,Usados,8072878430,Peugeot,00-00-00,Importado,120 cv,133 000 km,Carrinha,Manual,Sim,Classe 1,
49,2018,Diesel,Usados,8069362528,Toyota,70-US-28,Nacional,90 cv,17 900 km,Utilitário,Manual,Sim,,
50,2008,Diesel,Usados,8009940360,Opel,,Nacional,90 cv,225 000 km,Utilitário,Manual,,Classe 1,
51,2018,Diesel,Usados,8070818593,Nissan,22-VV-45,Nacional,110 cv,22 563 km,SUV / TT,Manual,Sim,,
52,2000,Diesel,Usados,8071553623,Mercedes-Benz,,Importado,102 cv,299 000 km,Carrinha,Manual,,Classe 1,Classe C
53,2010,Diesel,Usados,8067434478,Opel,,,95 cv,201 000 km,Monovolume,Manual,Sim,,
54,2003,Diesel,Usados,8039781010,Citroën,,Nacional,90 cv,225 997 km,Carrinha,Manual,,Classe 1,
55,2019,Diesel,Usados,8069362483,Peugeot,00-XG-63,Nacional,100 cv,21 965 km,Utilitário,Manual,Sim,,
56,2008,Diesel,Usados,8072716207,Peugeot,,,110 cv,188 000 km,Carrinha,,Sim,,
57,2015,Híbrido (Diesel),Usados,8075586724,Mercedes-Benz,,,204 cv,65 600 km,Sedan,Automática,,Classe 1,Classe S
58,1997,Diesel,Usados,8058910041,BMW,00-00-00,Nacional,143 cv,260 000 km,Sedan,Manual,Sim,Classe 1,Série 5
59,2013,Diesel,Usados,8072372239,BMW,,Importado,184 cv,170 000 km,Coupé,Automática,Sim,Classe 1,Série 4
60,2015,Diesel,Usados,8073915045,Audi,,,140 cv,140 000 km,Sedan,,,,
61,2010,Diesel,Usados,8069009029,Renault,03-LA-80,Nacional,90 cv,210 000 km,Carrinha,Manual,,Classe 1,
62,2019,Gasolina,Usados,8072270343,Nissan,67-ZD-73,Nacional,140 cv,5 000 km,SUV / TT,Manual,Sim,,
63,2009,Diesel,Usados,8072715956,Toyota,,,136 cv,150 000 km,Carrinha,,Sim,,
64,2019,Diesel,Usados,8070818629,Peugeot,02-XD-15,Nacional,130 cv,27 000 km,SUV / TT,Manual,Sim,,
65,2013,Diesel,Usados,8072372239,BMW,,Importado,184 cv,170 000 km,Coupé,Automática,Sim,Classe 1,Série 4
66,2014,Diesel,Usados,8059743304,BMW,88-ZD-48,,116 cv,125 674 km,Utilitário,Manual,Sim,Classe 1,Série 1
67,2015,Diesel,Usados,8075386544,Nissan,,,110 cv,116 000 km,SUV / TT,,,,
68,2015,Híbrido (Diesel),Usados,8075586724,Mercedes-Benz,,,204 cv,65 600 km,Sedan,Automática,,Classe 1,Classe S
69,2010,Diesel,Usados,8072716080,Opel,,,110 cv,189 000 km,Carrinha,,Sim,,
70,2018,Diesel,Usados,8072946602,VW,38-UF-92,Nacional,115 cv,68 500 km,Carrinha,Manual,Sim,,
71,2011,Gasolina,Usados,8053678249,Audi,,Importado,272 cv,49 000 km,Coupé,Automática,,Classe 1,
72,2011,Diesel,Usados,8072715644,BMW,,,183 cv,226 000 km,Carrinha,,Sim,,Série 5
73,2015,Diesel,Usados,8073915045,Audi,,,140 cv,140 000 km,Sedan,,,,
74,2019,Gasolina,Usados,8070818638,Peugeot,56-XF-11,Nacional,72 cv,18 300 km,Pequeno citadino,Semi-automática,Sim,,
75,2016,Eléctrico,Usados,8075386733,BMW,,,170 cv,63 000 km,Citadino,,,,Série i
76,2018,Gasolina,Usados,8072946588,Skoda,55-VC-97,Nacional,95 cv,36 954 km,Carrinha,Manual,Sim,,
77,2017,Diesel,Usados,8066155490,Peugeot,,Nacional,180 cv,47 000 km,SUV / TT,Automática,Sim,Classe 1,
78,2017,Diesel,Usados,8066155490,Peugeot,,Nacional,180 cv,47 000 km,SUV / TT,Automática,Sim,Classe 1,
79,2018,Gasolina,Usados,8072946579,VW,80-UH-30,Nacional,75 cv,33 302 km,Citadino,Manual,Sim,,
80,2019,Gasolina,Usados,8061767896,VW,72-XU-44,Nacional,75 cv,1 035 km,Pequeno citadino,Manual,Sim,,
81,2015,Diesel,Usados,8069366337,Renault,,,90 cv,100 000 km,Carrinha,Manual,,,
82,2019,Gasolina,Usados,8067614278,Audi,32-ZF-65,Nacional,116 cv,4 638 km,Citadino,Manual,Sim,,
83,2006,Diesel,Usados,8052960504,Opel,,,120 cv,175 000 km,Sedan,,,,
84,2011,Diesel,Usados,8041197393,BMW,,Importado,177 cv,169 000 km,Cabrio,Manual,Sim,Classe 1,Série 1
85,2018,Diesel,Usados,8069362507,VW,81-UH-46,Nacional,115 cv,22 184 km,Utilitário,Manual,Sim,,
86,2019,Diesel,Usados,8061768102,BMW,38-ZD-90,Nacional,150 cv,100 km,Sedan,Semi-automática,Sim,,Série 3
87,2019,Diesel,Usados,8066164589,BMW,56-XH-96,Nacional,116 cv,17 500 km,SUV / TT,Automática,Sim,Classe 1,Série X
88,2018,Gasolina,Usados,8051282988,SEAT,21-UT-79,Nacional,75 cv,10 800 km,Sedan,Manual,Sim,,
89,2014,Diesel,Usados,8072345916,VW,,,114 cv,159 000 km,Monovolume,Manual,,,
90,2019,Gasolina,Usados,8061767911,VW,73-XU-92,Nacional,95 cv,1 230 km,Citadino,Manual,Sim,,
91,2019,Gasolina,Usados,8061768091,VW,28-XQ-24,Nacional,150 cv,1 975 km,SUV / TT,Manual,Sim,,
92,2019,Gasolina,Usados,8061767828,VW,89-XH-70,Nacional,95 cv,3 920 km,Citadino,Manual,Sim,,
93,2017,Diesel,Usados,8067614323,Audi,33-UB-19,Nacional,150 cv,34 351 km,Sedan,Manual,Sim,,
94,2018,Gasolina,Usados,8074299849,Renault,,Nacional,90 cv,36 100 km,Citadino,Manual,Sim,Classe 1,
95,2019,Diesel,Usados,8069362483,Peugeot,00-XG-63,Nacional,100 cv,21 965 km,Utilitário,Manual,Sim,,
96,2014,Diesel,Usados,8066204529,Mercedes-Benz,,Importado,136 cv,188 000 km,Carrinha,Manual,Sim,Classe 1,Classe C
97,2016,Híbrido (Gasolina),Usados,8073082403,Porsche,,,416 cv,75 000 km,SUV / TT,Automática,Sim,Classe 2,
98,2015,Diesel,Usados,8064571844,Audi,,,110 cv,116 000 km,Utilitário,Manual,,,
99,2015,Diesel,Usados,8070821474,Hyundai,,,75 cv,102 000 km,Citadino,Manual,,,
100,2018,Gasolina,Usados,8067614355,VW,07-UZ-94,Nacional,75 cv,24 369 km,Citadino,Manual,Sim,,
101,2019,Diesel,Usados,8066164583,BMW,56-XH-36,Nacional,116 cv,24 000 km,SUV / TT,Automática,Sim,Classe 1,Série X
102,2019,Diesel,Usados,8060573631,Nissan,93-XU-40,Nacional,110 cv,5 200 km,SUV / TT,Manual,Sim,,
103,2014,Diesel,Usados,8066204529,Mercedes-Benz,,Importado,136 cv,188 000 km,Carrinha,Manual,Sim,Classe 1,Classe C
104,2017,Diesel,Usados,8063110817,Mercedes-Benz,,,136 cv,95 000 km,Carrinha,Manual,,,Classe C
105,2017,Gasolina,Usados,8057638445,Porsche,,,450 cv,46 000 km,Coupé,Automática,Sim,Classe 1,911 (Todos)
106,2019,Gasolina,Usados,8061768096,VW,65-XQ-89,Nacional,80 cv,1 530 km,Citadino,Manual,Sim,,
107,2004,Diesel,Usados,8064623569,VW,,Nacional,140 cv,199 750 km,Utilitário,Manual,,Classe 1,
108,2018,Diesel,Usados,8075631407,Fiat,,Nacional,120 cv,60 000 km,Carrinha,Manual,Sim,Classe 1,
109,2004,Diesel,Usados,8064623569,VW,,Nacional,140 cv,199 750 km,Utilitário,Manual,,Classe 1,
110,2019,Diesel,Usados,8069362536,BMW,36-XQ-04,Nacional,190 cv,12 000 km,Sedan,Semi-automática,Sim,,Série 3
111,2018,Diesel,Usados,8075631407,Fiat,,Nacional,120 cv,60 000 km,Carrinha,Manual,Sim,Classe 1,
112,2018,Diesel,Usados,8066164431,BMW,81-UU-92,Nacional,190 cv,40 500 km,SUV / TT,Automática,Sim,,Série X
113,2012,Diesel,Usados,8075389282,Porsche,,,250 cv,150 000 km,Sedan,Automática,Sim,Classe 1,
114,2018,Diesel,Usados,8067614365,BMW,81-UU-85,Nacional,116 cv,41 972 km,Monovolume,Manual,Sim,,Série 2
115,2010,Diesel,Usados,8072930107,BMW,01-IV-82,Nacional,245 cv,211 000 km,Sedan,Automática,,Classe 1,Série 5
116,2018,Gasolina,Usados,8074299849,Renault,,Nacional,90 cv,36 100 km,Citadino,Manual,Sim,Classe 1,
117,2006,Diesel,Usados,8002095745,Mitsubishi,,Nacional,140 cv,231 000 km,SUV / TT,Manual,Sim,,
118,2016,Diesel,Usados,8039007445,Volvo,44-VQ-70,,120 cv,45 621 km,Carrinha,Manual,Sim,Classe 1,
119,2019,Diesel,Usados,8066164584,BMW,55-XH-74,Nacional,116 cv,18 000 km,SUV / TT,Automática,Sim,Classe 1,Série X
120,2017,Diesel,Usados,8070727590,SEAT,00-TE-91,Nacional,115 cv,52 074 km,Carrinha,Manual,,,
121,2018,Diesel,Usados,8069258471,Peugeot,00-UH-81,Nacional,75 cv,55 598 km,Citadino,Manual,Sim,,
122,2016,Diesel,Usados,8070789049,MINI,,Importado,116 cv,111 245 km,Cabrio,Manual,Sim,Classe 1,
123,2005,Diesel,Usados,8073829578,Fiat,,Nacional,90 cv,137 000 km,Citadino,Manual,,,
124,2019,Gasolina,Usados,8069258957,Peugeot,80-XG-06,Nacional,83 cv,18 658 km,SUV / TT,Manual,Sim,,
125,2018,Diesel,Usados,8061501466,Volvo,28-UD-59,Nacional,120 cv,15 300 km,Utilitário,Manual,,,
126,2005,Diesel,Usados,8064893792,Mercedes-Benz,,Nacional,250 cv,300 000 km,Sedan,Automática,,,Classe S
127,2014,Diesel,Usados,8075745751,Mercedes-Benz,,Nacional,170 cv,85 547 km,SUV / TT,Automática,Sim,Classe 1,Classe GLK
128,2015,Diesel,Usados,8059858911,Peugeot,,,120 cv,160 546 km,Carrinha,Manual,Sim,Classe 1,
129,2019,Gasolina,Usados,8075623642,Citroën,,Nacional,83 cv,780 km,Citadino,Manual,Sim,Classe 1,
130,2019,Diesel,Usados,8061768117,BMW,38-ZD-58,Nacional,116 cv,500 km,SUV / TT,Automática,Sim,,Série X
131,2019,Diesel,Usados,8075397090,Citroën,82-XO-51,Nacional,102 cv,19 712 km,Citadino,Manual,Sim,,
132,2019,Gasolina,Usados,8069258310,Hyundai,31-XF-80,Nacional,66 cv,5 809 km,Pequeno citadino,Manual,Sim,,
133,2009,Gasolina,Usados,8059718739,MINI,52-ZF-34,Importado,174 cv,144 716 km,Citadino,Manual,Sim,Classe 1,
134,2018,Gasolina,Usados,8070727415,Skoda,04-UN-99,Nacional,95 cv,44 108 km,Carrinha,Manual,Sim,,
135,2019,Gasolina,Usados,8067310712,SEAT,,Nacional,95 cv,10 170 km,SUV / TT,,,,
136,2019,Diesel,Usados,8061768086,VW,95-XX-53,Nacional,115 cv,3 780 km,SUV / TT,Manual,Sim,,
137,2019,Diesel,Usados,8061768098,BMW,39-ZD-02,Nacional,190 cv,500 km,Sedan,Manual,Sim,,Série 3
138,2007,Diesel,Usados,8075380106,Renault,,Nacional,115 cv,180 000 km,Carrinha,Manual,,Classe 1,
139,2016,Diesel,Usados,8061823998,Renault,,,90 cv,124 000 km,Citadino,Manual,,,
140,2015,Gasolina,Usados,8069258687,Nissan,71-QN-58,Nacional,115 cv,91 000 km,SUV / TT,Manual,Sim,,
141,2014,Diesel,Usados,8075745751,Mercedes-Benz,,Nacional,170 cv,85 547 km,SUV / TT,Automática,Sim,Classe 1,Classe GLK
142,2019,Gasolina,Usados,8069258335,Mitsubishi,76-XA-78,Nacional,80 cv,20 410 km,Sedan,Manual,Sim,,
143,2019,Diesel,Usados,8069258970,Peugeot,34-XL-48,Nacional,102 cv,20 538 km,Carrinha,Manual,Sim,,
144,2019,Diesel,Usados,8061768106,BMW,39-ZD-10,Nacional,150 cv,500 km,Sedan,Semi-automática,Sim,,Série 3
145,2018,Gasolina,Usados,8069258420,Kia,64-UP-84,Nacional,67 cv,11 116 km,Pequeno citadino,Manual,Sim,,
146,2018,Diesel,Usados,8069258483,Peugeot,55-UG-04,Nacional,75 cv,48 110 km,Citadino,Manual,Sim,,
147,2018,Gasolina,Usados,8074096148,Skoda,03-UN-99,Nacional,95 cv,35 000 km,Carrinha,Manual,,,
148,2011,Diesel,Usados,8075397453,Volvo,,Importado,114 cv,158 000 km,Pequeno citadino,Manual,,,
149,2017,Diesel,Usados,8049347825,Citroën,,,120 cv,130 000 km,Utilitário,Manual,,,
150,2011,Diesel,Usados,8073085290,Chevrolet,,Nacional,163 cv,150 000 km,Sedan,Manual,Sim,Classe 1,
151,2015,Diesel,Usados,8060836167,Land Rover,,Nacional,255 cv,85 000 km,SUV / TT,Automática,,,
152,2019,Gasolina,Usados,8075623642,Citroën,,Nacional,83 cv,780 km,Citadino,Manual,Sim,Classe 1,
153,2019,Gasolina,Usados,8075397261,Nissan,56-XR-32,Nacional,140 cv,10 300 km,SUV / TT,Manual,Sim,,
154,1981,Diesel,Usados,8072258535,Mercedes-Benz,,Nacional,81 cv,442 174 km,Sedan,,,,
155,2011,Diesel,Usados,8073085290,Chevrolet,,Nacional,163 cv,150 000 km,Sedan,Manual,Sim,Classe 1,
156,2018,Diesel,Usados,8064374166,Skoda,40-VC-20,Nacional,115 cv,22 000 km,Carrinha,Manual,,,
157,2015,Diesel,Usados,8059858911,Peugeot,,,120 cv,160 546 km,Carrinha,Manual,Sim,Classe 1,
158,2015,Diesel,Usados,8064346929,BMW,36-QR-42,Nacional,150 cv,28 500 km,Monovolume,Manual,,,Série 2
159,2017,Diesel,Usados,8074090492,Hyundai,,Nacional,116 cv,34 677 km,SUV / TT,Manual,,Classe 1,
160,2009,Diesel,Usados,8070803808,Opel,,Nacional,75 cv,58 000 km,Citadino,Manual,,Classe 1,
161,2012,Diesel,Usados,8053662481,Opel,39-NB-26,Nacional,130 cv,137 100 km,Sedan,Manual,Sim,,
162,2015,Diesel,Usados,8072915186,Ford,,Nacional,120 cv,123 000 km,Carrinha,Manual,,Classe 1,
163,2011,Diesel,Usados,8057570407,Renault,66-OJ-23,Importado,110 cv,170 000 km,Monovolume,Manual,Sim,Classe 1,
164,2006,Diesel,Usados,8074039233,Renault,,Nacional,175 cv,198 000 km,Carrinha,Manual,,,
165,2009,Diesel,Usados,8059096504,Peugeot,,Nacional,110 cv,189 127 km,Utilitário,Manual,,Classe 1,
166,2001,Diesel,Usados,8069462512,Audi,00-00-00,,130 cv,222 179 km,Utilitário,Manual,Sim,Classe 1,
167,2017,Diesel,Usados,8072813735,Volvo,,Nacional,120 cv,32 491 km,Utilitário,Manual,,Classe 1,
168,2014,Diesel,Usados,8075683640,Renault,,Importado,90 cv,190 000 km,Carrinha,Manual,,Classe 1,
169,2001,Diesel,Usados,8046021459,Toyota,,,170 cv,320 000 km,SUV / TT,Manual,,,
170,2015,Diesel,Usados,8075608498,Ford,,Nacional,140 cv,64 251 km,Monovolume,Manual,,Classe 1,
171,2015,Híbrido (Diesel),Usados,8063800413,Peugeot,,,200 cv,143 000 km,Carrinha,Automática,,Classe 1,
172,2014,Diesel,Usados,8075683640,Renault,,Importado,90 cv,190 000 km,Carrinha,Manual,,Classe 1,
173,2015,Diesel,Usados,8074221837,BMW,,,190 cv,121 000 km,Sedan,Manual,Sim,Classe 1,Série 4
174,2017,Gasolina,Usados,8072986748,Fiat,00-00-00,Nacional,69 cv,69 975 km,Pequeno citadino,Manual,Sim,Classe 1,
175,1977,Gasolina,Usados,8066570163,VW,,,50 cv,68 500 km,Monovolume,Manual,Sim,Classe 2,
176,2016,Diesel,Usados,8064208547,Mercedes-Benz,13-ZI-41,,110 cv,107 000 km,Sedan,Automática,Sim,,Classe CLA
177,2009,Diesel,Usados,8072264399,Nissan,,Nacional,110 cv,240 000 km,SUV / TT,Manual,,Classe 1,
178,2019,Gasolina,Usados,8075599190,Renault,,Nacional,90 cv,19 500 km,Citadino,Manual,,Classe 1,
179,2018,Diesel,Usados,8064135697,Fiat,,Nacional,95 cv,48 000 km,Carrinha,Manual,Sim,Classe 1,
180,2019,Gasolina,Usados,8075599190,Renault,,Nacional,90 cv,19 500 km,Citadino,Manual,,Classe 1,
181,2014,Diesel,Usados,8066791758,Ford,,,85 cv,118 000 km,Citadino,Manual,Sim,Classe 1,
182,2008,Diesel,Usados,8066670658,Nissan,,Nacional,110 cv,108 500 km,SUV / TT,Manual,,Classe 1,
183,2017,Diesel,Usados,8071078813,BMW,,,190 cv,55 700 km,Carrinha,Automática,Sim,Classe 1,Série 5
184,2015,Diesel,Usados,8073010666,Renault,00-00-00,,95 cv,92 496 km,Citadino,Manual,Sim,Classe 1,
185,2016,Diesel,Usados,8069313305,BMW,,Importado,150 cv,149 046 km,SUV / TT,Automática,Sim,Classe 1,Série 2
186,2016,Diesel,Usados,8072987194,Peugeot,40-RL-05,Nacional,120 cv,34 100 km,Utilitário,Manual,,,
187,2018,Gasolina,Usados,8063989716,Volvo,,Nacional,152 cv,16 867 km,Utilitário,Automática,,,
188,2018,Gasolina,Usados,8072986732,Fiat,00-00-00,Nacional,69 cv,50 675 km,Citadino,Manual,Sim,Classe 1,
189,2015,Diesel,Usados,8075608498,Ford,,Nacional,140 cv,64 251 km,Monovolume,Manual,,Classe 1,
190,2016,Diesel,Usados,8064208547,Mercedes-Benz,13-ZI-41,,110 cv,107 000 km,Sedan,Automática,Sim,,Classe CLA
191,2008,Diesel,Usados,8066740983,VW,,Nacional,140 cv,202 500 km,Monovolume,Manual,,Classe 1,
192,2018,Gasolina,Usados,8066219017,Smart,00-00-00,Nacional,90 cv,33 776 km,Citadino,Manual,Sim,Classe 1,
193,2014,Diesel,Usados,8075404509,Peugeot,,Importado,120 cv,139 000 km,Carrinha,Manual,,Classe 1,
194,2015,Diesel,Usados,8073035817,Audi,,,150 cv,182 000 km,Sedan,Automática,Sim,Classe 1,
195,2016,Diesel,Usados,8069332443,Audi,,,150 cv,138 500 km,Sedan,Manual,Sim,Classe 1,
196,2016,Diesel,Usados,8072915713,Volvo,,,120 cv,139 000 km,Utilitário,Automática,,Classe 1,
197,2016,Gasolina,Usados,8075404329,Renault,,,220 cv,119 000 km,Utilitário,Automática,Sim,Classe 1,
198,2008,Gasolina,Usados,8075404177,Cadillac,,,409 cv,110 000 km,SUV / TT,,,,
199,2016,Gasolina,Usados,8075382905,Ford,,,205 cv,75 760 km,Citadino,Manual,,Classe 1,
200,2018,Diesel,Usados,8048318682,BMW,,,190 cv,20 247 km,Sedan,Automática,,,Série 3
201,2015,Diesel,Usados,8075405706,Peugeot,,,120 cv,177 km,Carrinha,,,,
202,2008,Diesel,Usados,8075404441,SEAT,,,105 cv,200 166 km,Utilitário,,,,
203,2013,Diesel,Usados,8072926213,Opel,,Nacional,95 cv,203 000 km,Citadino,Manual,,Classe 1,
204,2018,Diesel,Usados,8069478480,Peugeot,92UV94,,120 cv,28 602 km,Carrinha,Manual,Sim,,
205,2015,Diesel,Usados,8072989130,Renault,,,160 cv,105 000 km,Monovolume,,,,
206,2016,Diesel,Usados,8067746332,Peugeot,87RU23,,120 cv,92 205 km,Carrinha,Manual,Sim,,
207,2006,Diesel,Usados,8075406425,Volvo,,,110 cv,185 789 km,Carrinha,Manual,,Classe 1,
208,2011,Diesel,Usados,8069402516,Audi,,Nacional,204 cv,193 217 km,Sedan,Automática,,,
209,2014,Diesel,Usados,8075380503,SEAT,,,110 cv,109 123 km,Utilitário,Manual,,Classe 1,
210,2015,Diesel,Usados,8067746080,Opel,40QJ46,,110 cv,50 617 km,Utilitário,Manual,Sim,,
211,2012,Diesel,Usados,8072937043,Toyota,00-00-00,Nacional,90 cv,123 831 km,Pequeno citadino,Manual,,,
212,2008,Híbrido (Gasolina),Usados,8075406352,Honda,,Nacional,95 cv,128 000 km,Sedan,Automática,,,
213,2015,Diesel,Usados,8072989130,Renault,,,160 cv,105 000 km,Monovolume,,,,
214,2015,Diesel,Usados,8070083261,Volvo,,Nacional,181 cv,77 800 km,SUV / TT,Manual,,Classe 1,
215,2011,Diesel,Usados,8069203331,BMW,,Nacional,204 cv,280 000 km,Sedan,Automática,,Classe 1,Série 5
216,2016,Diesel,Usados,8063211965,VW,41RC81,,110 cv,64 422 km,Carrinha,Manual,Sim,,
217,2006,Diesel,Usados,8070756781,Ford,,Nacional,110 cv,95 000 km,Carrinha,Manual,,Classe 1,
218,2008,Diesel,Usados,8075405933,Citroën,,,66 cv,163 600 km,Carrinha,,,,
219,2017,Diesel,Usados,8063006866,Mercedes-Benz,,Importado,109 cv,138 000 km,Carrinha,Manual,,Classe 1,Classe CLA
220,2016,Diesel,Usados,8075404504,Peugeot,,,120 cv,60 000 km,Carrinha,Manual,Sim,Classe 1,
221,2000,Diesel,Usados,8063095242,BMW,00-00-00,Nacional,136 cv,289 581 km,Carrinha,Manual,Sim,,Série 5
222,1983,Gasolina,Usados,8066182966,Mercedes-Benz,,,175 cv,169 343 km,Sedan,Automática,,,
223,2015,Diesel,Usados,8072303440,Jaguar,05-PL-29,Nacional,275 cv,35 000 km,Sedan,Automática,,Classe 1,
224,2015,Diesel,Usados,8067255509,Mercedes-Benz,,Nacional,170 cv,115 000 km,SUV / TT,Automática,,Classe 1,Classe GLA
225,2010,Diesel,Usados,8073117803,VW,,,105 cv,165 000 km,Carrinha,Automática,,Classe 1,
226,2014,Diesel,Usados,8065582108,Citroën,,,120 cv,137 123 km,Monovolume,Automática,,Classe 1,
227,2015,Diesel,Usados,8073915045,Audi,,,140 cv,140 000 km,Sedan,,,,
228,2007,Diesel,Usados,8072965387,VW,,,140 cv,183 000 km,Sedan,Manual,,Classe 1,
229,2016,Diesel,Usados,8073980376,VW,,Nacional,110 cv,92 000 km,Carrinha,Manual,,Classe 1,
230,2017,Diesel,Usados,8057772457,Mercedes-Benz,39TM49,,109 cv,56 677 km,Carrinha,Manual,Sim,,Classe CLA
231,2018,Diesel,Usados,8069478889,Fiat,15VS20,,95 cv,19 668 km,Utilitário,Manual,Sim,,
