,Ano de Registo,Combustível,Condição,ID,Marca,Matrícula,Origem,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Classe do veículo,Série
1999,2019,Diesel,Usados,8075481829,Renault,71-XG-86,,115 cv,12 594 km,SUV / TT,Manual,Sim,,
2000,2014,Diesel,Usados,8063845974,Citroën,,,70 cv,120 000 km,Citadino,Manual,Sim,Classe 1,
2001,2016,Diesel,Usados,8075778900,Renault,,,110 cv,100 000 km,Carrinha,Manual,,Classe 1,
2002,2015,Diesel,Usados,8075482022,BMW,,Nacional,231 cv,68 594 km,SUV / TT,Automática,,Classe 1,Série X
2003,2019,Gasolina,Usados,8075481905,Renault,79-XD-33,,90 cv,18 346 km,SUV / TT,Manual,Sim,,
2004,2015,Diesel,Usados,8068447166,Renault,,Nacional,90 cv,150 000 km,Carrinha,Manual,Sim,,
2005,2019,Diesel,Usados,8075482011,Renault,37-XJ-74,,90 cv,19 956 km,Carrinha,Manual,Sim,,
2006,2016,Diesel,Usados,8075591793,Mercedes-Benz,,Nacional,204 cv,49 356 km,Coupé,Automática,,Classe 1,Classe C
2007,2019,Gasolina,Usados,8075482005,Renault,35-XJ-16,,90 cv,12 730 km,Citadino,Manual,Sim,,
2008,2019,Gasolina,Usados,8075481932,Renault,50-XF-76,,90 cv,17 993 km,SUV / TT,Manual,Sim,,
2009,2018,Diesel,Usados,8075481948,Renault,10-VH-38,,110 cv,34 887 km,Monovolume,Manual,Sim,,
2010,2018,Diesel,Usados,8075481991,Renault,00-VT-53,,110 cv,29 354 km,Carrinha,Manual,Sim,,
2011,2016,Diesel,Usados,8062799117,Audi,03-RI-09,Nacional,110 cv,138 433 km,Utilitário,Manual,,Classe 1,
2012,2018,Diesel,Usados,8068982199,Fiat,19-UM-82,Nacional,95 cv,66 802 km,Utilitário,Manual,,Classe 1,
2013,2015,Diesel,Usados,8074693553,BMW,,,150 cv,140 000 km,Carrinha,Automática,,Classe 1,Série 3
2014,2019,Gasolina,Usados,8075481971,Renault,34-XJ-60,,90 cv,12 769 km,SUV / TT,Manual,Sim,,
2015,2010,Diesel,Usados,8073206147,BMW,,,143 cv,123 000 km,Utilitário,Manual,Sim,Classe 1,Série 1
2016,2016,Diesel,Usados,8075591793,Mercedes-Benz,,Nacional,204 cv,49 356 km,Coupé,Automática,,Classe 1,Classe C
2017,2018,Diesel,Usados,8075481915,Renault,04-UL-48,,110 cv,48 492 km,Monovolume,Manual,Sim,,
2018,2019,Diesel,Usados,8075481982,Renault,27-XD-93,,115 cv,21 614 km,Carrinha,Manual,Sim,,
2019,1999,Gasolina,Usados,8075590635,Honda,,Nacional,90 cv,254 000 km,Carrinha,Manual,,Classe 1,
2020,2016,Diesel,Usados,8062798732,Audi,02-RI-63,Nacional,110 cv,130 365 km,Utilitário,Manual,,Classe 1,
2021,1999,Gasolina,Usados,8075590635,Honda,,Nacional,90 cv,254 000 km,Carrinha,Manual,,Classe 1,
2022,2007,Diesel,Usados,8072259353,BMW,,Nacional,177 cv,266 000 km,Coupé,Automática,,Classe 1,Série 3
2023,2016,Gasolina,Usados,8054332761,Renault,,Nacional,90 cv,58 575 km,Citadino,Manual,Sim,Classe 1,
2024,2018,Gasolina,Usados,8062797597,Renault,69-UI-01,Nacional,90 cv,36 871 km,Citadino,Manual,,Classe 1,
2025,2019,Diesel,Usados,8075481940,Renault,71-XG-45,,115 cv,22 009 km,Carrinha,Manual,Sim,,
2026,2016,Diesel,Usados,8075778900,Renault,,,110 cv,100 000 km,Carrinha,Manual,,Classe 1,
2027,2018,Diesel,Usados,8075482042,Renault,50-US-90,,110 cv,47 426 km,Monovolume,Manual,Sim,,
2028,2019,Diesel,Usados,8075481927,Renault,38-XH-08,,115 cv,16 986 km,SUV / TT,Manual,Sim,,
2029,2010,Diesel,Usados,8073206147,BMW,,,143 cv,123 000 km,Utilitário,Manual,Sim,Classe 1,Série 1
2030,2019,Gasolina,Usados,8075481998,Renault,36-XJ-04,,90 cv,16 151 km,Citadino,Manual,Sim,,
2031,2011,Gasolina,Usados,8062992488,Toyota,,,68 cv,85 000 km,Pequeno citadino,Manual,,Classe 1,
2032,2019,Gasolina,Usados,8075481957,Renault,50-XF-97,,90 cv,13 519 km,SUV / TT,Manual,Sim,,
2033,2018,Diesel,Usados,8075482021,Renault,02-UL-60,,110 cv,48 764 km,Monovolume,Manual,Sim,,
2034,2006,Diesel,Usados,8063846461,Renault,,,100 cv,170 000 km,Carrinha,Manual,Sim,,
2035,2016,Diesel,Usados,8062798357,Audi,03-RI-89,Nacional,110 cv,129 468 km,Utilitário,Manual,,Classe 1,
2036,2018,Gasolina,Usados,8062797788,Renault,68-UI-68,Nacional,90 cv,51 266 km,Carrinha,Manual,,Classe 1,
2037,2015,Diesel,Usados,8073391182,Citroën,,,100 cv,118 829 km,Utilitário,Manual,,,
2038,2019,Gasolina,Usados,8075481892,Renault,36-XJ-56,,90 cv,15 873 km,SUV / TT,Manual,Sim,,
2039,1998,Diesel,Usados,8069741777,Audi,,Nacional,110 cv,344 000 km,Carrinha,Manual,Sim,Classe 1,
2040,2007,Gasolina,Usados,8043562444,MINI,,,130 cv,80 000 km,Citadino,Manual,Sim,,
2041,2000,Gasolina,Usados,8054868059,Mercedes-Benz,,Nacional,306 cv,182 829 km,Coupé,Automática,,Classe 1,Classe CL
2042,2014,Diesel,Usados,8060481998,Ford,,,116 cv,174 875 km,Sedan,Manual,Sim,Classe 1,
2043,2015,Diesel,Usados,8071051001,Audi,11-QS-04,Nacional,150 cv,53 732 km,Sedan,Manual,,,
2044,2019,Gasolina,Usados,8075482138,Renault,95-XF-88,,90 cv,18 116 km,Carrinha,Manual,Sim,,
