,gas,diesel,electric,GPL,hybrid,CNG
,fuel_type,fuel_type,fuel_type,fuel_type,fuel_type,fuel_type
year,,,,,,
1923,1.0,0.0,0.0,0.0,0.0,0.0
1930,1.0,0.0,0.0,0.0,0.0,0.0
1931,1.0,0.0,0.0,0.0,0.0,0.0
1932,1.0,0.0,0.0,0.0,0.0,0.0
1934,1.0,0.0,0.0,0.0,0.0,0.0
1936,1.0,0.0,0.0,0.0,0.0,0.0
1937,1.0,0.0,0.0,0.0,0.0,0.0
1938,1.0,0.0,0.0,0.0,0.0,0.0
1939,1.0,0.0,0.0,0.0,0.0,0.0
1941,1.0,0.0,0.0,0.0,0.0,0.0
1942,0.0,1.0,0.0,0.0,0.0,0.0
1943,0.5,0.5,0.0,0.0,0.0,0.0
1945,1.0,0.0,0.0,0.0,0.0,0.0
1947,1.0,0.0,0.0,0.0,0.0,0.0
1948,1.0,0.0,0.0,0.0,0.0,0.0
1949,1.0,0.0,0.0,0.0,0.0,0.0
1950,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0
1951,1.0,0.0,0.0,0.0,0.0,0.0
1952,1.0,0.0,0.0,0.0,0.0,0.0
1953,1.0,0.0,0.0,0.0,0.0,0.0
1954,1.0,0.0,0.0,0.0,0.0,0.0
1955,1.0,0.0,0.0,0.0,0.0,0.0
1956,1.0,0.0,0.0,0.0,0.0,0.0
1957,1.0,0.0,0.0,0.0,0.0,0.0
1958,1.0,0.0,0.0,0.0,0.0,0.0
1959,0.9090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0
1960,1.0,0.0,0.0,0.0,0.0,0.0
1961,0.95,0.05,0.0,0.0,0.0,0.0
1962,1.0,0.0,0.0,0.0,0.0,0.0
1963,1.0,0.0,0.0,0.0,0.0,0.0
1964,0.9354838709677419,0.06451612903225806,0.0,0.0,0.0,0.0
1965,0.9215686274509803,0.058823529411764705,0.0,0.0196078431372549,0.0,0.0
1966,0.958904109589041,0.0410958904109589,0.0,0.0,0.0,0.0
1967,1.0,0.0,0.0,0.0,0.0,0.0
1968,0.9682539682539683,0.031746031746031744,0.0,0.0,0.0,0.0
1969,1.0,0.0,0.0,0.0,0.0,0.0
1970,0.9736842105263158,0.02631578947368421,0.0,0.0,0.0,0.0
1971,0.9204545454545454,0.06818181818181818,0.0,0.011363636363636364,0.0,0.0
1972,0.975,0.016666666666666666,0.0,0.008333333333333333,0.0,0.0
1973,0.968421052631579,0.010526315789473684,0.0,0.021052631578947368,0.0,0.0
1974,0.9375,0.044642857142857144,0.0,0.017857142857142856,0.0,0.0
1975,0.9464285714285714,0.05357142857142857,0.0,0.0,0.0,0.0
1976,0.9506172839506173,0.037037037037037035,0.0,0.012345679012345678,0.0,0.0
1977,0.8913043478260869,0.10869565217391304,0.0,0.0,0.0,0.0
1978,0.94,0.06,0.0,0.0,0.0,0.0
1979,0.9367088607594937,0.05063291139240506,0.0,0.012658227848101266,0.0,0.0
1980,0.8633093525179856,0.1223021582733813,0.0,0.014388489208633094,0.0,0.0
1981,0.8661971830985915,0.1267605633802817,0.0,0.007042253521126761,0.0,0.0
1982,0.7580645161290323,0.22043010752688172,0.0,0.021505376344086023,0.0,0.0
1983,0.8347107438016529,0.16115702479338842,0.0,0.004132231404958678,0.0,0.0
1984,0.8773584905660378,0.1179245283018868,0.0,0.0047169811320754715,0.0,0.0
1985,0.8515625,0.13671875,0.0,0.01171875,0.0,0.0
1986,0.8172413793103448,0.1724137931034483,0.0,0.010344827586206896,0.0,0.0
1987,0.8362573099415205,0.15497076023391812,0.0,0.008771929824561403,0.0,0.0
1988,0.888030888030888,0.10231660231660232,0.0,0.009652509652509652,0.0,0.0
1989,0.916030534351145,0.07480916030534351,0.0015267175572519084,0.007633587786259542,0.0,0.0
1990,0.8725296442687747,0.10869565217391304,0.0,0.016798418972332016,0.0,0.001976284584980237
1991,0.8963210702341137,0.08494983277591973,0.0,0.018060200668896322,0.0,0.0006688963210702341
1992,0.8778195488721805,0.09962406015037593,0.0,0.022556390977443608,0.0,0.0
1993,0.9136939010356732,0.07019562715765247,0.0,0.01611047180667434,0.0,0.0
1994,0.9035846724351051,0.08323032550473836,0.0,0.012360939431396786,0.00041203131437989287,0.00041203131437989287
1995,0.9189535778404719,0.06514490895101308,0.0,0.015901513208515003,0.0,0.0
1996,0.9084638329604773,0.0732662192393736,0.0,0.017524235645041013,0.0,0.0007457121551081282
1997,0.9036078215367668,0.07312035251996696,0.00013770311209033325,0.022721013494904983,0.00013770311209033325,0.0002754062241806665
1998,0.8892131431041936,0.0907911802853437,0.00010808473843493298,0.019779507133592736,0.0,0.00010808473843493298
1999,0.857725527831094,0.11980166346769033,0.0,0.022232885476647472,7.99744081893794e-05,0.0001599488163787588
2000,0.7837298142038548,0.19517277305087688,0.0,0.02057648897378017,0.0,0.0005209237714881056
2001,0.7448455708581208,0.23298834650802705,0.00016298590171950127,0.021351153125254665,8.149295085975064e-05,0.0005704506560182544
2002,0.6896076523994812,0.2912613488975357,8.106355382619974e-05,0.017590791180285344,0.0,0.0014591439688715954
2003,0.6338229755178908,0.3430508474576271,0.0,0.021544256120527308,0.0,0.0015819209039548022
2004,0.5452546720410407,0.43297911322828875,0.0,0.019494320263832906,0.0005862953462806889,0.0016855991205569805
2005,0.5438734050894576,0.43559769049825364,7.128091809822511e-05,0.0173212630978687,7.128091809822511e-05,0.0030650794782236795
2006,0.4868011908699967,0.4965927886205756,0.0,0.01177638107839894,0.0007277538868673503,0.004101885544161429
