,0,3
0,8074691757,10 500
1,8071581470,12 990
2,8064331376,34 900
3,8074830352,12 500
4,8069781642,9 875
5,8074120916,22 990
6,8074688168,8 500
7,8073601719,16 499
8,8074121681,14 800
9,8074691572,11 200
10,8074292361,2 800
11,8074381378,6 950
12,8073704438,5 500
13,8074958852,24 350
14,8074121536,24 990
15,8073999376,7 000
16,8056747035,31 000
17,8074878760,5 900
18,8067315425,27 490
19,8074691184,35 999
20,8074954471,9 500
21,8074120759,31 749
22,8074958787,28 999
23,8074942989,26 749
24,8058698529,25 999
25,8067281590,18 000
26,8071138579,9 150
27,8074121034,18 000
28,8074956795,19 900
29,8066364980,15 500
30,8047093892,25 900
31,8058156503,13 500
32,8074119164,10 500
33,8074689931,12 990
34,8072247321,34 900
35,8056499298,12 500
36,8074119321,9 875
37,8074689678,22 990
38,8074956737,8 500
39,8074689069,16 499
40,8074689303,14 800
41,8075417019,11 200
42,8074119902,2 800
43,8074689064,6 950
44,8070660243,5 500
45,8059948118,24 350
46,8074688723,24 990
47,8072926213,7 000
48,8052914668,31 000
49,8074688560,5 900
50,8075073148,27 490
51,8074688488,35 999
52,8075416165,9 500
53,8072158025,31 749
54,8074227731,28 999
55,8059486009,26 749
56,8074118760,25 999
57,8074688234,18 000
58,8074954208,9 150
59,8074118507,18 000
60,8074118419,19 900
61,8074117040,15 500
62,8074953540,25 900
63,8066557570,13 500
64,8074187919,10 500
65,8074845395,12 990
66,8074953751,34 900
67,8074953736,12 500
68,8066020864,9 875
69,8073861676,22 990
70,8069409859,8 500
71,8072857711,16 499
72,8072857910,14 800
73,8072857954,11 200
74,8073861683,2 800
75,8073592276,6 950
76,8069331411,5 500
77,8053295938,24 350
78,8072573900,24 990
79,8072854038,7 000
80,8074885708,31 000
81,8051460973,5 900
82,8075275090,27 490
83,8074116889,35 999
84,8074952507,9 500
85,8075274092,31 749
86,8074280814,28 999
87,8064765687,26 749
88,8073385584,25 999
89,8070252559,18 000
90,8073370513,9 150
91,8073370670,18 000
92,8075186285,19 900
93,8073386939,15 500
94,8072859110,25 900
95,8074951783,13 500
96,8075274984,10 500
97,8075186277,12 990
98,8072574444,34 900
99,8070317227,12 500
100,8073789260,9 875
101,8074951476,22 990
102,8074950414,8 500
103,8074947008,16 499
104,8073551170,14 800
105,8067300388,11 200
106,8050776076,2 800
107,8074685785,6 950
108,8050205273,5 500
109,8071726529,24 350
110,8056864528,24 990
111,8075370189,7 000
112,8066692150,31 000
113,8074685597,5 900
114,8075264137,27 490
115,8069299927,35 999
116,8072939522,9 500
117,8071562113,31 749
118,8074878639,28 999
119,8074626460,26 749
120,8073586856,25 999
121,8074684173,18 000
122,8074947564,9 150
123,8075065414,18 000
124,8074113389,19 900
125,8074682873,15 500
126,8063769362,25 900
127,8066025245,13 500
128,8070379353,10 500
129,8072643954,12 990
130,8074041792,34 900
131,8065718791,12 500
132,8054159798,9 875
133,8074947794,22 990
134,8072567659,8 500
135,8057984723,16 499
136,8054163200,14 800
137,8063739651,11 200
138,8073589141,2 800
139,8073267320,6 950
140,8060419806,5 500
141,8066750140,24 350
142,8074497367,24 990
143,8065849980,7 000
144,8069411535,31 000
145,8058921166,5 900
146,8075186325,27 490
147,8075186323,35 999
148,8068002575,9 500
149,8075186265,31 749
150,8075186356,28 999
151,8072280801,26 749
152,8075186315,25 999
153,8039478811,18 000
154,8074939671,9 150
155,8054546447,18 000
156,8059308013,19 900
157,8072965940,15 500
158,8059414879,25 900
159,8046729266,13 500
160,8075275066,10 500
161,8071589881,12 990
162,8043568499,34 900
163,8074054939,12 500
164,8072072018,9 875
165,8051089301,22 990
166,8073535786,8 500
167,8053900575,16 499
168,8065239873,14 800
169,8047887334,11 200
170,8059534135,2 800
171,8072541743,6 950
172,8074111350,5 500
173,8073635900,24 350
174,8073883512,24 990
175,8065748403,7 000
176,8055833796,31 000
177,8074943918,5 900
178,8074680744,27 490
179,8074273222,35 999
180,8074841439,9 500
181,8071689058,31 749
182,8074272975,28 999
183,8075342456,26 749
184,8071240056,25 999
185,8073953043,18 000
186,8074943024,9 150
187,8074108992,18 000
188,8071461901,19 900
189,8070988465,15 500
190,8074942569,25 900
191,8073881200,13 500
192,8064534057,10 500
193,8075591800,12 990
194,8074680343,34 900
195,8054406550,12 500
196,8071485147,9 875
197,8042200892,22 990
198,8069590773,8 500
199,8070694720,16 499
200,8075600203,14 800
201,8058388654,11 200
202,8074941776,2 800
203,8074992761,6 950
204,8066071047,5 500
205,8061981982,24 350
206,8073947979,24 990
207,8074212300,7 000
208,8060382722,31 000
209,8074271797,5 900
210,8073535043,27 490
211,8073610096,35 999
212,8073264142,9 500
213,8074108563,31 749
214,8074941620,28 999
215,8066544852,26 749
216,8070752547,25 999
217,8061797591,18 000
218,8047038222,9 150
219,8041136595,18 000
220,8072165169,19 900
221,8002161625,15 500
222,6008985835,25 900
223,8071234192,13 500
224,8075179887,10 500
225,8074108619,12 990
226,8075055623,34 900
227,8058739450,12 500
228,8058951873,9 875
229,8069541301,22 990
230,8049567855,8 500
231,8073892601,16 499
232,8064210189,14 800
233,8061639362,11 200
234,8052686046,2 800
235,8073483686,6 950
236,8073091872,5 500
237,8062311980,24 350
238,8066504505,24 990
239,8062719154,7 000
240,8066281122,31 000
241,8063142129,5 900
242,8058326282,27 490
243,8059949597,35 999
244,8065943977,9 500
245,8045782052,31 749
246,8065160344,28 999
247,8073230974,26 749
248,8074677219,25 999
249,8074620516,18 000
250,8071205670,9 150
251,8074635340,18 000
252,8072484872,19 900
253,8074936108,15 500
254,8046723009,25 900
255,8072198660,13 500
256,8063510449,10 500
257,8075166434,12 990
258,8060752975,34 900
259,8068256245,12 500
260,8074530276,9 875
261,8073290443,22 990
262,8074640049,8 500
263,8074890188,16 499
264,8069480574,14 800
265,8072251244,11 200
266,8072180240,2 800
267,8073580617,6 950
268,8075294893,5 500
269,8069885949,24 350
270,8067349569,24 990
271,8067062217,7 000
272,8073985438,31 000
273,8070154048,5 900
274,8066133471,27 490
275,8074930728,35 999
276,8074933019,9 500
277,8071019743,31 749
278,8041367007,28 999
279,8070380012,26 749
280,8051934103,25 999
281,8062086464,18 000
282,8074930175,9 150
283,8073299940,18 000
284,8074931441,19 900
285,8055873388,15 500
286,8047577281,25 900
287,8060362418,13 500
288,8068942058,10 500
289,8072648530,12 990
290,8074927957,34 900
291,8075771177,12 500
292,8061893507,9 875
293,8063912873,22 990
294,8070161751,8 500
295,8058454246,16 499
296,8061895762,14 800
297,8071239114,11 200
298,8050522913,2 800
299,8074532203,6 950
300,8070603527,5 500
301,8061712634,24 350
302,8064523527,24 990
303,8070742424,7 000
304,8074299849,31 000
305,8051250691,5 900
306,8035871852,27 490
307,8072705966,35 999
308,8073868136,9 500
309,8074824920,31 749
310,8073520377,28 999
311,8071546577,26 749
312,8072544233,25 999
313,8065445241,18 000
314,8068409026,9 150
315,8053966644,18 000
316,8065318700,19 900
317,8071851939,15 500
318,8070669405,25 900
319,8074876721,13 500
320,8068976817,10 500
321,8069751624,12 990
322,8072802676,34 900
323,8069401263,12 500
324,8068693858,9 875
325,8070794449,22 990
326,8074924556,8 500
327,8063900147,16 499
328,8074923123,14 800
329,8069308083,11 200
330,8073942776,2 800
331,8070810508,6 950
332,8072876111,5 500
333,8059436495,24 350
334,8065634238,24 990
335,8074898322,7 000
336,8074081544,31 000
337,8072669177,5 900
338,8075634116,27 490
339,8073555653,35 999
340,8075006094,9 500
341,8074001240,31 749
342,8073398004,28 999
343,8074285502,26 749
344,8075004062,25 999
345,8068451401,18 000
346,8072372822,9 150
347,8070790677,18 000
348,8075197025,19 900
349,8075197188,15 500
350,8075197253,25 900
351,8075197293,13 500
352,8075197353,10 500
353,8075197525,12 990
354,8075197591,34 900
355,8075197652,12 500
356,8075197713,9 875
357,8075197741,22 990
358,8075198025,8 500
359,8075198050,16 499
360,8075198138,14 800
361,8074871285,11 200
362,8075198179,2 800
363,8075198291,6 950
364,8075198388,5 500
365,8075198426,24 350
366,8074454909,24 990
367,8075620838,7 000
368,8073915700,31 000
369,8074561034,5 900
370,8071677632,27 490
371,8071909013,35 999
372,8071264312,9 500
373,8074890031,31 749
374,8074234700,28 999
375,8074645619,26 749
376,8075001075,25 999
377,8074888250,18 000
378,8074234667,9 150
379,8074074811,18 000
380,8062992697,19 900
381,8074888537,15 500
382,8074532384,25 900
383,8064036776,13 500
384,8039491203,10 500
385,8074073697,12 990
386,8073908049,34 900
387,8072642434,12 500
388,8039490735,9 875
389,8074887311,22 990
390,8062383914,8 500
391,8074887128,16 499
392,8074054614,14 800
393,8074887091,11 200
394,8074629166,2 800
395,8059590621,6 950
396,8038946101,5 500
397,8073551723,24 350
398,8046734069,24 990
399,8074886645,7 000
400,8072160928,31 000
401,8074217738,5 900
402,8072160608,27 490
403,8052705316,35 999
404,8073865594,9 500
405,8063168876,31 749
406,8072160052,28 999
407,8072160182,26 749
408,8072161105,25 999
409,8073871182,18 000
410,8072160102,9 150
411,8072159866,18 000
412,8075484278,19 900
413,8075083069,15 500
414,8038150678,25 900
415,8072160810,13 500
416,8075081508,10 500
417,8072261693,12 990
418,8072160367,34 900
419,8070261978,12 500
420,8072161380,9 875
421,8063631248,22 990
422,8043423988,8 500
423,8062148787,16 499
424,8062812898,14 800
425,8073863753,11 200
426,8072160644,2 800
427,8072160269,6 950
428,8074420594,5 500
429,8073893356,24 350
430,8073544775,24 990
431,8074420524,7 000
432,8071971223,31 000
433,8074625657,5 900
434,8069724491,27 490
435,8074231375,35 999
436,8074071652,9 500
437,8074958780,31 749
438,8074885500,28 999
439,8074992069,26 749
440,8075342661,25 999
441,8047891641,18 000
442,8073871562,9 150
443,8072263634,18 000
444,8063990830,19 900
445,8074884434,15 500
446,8071139536,25 900
447,8064347435,13 500
448,8073384221,10 500
449,8073549052,12 990
450,8072927189,34 900
451,8074287417,12 500
452,8074626551,9 875
453,8074069647,22 990
454,8068859070,8 500
455,8073548563,16 499
456,8074738900,14 800
457,8074069409,11 200
458,8064856398,2 800
459,8074694466,6 950
460,8074631663,5 500
461,8075376965,24 350
462,8062906962,24 990
463,8039516715,7 000
464,8074879152,31 000
465,8070442701,5 900
466,8070791233,27 490
467,8074639320,35 999
468,8074688489,9 500
469,8074882009,31 749
470,8071008420,28 999
471,8071389589,26 749
472,8065724325,25 999
473,8073704023,18 000
474,8071234866,9 150
475,8072427371,18 000
476,8074530022,19 900
477,8074628845,15 500
478,8074530105,25 900
479,8074068729,13 500
480,8074068601,10 500
481,8074535297,12 990
482,8074535317,34 900
483,8065653461,12 500
484,8063728835,9 875
485,8053204120,22 990
486,8069250956,8 500
487,8068035433,16 499
488,8073431469,14 800
489,8072800338,11 200
490,8061466932,2 800
491,8073959067,6 950
492,8069148284,5 500
493,8067134514,24 350
494,8075303908,24 990
495,8059110535,7 000
496,8067788794,31 000
497,8072713337,5 900
498,8053011214,27 490
499,8072713764,35 999
500,8065051558,9 500
501,8070647204,31 749
502,8072008629,28 999
503,8065123892,26 749
504,8072713192,25 999
505,8073958537,18 000
506,8070242869,9 150
507,8066472204,18 000
508,8034533117,19 900
509,8074220922,15 500
510,8073457790,25 900
511,8075174201,13 500
512,8074067453,10 500
513,8064122072,12 990
514,6009034867,34 900
515,8064436826,12 500
516,8074053787,9 875
517,8063243232,22 990
518,8074052670,8 500
519,8065719907,16 499
520,8074040683,14 800
521,8072191129,11 200
522,8073025761,2 800
523,8069225782,6 950
524,8074052036,5 500
525,8072199643,24 350
526,8031760905,24 990
527,8071004715,7 000
528,8072205226,31 000
529,8074871953,5 900
530,8051548533,27 490
531,8072202315,35 999
532,8075286230,9 500
533,8075164960,31 749
534,8073617329,28 999
535,8036220989,26 749
536,8072199709,25 999
537,8065723311,18 000
538,8074064292,9 150
539,8069237901,18 000
540,8051519503,19 900
541,8074535338,15 500
542,8074066752,25 900
543,8047357498,13 500
544,8067404653,10 500
545,8070143890,12 990
546,8055929883,34 900
547,8070143083,12 500
548,8034945426,9 875
549,8070142015,22 990
550,8051953409,8 500
551,8070594097,16 499
552,8067208073,14 800
553,8068424263,11 200
554,8073888281,2 800
555,8074066015,6 950
556,8075296641,5 500
557,8071316357,24 350
558,8074946839,24 990
559,8073117412,7 000
560,8072816039,31 000
561,8074943291,5 900
562,8066328542,27 490
563,8060690409,35 999
564,8037851249,9 500
565,8074038642,31 749
566,8047352367,28 999
567,8034747015,26 749
568,8071829564,25 999
569,8073545336,18 000
570,8068408930,9 150
571,8068411776,18 000
572,8064435469,19 900
573,8073609928,15 500
574,8074226787,25 900
575,8072484823,13 500
576,8069237287,10 500
577,8072876352,12 990
578,8067432627,34 900
579,8072459960,12 500
580,8074056145,9 875
581,8060436372,22 990
582,8060468745,8 500
583,8057473616,16 499
584,8072182641,14 800
585,8070473465,11 200
586,8070346311,2 800
587,8070489312,6 950
588,8072799912,5 500
589,8070564503,24 350
590,8074065639,24 990
591,8065856654,7 000
592,8073271635,31 000
593,8065944078,5 900
594,8073603165,27 490
595,8064337044,35 999
596,8064522191,9 500
597,8074948859,31 749
598,8074063704,28 999
599,8072567914,26 749
600,8074530715,25 999
601,8073587635,18 000
602,8055842878,9 150
603,8072929278,18 000
604,8051267795,19 900
605,8067198671,15 500
606,8037721697,25 900
607,8074046712,13 500
608,8050387154,10 500
609,8068695338,12 990
610,8074226676,34 900
611,8054394061,12 500
612,8057978131,9 875
613,8061262858,22 990
614,8043298593,8 500
615,8070232366,16 499
616,8045947552,14 800
617,8045948061,11 200
618,8057893691,2 800
619,8057890338,6 950
620,8074983931,5 500
621,8045850809,24 350
622,8065858214,24 990
623,8072465962,7 000
624,8074962088,31 000
625,8072525066,5 900
626,8071493655,27 490
627,8073700082,35 999
628,8069521307,9 500
629,8072192676,31 749
630,8074876495,28 999
631,8068436015,26 749
632,8074065334,25 999
633,8072092718,18 000
634,8066942833,9 150
635,8072262078,18 000
636,8070971287,19 900
637,8070128125,15 500
638,8070344934,25 900
639,8064851161,13 500
640,8070965820,10 500
641,8065870416,12 990
642,8071937414,34 900
643,8026103616,12 500
644,8051245916,9 875
645,8070144301,22 990
646,8069107196,8 500
647,8068857732,16 499
648,8072484295,14 800
649,8072167357,11 200
650,8074307266,2 800
651,8054423697,6 950
652,8040718605,5 500
653,8071932129,24 350
654,8062197699,24 990
655,8042545111,7 000
656,8066327769,31 000
657,8069154503,5 900
658,8041147586,27 490
659,8074874753,35 999
660,8035426498,9 500
661,8065906780,31 749
662,8046801791,28 999
663,8068314049,26 749
664,8042544837,25 999
665,8027838288,18 000
666,8058140047,9 150
667,8015320134,18 000
668,8067082222,19 900
669,8065722025,15 500
670,8038188671,25 900
671,8074839993,13 500
672,8063712305,10 500
673,8036870696,12 990
674,8074626687,34 900
675,8074636286,12 500
676,8075745332,9 875
677,8069302128,22 990
678,8074533160,8 500
679,8073984142,16 499
680,8070662415,14 800
681,8069848111,11 200
682,8073295224,2 800
683,8065321643,6 950
684,8053279029,5 500
685,8059584149,24 350
686,8053405286,24 990
687,8060832219,7 000
688,8072218210,31 000
689,8047103139,5 900
690,8073113200,27 490
691,8045671138,35 999
692,8068392946,9 500
693,8067894139,31 749
694,8063933304,28 999
695,8067542855,26 749
696,8072712156,25 999
697,8073954432,18 000
698,8004718670,9 150
699,8001752375,18 000
700,8048679968,19 900
701,8075611039,15 500
702,8005900755,25 900
703,8071931766,13 500
704,8059844517,10 500
705,8070685872,12 990
706,8037569826,34 900
707,8020432761,12 500
708,8075613523,9 875
709,8061670064,22 990
710,8001721270,8 500
711,8070127881,16 499
712,8002802275,14 800
713,8036876433,11 200
714,8073267096,2 800
715,8069253096,6 950
716,8073451059,5 500
717,8042293681,24 350
718,8054632485,24 990
719,8059858911,7 000
720,8055404556,31 000
721,8002267445,5 900
722,8003337615,27 490
723,8070486561,35 999
724,8075511472,9 500
725,8036877141,31 749
726,8070358430,28 999
727,8065392116,26 749
728,8060292105,25 999
729,8001751970,18 000
730,8048315898,9 150
731,8044338235,18 000
732,8002824480,19 900
733,8042042433,15 500
734,8029880964,25 900
735,8074220637,13 500
736,8074063382,10 500
737,8066662348,12 990
738,8067134223,34 900
739,8075189515,12 500
740,8075121178,9 875
741,8071137556,22 990
742,8065576032,8 500
743,8066736427,16 499
744,8068036358,14 800
745,8072915316,11 200
746,8072919276,2 800
747,8053489780,6 950
748,8074838975,5 500
749,8072911421,24 350
750,8069631648,24 990
751,8069718872,7 000
752,8064533764,31 000
753,8056272731,5 900
754,8074873121,27 490
755,8072195913,35 999
756,8060749693,9 500
757,8053194942,31 749
758,8074866335,28 999
759,8067777927,26 749
760,8072522948,25 999
761,8074223217,18 000
762,8039479379,9 150
763,8070993075,18 000
764,8073022707,19 900
765,8058052775,15 500
766,8067059143,25 900
767,8063811483,13 500
768,8041460285,10 500
769,8065720118,12 990
770,8062079317,34 900
771,8066075203,12 500
772,8051869966,9 875
773,8047341878,22 990
774,8068696042,8 500
775,8070964447,16 499
776,8074797936,14 800
777,8057475788,11 200
778,8057806374,2 800
779,8073870634,6 950
780,8060758820,5 500
781,8073706924,24 350
782,8072536955,24 990
783,8071993895,7 000
784,8072534348,31 000
785,8066954368,5 900
786,8072536941,27 490
787,8072534325,35 999
788,8063075558,9 500
789,8063078183,31 749
790,8065357146,28 999
791,8075190014,26 749
792,6009216585,25 999
793,8039971100,18 000
794,8039578829,9 150
795,8066571593,18 000
796,8074871290,19 900
797,8045846776,15 500
798,8070657547,25 900
799,8066071603,13 500
800,8068993010,10 500
801,8068990407,12 990
802,8060098709,34 900
803,8043082661,12 500
804,8069149508,9 875
805,8037833160,22 990
806,8073301871,8 500
807,8070764913,16 499
808,8063468091,14 800
809,8063066481,11 200
810,8063723552,2 800
811,8074535089,6 950
812,8059062688,5 500
813,8070324402,24 350
814,8065215308,24 990
815,8065215178,7 000
816,8067865846,31 000
817,8058133761,5 900
818,8058133726,27 490
819,8046112614,35 999
820,8070362744,9 500
821,8059448997,31 749
822,8070359929,28 999
823,8066074969,26 749
824,8075060703,25 999
825,8070754492,18 000
826,8075057917,9 150
827,8074871531,18 000
828,8070685689,19 900
829,8072171615,15 500
830,8070754535,25 900
831,8074871355,13 500
832,8074979462,10 500
833,8067314411,12 990
834,8071802186,34 900
835,8074976680,12 500
836,8059474896,9 875
837,8038313959,22 990
838,8055348537,8 500
839,8057331051,16 499
840,8061454982,14 800
841,8064397078,11 200
842,8070230046,2 800
