,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Matrícula,Série,Origem
490,2015,Classe 1,Diesel,Usados,8074855279,Renault,110 cv,58 000 km,Carrinha,Manual,,,,Importado
491,2010,Classe 1,Diesel,Usados,8074955222,Mercedes-Benz,170 cv,200 000 km,Carrinha,Automática,Sim,,Classe C,
492,2013,Classe 1,Diesel,Usados,8072926213,Opel,95 cv,203 000 km,Citadino,Manual,,,,Nacional
493,2015,Classe 1,Diesel,Usados,8074053266,Alfa Romeo,150 cv,71 602 km,Utilitário,Manual,,,,
494,2010,,Diesel,Usados,8072535099,Mitsubishi,140 cv,140 000 km,SUV / TT,Manual,Sim,,,Nacional
495,2014,Classe 1,Diesel,Usados,8074054651,Renault,110 cv,134 000 km,Carrinha,Manual,,,,
496,2010,Classe 1,Diesel,Usados,8064785291,MINI,112 cv,147 900 km,Cabrio,Manual,,,,Importado
497,1998,,Diesel,Usados,8072284297,Audi,90 cv,340 728 km,Citadino,,,,,
498,2019,Classe 1,Híbrido (Gasolina),Usados,8075505058,Toyota,75 cv,3 528 km,Citadino,Automática,,20-ZS-32,,
499,2009,,Diesel,Usados,8054866974,BMW,286 cv,167 000 km,Carrinha,,,,Série 3,
500,2018,Classe 1,Diesel,Usados,8044355985,Opel,102 cv,34 000 km,Monovolume,Manual,Sim,20-VS-11,,Nacional
501,2016,,Gasolina,Usados,8071812839,Renault,90 cv,40 000 km,Citadino,Manual,,32-RL-77,,Nacional
502,2019,Classe 1,Gasolina,Usados,8066569132,Mitsubishi,80 cv,22 000 km,Citadino,Manual,Sim,,,Nacional
503,2015,Classe 1,Diesel,Usados,8070422546,MINI,95 cv,168 000 km,Citadino,Manual,,,,
504,2013,Classe 1,Diesel,Usados,8041685870,VW,90 cv,130 000 km,Citadino,Manual,Sim,,,Nacional
505,2014,Classe 1,Diesel,Usados,8074770003,SEAT,140 cv,126 720 km,Monovolume,Automática,Sim,,,Nacional
506,2014,,Diesel,Usados,8074771500,MINI,95 cv,89 500 km,Citadino,,,,,
507,2017,Classe 1,Diesel,Usados,8068035433,BMW,258 cv,47 000 km,Sedan,Automática,Sim,,Série 4,Nacional
508,2017,Classe 1,Diesel,Usados,8068035433,BMW,258 cv,47 000 km,Sedan,Automática,Sim,,Série 4,Nacional
509,2015,,Diesel,Usados,8074849631,Dacia,115 cv,160 000 km,Monovolume,,,,,
510,2017,Classe 2,Diesel,Usados,8073468776,Mercedes-Benz,190 cv,49 734 km,Monovolume,Automática,Sim,,Classe V,Importado
511,2015,Classe 1,Diesel,Usados,8062830105,VW,150 cv,133 000 km,SUV / TT,Manual,,,,
512,2012,,Diesel,Usados,8071855807,VW,105 cv,149 000 km,Monovolume,,,,,
513,2002,,Diesel,Usados,8072286051,Mercedes-Benz,163 cv,157 913 km,SUV / TT,,,,Classe M,
514,2018,Classe 1,Diesel,Usados,8073948354,Opel,99 cv,34 000 km,SUV / TT,,Sim,,,Nacional
515,2015,Classe 1,Diesel,Usados,8070422546,MINI,95 cv,168 000 km,Citadino,Manual,,,,
516,2016,Classe 1,Gasolina,Usados,8074849244,Hyundai,66 cv,34 000 km,Pequeno citadino,Manual,,,,Nacional
517,2007,,Diesel,Usados,8062581162,Mercedes-Benz,109 cv,154 033 km,Citadino,,,,Classe A,
518,2018,Classe 1,Gasolina,Usados,8066075123,Fiat,69 cv,25 000 km,Pequeno citadino,,Sim,,,Nacional
519,2016,,Gasolina,Usados,8071248172,Renault,90 cv,38 016 km,SUV / TT,Manual,Sim,35-QV-91,,Nacional
520,2013,Classe 1,Diesel,Usados,8072926213,Opel,95 cv,203 000 km,Citadino,Manual,,,,Nacional
521,2009,,Gasolina,Usados,8072285720,Smart,61 cv,115 573 km,Pequeno citadino,Automática,,,,
522,2019,Classe 1,Gasolina,Usados,8058730887,Renault,90 cv,70 km,SUV / TT,,Sim,,,Nacional
523,2017,,Gasolina,Usados,8068802798,Fiat,70 cv,46 000 km,Pequeno citadino,Manual,Sim,,,
524,2013,Classe 1,Diesel,Usados,8072249351,Mercedes-Benz,170 cv,180 000 km,Carrinha,Manual,Sim,,Classe C,Nacional
525,2019,Classe 1,Diesel,Usados,8074219475,Audi,150 cv,6 000 km,Carrinha,Automática,Sim,,,Nacional
526,2016,,Gasolina,Usados,8071812839,Renault,90 cv,40 000 km,Citadino,Manual,,32-RL-77,,Nacional
527,2019,Classe 1,Diesel,Usados,8064341265,Mercedes-Benz,116 cv,16 000 km,Utilitário,Automática,Sim,,Classe A,Nacional
528,2013,Classe 1,Híbrido (Gasolina),Usados,8074224731,Honda,98 cv,56 560 km,Utilitário,Automática,Sim,,,Nacional
529,2019,Classe 1,Diesel,Usados,8070599502,BMW,190 cv,7 000 km,Sedan,Automática,,,Série 4,Nacional
530,2004,,Diesel,Usados,8072868566,Land Rover,177 cv,200 000 km,SUV / TT,,,,,
531,2019,Classe 1,Diesel,Usados,8063640072,Peugeot,130 cv,16 617 km,SUV / TT,Manual,Sim,00-00-00,,Nacional
532,2011,,Diesel,Usados,8074852987,Volvo,115 cv,255 000 km,Carrinha,,,,,
533,2017,,Diesel,Usados,8056941064,Mercedes-Benz,190 cv,37 700 km,Carrinha,Automática,,00-00-00,Classe E,
534,2019,Classe 1,Gasolina,Usados,8066569132,Mitsubishi,80 cv,22 000 km,Citadino,Manual,Sim,,,Nacional
535,2013,Classe 1,Híbrido (Gasolina),Usados,8074224731,Honda,98 cv,56 560 km,Utilitário,Automática,Sim,,,Nacional
536,2013,Classe 1,Gasolina,Usados,8074276409,Opel,100 cv,100 000 km,Pequeno citadino,Manual,Sim,,,Nacional
537,2017,,Gasolina,Usados,8068802798,Fiat,70 cv,46 000 km,Pequeno citadino,Manual,Sim,,,
538,2010,Classe 1,Diesel,Usados,8059265959,Audi,233 cv,118 000 km,Sedan,Automática,,,,Nacional
539,2010,Classe 1,Diesel,Usados,8074955222,Mercedes-Benz,170 cv,200 000 km,Carrinha,Automática,Sim,,Classe C,
540,2013,Classe 1,Diesel,Usados,8041685870,VW,90 cv,130 000 km,Citadino,Manual,Sim,,,Nacional
541,2017,Classe 1,Diesel,Usados,8073680501,Audi,150 cv,42 000 km,Carrinha,,Sim,,,Nacional
542,2013,,Diesel,Usados,8071328711,VW,140 cv,50 043 km,Coupé,Automática,,,,
543,2015,,Diesel,Usados,8068648529,Mercedes-Benz,170 cv,103 347 km,Carrinha,Manual,Sim,,Classe E,Nacional
544,2015,,Diesel,Usados,8074849631,Dacia,115 cv,160 000 km,Monovolume,,,,,
545,2009,Classe 1,Gasolina,Usados,8044786556,Audi,200 cv,102 300 km,Cabrio,Automática,,,,
546,2016,Classe 1,Diesel,Usados,8073225724,Honda,120 cv,106 489 km,Carrinha,Manual,,,,Nacional
547,2017,,Diesel,Usados,8055870490,Renault,90 cv,29 368 km,SUV / TT,Manual,Sim,,,Nacional
548,2013,Classe 1,Diesel,Usados,8074959355,BMW,313 cv,104 000 km,Sedan,Automática,Sim,,Série 7,
549,2018,Classe 1,Gasolina,Usados,8071221709,Fiat,69 cv,49 622 km,Pequeno citadino,Manual,,,,Nacional
550,2015,Classe 1,Diesel,Usados,8075611039,Skoda,90 cv,68 100 km,Carrinha,Manual,Sim,,,Nacional
551,2008,Classe 1,Diesel,Usados,8043980120,BMW,286 cv,179 995 km,Cabrio,Automática,,,Série 6,Importado
552,2015,Classe 1,Diesel,Usados,8075354100,Mercedes-Benz,170 cv,120 000 km,Carrinha,Automática,Sim,,Classe C,Importado
553,2016,Classe 1,Gasolina,Usados,8074849244,Hyundai,66 cv,34 000 km,Pequeno citadino,Manual,,,,Nacional
554,2018,Classe 1,Gasolina,Usados,8071221709,Fiat,69 cv,49 622 km,Pequeno citadino,Manual,,,,Nacional
555,2019,Classe 1,Diesel,Usados,8070599502,BMW,190 cv,7 000 km,Sedan,Automática,,,Série 4,Nacional
556,2015,Classe 1,Diesel,Usados,8075611039,Skoda,90 cv,68 100 km,Carrinha,Manual,Sim,,,Nacional
557,2014,Classe 1,Diesel,Usados,8074770003,SEAT,140 cv,126 720 km,Monovolume,Automática,Sim,,,Nacional
558,2007,Classe 1,Gasolina,Usados,8075619880,Chevrolet,94 cv,99 896 km,Citadino,Manual,,,,Nacional
559,2019,,Diesel,Usados,8074372359,Mercedes-Benz,116 cv,20 300 km,Utilitário,Automática,Sim,,Classe A,Nacional
560,2015,Classe 1,Gasolina,Usados,8073095510,Smart,71 cv,33 400 km,Pequeno citadino,Manual,,,,
561,2015,Classe 1,Gasolina,Usados,8073095510,Smart,71 cv,33 400 km,Pequeno citadino,Manual,,,,
562,2013,,Híbrido (Gasolina),Usados,8053960735,Toyota,136 cv,100 000 km,Carrinha,Automática,Sim,,,
563,2017,,Gasolina,Usados,8073311885,Renault,90 cv,52 521 km,Citadino,Manual,Sim,05-SZ-54,,Nacional
564,2015,,Diesel,Usados,8068648198,Mercedes-Benz,170 cv,140 907 km,Carrinha,Manual,Sim,80-PS-25,Classe C,Nacional
565,2017,Classe 1,Diesel,Usados,8070746527,SEAT,115 cv,20 700 km,Carrinha,Manual,,00-00-00,,Nacional
566,2010,,Diesel,Usados,8072535099,Mitsubishi,140 cv,140 000 km,SUV / TT,Manual,Sim,,,Nacional
567,2016,,Gasolina,Usados,8071248172,Renault,90 cv,38 016 km,SUV / TT,Manual,Sim,35-QV-91,,Nacional
568,2007,Classe 1,Gasolina,Usados,8075619880,Chevrolet,94 cv,99 896 km,Citadino,Manual,,,,Nacional
569,2018,Classe 1,Diesel,Usados,8073681130,Opel,110 cv,43 000 km,Carrinha,,Sim,,,Nacional
570,2016,,Gasolina,Usados,8060065329,Fiat,69 cv,77 835 km,Citadino,Manual,Sim,97-RA-97,,Nacional
571,2019,Classe 1,Gasolina,Novos,8056747035,Fiat,69 cv,5 km,Pequeno citadino,Manual,,,,
572,2019,Classe 1,Gasolina,Usados,8066366130,Nissan,100 cv,14 771 km,Citadino,Manual,Sim,,,Nacional
573,2013,,Gasolina,Usados,8072940190,Renault,90 cv,90 000 km,Carrinha,Manual,,,,Nacional
574,2019,Classe 1,Diesel,Usados,8074292361,Alfa Romeo,120 cv,17 900 km,Utilitário,Automática,,,,
575,2019,Classe 1,Diesel,Usados,8072939757,VW,115 cv,7 000 km,Monovolume,Automática,,,,
576,2015,,Diesel,Usados,8072940775,Peugeot,120 cv,160 000 km,Carrinha,Manual,,,,
577,2017,Classe 1,Diesel,Usados,8048321910,Volvo,120 cv,98 960 km,Utilitário,Manual,,00-TS-00,,Nacional
578,2017,Classe 1,Diesel,Usados,8074848633,Opel,134 cv,27 000 km,Monovolume,Manual,,,,Nacional
579,2019,,Diesel,Usados,8073090589,Peugeot,130 cv,22 012 km,Monovolume,Manual,Sim,74-XC-14,,Nacional
580,2011,Classe 1,Diesel,Usados,8072257908,BMW,184 cv,224 000 km,Sedan,Automática,,,Série 5,Nacional
581,2014,Classe 1,Diesel,Usados,8073526681,Mercedes-Benz,204 cv,92 000 km,Carrinha,Automática,,47-UM-45,Classe C,Importado
582,2016,Classe 1,Diesel,Usados,8060217631,SEAT,105 cv,20 468 km,Citadino,Manual,,,,Nacional
583,2010,Classe 1,Diesel,Usados,8075358360,Renault,110 cv,160 000 km,Coupé,Manual,,,,Nacional
584,2014,Classe 1,Diesel,Usados,8062599113,BMW,204 cv,107 000 km,Coupé,Automática,,,Série 4,
585,2009,,Gasolina,Usados,8062354423,Smart,71 cv,32 500 km,Pequeno citadino,Semi-automática,Sim,,,
586,2006,Classe 1,Gasolina,Usados,8069761436,Mercedes-Benz,231 cv,135 000 km,Sedan,Automática,Sim,,Classe C,
587,2007,,Diesel,Usados,8075606250,Opel,125 cv,190 000 km,Utilitário,Manual,Sim,,,
588,2019,,Gasolina,Usados,8075107079,Citroën,82 cv,10 390 km,Citadino,Manual,Sim,65-XG-36,,Nacional
589,2014,,Gasolina,Usados,8075358658,Mitsubishi,90 cv,35 500 km,SUV / TT,Manual,,,,
590,2017,Classe 1,Eléctrico,Usados,8074849515,BMW,170 cv,60 000 km,Citadino,Automática,,,Série i,
591,2007,,Diesel,Usados,8075606250,Opel,125 cv,190 000 km,Utilitário,Manual,Sim,,,
592,2017,Classe 1,Diesel,Usados,8070042388,Renault,110 cv,74 000 km,Carrinha,Manual,,,,
593,2013,Classe 1,Diesel,Usados,8073527941,Mercedes-Benz,204 cv,165 000 km,Carrinha,Automática,Sim,76-OA-98,Classe CLS,Nacional
594,2016,Classe 1,Diesel,Usados,8060217631,SEAT,105 cv,20 468 km,Citadino,Manual,,,,Nacional
595,2004,Classe 1,Diesel,Usados,8066203767,Ford,110 cv,260 000 km,Monovolume,Manual,Sim,,,Nacional
596,2017,Classe 1,Diesel,Usados,8062463512,Mercedes-Benz,177 cv,26 000 km,SUV / TT,Automática,,,Classe GLA,
597,2015,,Diesel,Usados,8074625015,Mercedes-Benz,170 cv,310 000 km,Carrinha,,,,,
598,2007,,Diesel,Usados,8066888947,BMW,177 cv,122 000 km,Carrinha,Automática,,,Série 3,
599,2019,Classe 1,Gasolina,Novos,8073704438,Abarth,165 cv,25 km,Citadino,Manual,,,,
600,2014,,Diesel,Usados,8067928749,Nissan,110 cv,90 000 km,SUV / TT,Manual,Sim,,,
601,1998,,Gasolina,Usados,8054681668,Audi,180 cv,205 000 km,Sedan,Manual,,,,Importado
602,2017,Classe 1,Diesel,Usados,8048321910,Volvo,120 cv,98 960 km,Utilitário,Manual,,00-TS-00,,Nacional
603,2018,,Diesel,Usados,8038517484,Citroën,100 cv,68 567 km,Utilitário,Manual,Sim,71-UD-32,,Nacional
604,2018,,Diesel,Usados,8061105762,Mercedes-Benz,204 cv,33 000 km,SUV / TT,,Sim,,Classe GLC,Nacional
605,2003,,Diesel,Usados,8074837882,BMW,150 cv,177 000 km,Carrinha,Manual,,,Série 3,Nacional
606,2017,,Diesel,Usados,8074213512,Fiat,95 cv,45 000 km,Carrinha,Manual,,,,
607,2019,,Diesel,Usados,8073090589,Peugeot,130 cv,22 012 km,Monovolume,Manual,Sim,74-XC-14,,Nacional
608,1999,,GPL,Usados,8074959039,Mercedes-Benz,196 cv,280 000 km,Sedan,,,,Classe CLK,
609,2017,,Diesel,Usados,8071942276,Citroën,75 cv,102 634 km,Citadino,Manual,Sim,07-TE-94,,Nacional
610,2012,Classe 1,Diesel,Usados,8074848438,Skoda,105 cv,190 000 km,Carrinha,Manual,Sim,,,Nacional
611,2002,,Diesel,Usados,8075355046,Mercedes-Benz,143 cv,284 000 km,Sedan,,,,Classe E,
612,2010,Classe 1,Gasolina,Usados,8074843383,SEAT,125 cv,185 169 km,Utilitário,Manual,,,,Nacional
613,1998,Classe 1,Gasolina,Usados,8072578885,BMW,118 cv,165 000 km,Sedan,Manual,,,Série 3,Nacional
614,2013,Classe 1,Gasolina,Usados,8073587241,Porsche,400 cv,85 000 km,Coupé,Manual,Sim,,911 (Todos),
615,2014,,Diesel,Usados,8074955012,Audi,150 cv,73 000 km,Coupé,,,,,
616,2011,Classe 1,Diesel,Usados,8075683301,BMW,313 cv,159 791 km,Sedan,Automática,,,Série 5,Nacional
617,2004,Classe 1,Diesel,Usados,8075355026,VW,174 cv,275 000 km,SUV / TT,Manual,Sim,15-40-XX,,Nacional
618,2019,Classe 1,Diesel,Usados,8074292361,Alfa Romeo,120 cv,17 900 km,Utilitário,Automática,,,,
619,2002,,Diesel,Usados,8072635772,VW,75 cv,268 000 km,Utilitário,,Sim,,,
620,2013,Classe 1,Diesel,Usados,8072926213,Opel,95 cv,203 000 km,Citadino,Manual,,,,Nacional
621,2017,Classe 1,Gasolina,Usados,8070660243,Fiat,69 cv,24 000 km,Citadino,Manual,,,,Nacional
622,2011,Classe 1,Gasolina,Usados,8073984285,Kia,60 cv,97 200 km,Pequeno citadino,Manual,Sim,,,
623,2015,Classe 1,Diesel,Usados,8074843332,Mercedes-Benz,170 cv,181 000 km,Carrinha,Automática,,,Classe C,
624,2014,Classe 1,Diesel,Usados,8075355856,Mercedes-Benz,109 cv,65 000 km,Utilitário,Manual,,,Classe A,
625,2011,Classe 1,Diesel,Usados,8075683301,BMW,313 cv,159 791 km,Sedan,Automática,,,Série 5,Nacional
626,2019,Classe 1,Diesel,Usados,8075522344,BMW,116 cv,450 km,Citadino,,Sim,,Série 1,Nacional
627,1999,,GPL,Usados,8074959039,Mercedes-Benz,196 cv,280 000 km,Sedan,,,,Classe CLK,
628,2019,Classe 1,Diesel,Usados,8075522344,BMW,116 cv,450 km,Citadino,,Sim,,Série 1,Nacional
629,2016,Classe 1,Gasolina,Usados,8047887334,Honda,100 cv,35 987 km,Utilitário,Manual,Sim,,,
630,2000,Classe 1,Diesel,Usados,8073058300,VW,115 cv,368 000 km,Carrinha,Manual,,71-13-OV,,Nacional
631,2015,Classe 1,Diesel,Usados,8051547918,Mercedes-Benz,177 cv,166 000 km,Carrinha,Automática,Sim,,Classe CLA,Importado
632,2016,,Diesel,Usados,8071138579,Peugeot,120 cv,120 000 km,SUV / TT,Automática,,,,
633,2013,Classe 1,Diesel,Usados,8037830341,Skoda,105 cv,154 000 km,Sedan,Manual,Sim,,,Nacional
634,2011,Classe 1,Diesel,Usados,8072257908,BMW,184 cv,224 000 km,Sedan,Automática,,,Série 5,Nacional
635,2009,,Gasolina,Usados,8062354423,Smart,71 cv,32 500 km,Pequeno citadino,Semi-automática,Sim,,,
636,2017,Classe 1,Diesel,Usados,8070042388,Renault,110 cv,74 000 km,Carrinha,Manual,,,,
637,2017,,Diesel,Usados,8074051154,Ford,90 cv,107 564 km,Utilitário,Manual,,,,
638,2019,Classe 1,Gasolina,Novos,8073704438,Abarth,165 cv,25 km,Citadino,Manual,,,,
639,2019,,Gasolina,Usados,8074286531,Opel,83 cv,9 691 km,SUV / TT,,,,,
640,2016,Classe 1,Gasolina,Usados,8047887334,Honda,100 cv,35 987 km,Utilitário,Manual,Sim,,,
641,2012,Classe 1,Diesel,Usados,8074845505,Volvo,115 cv,212 000 km,Utilitário,Manual,,,,
642,2013,,Diesel,Usados,8073529642,Volvo,115 cv,180 000 km,Utilitário,,,,,
643,2000,,Gasolina,Usados,8054868300,Mazda,140 cv,117 000 km,Cabrio,Manual,Sim,,,
644,2014,Classe 1,Híbrido (Gasolina),Usados,8059408424,Toyota,136 cv,137 885 km,Carrinha,Automática,,,,
645,2015,Classe 1,Diesel,Usados,8075258362,BMW,184 cv,92 400 km,Sedan,Automática,,,Série 3,
646,2003,Classe 1,Diesel,Usados,8074847143,Peugeot,75 cv,213 000 km,Carrinha,Manual,Sim,,,Nacional
647,2012,Classe 1,Diesel,Usados,8070143656,BMW,184 cv,134 000 km,Sedan,Manual,,,Série 3,
648,2019,,Gasolina,Usados,8074286531,Opel,83 cv,9 691 km,SUV / TT,,,,,
649,2019,Classe 1,Gasolina,Novos,8056747035,Fiat,69 cv,5 km,Pequeno citadino,Manual,,,,
650,2009,,Diesel,Usados,8073529575,Mercedes-Benz,231 cv,218 km,Coupé,,,,Classe E,
651,2019,Classe 1,Gasolina,Usados,8075599190,Renault,90 cv,19 500 km,Citadino,Manual,,,,Nacional
652,2017,,Diesel,Usados,8073861676,BMW,190 cv,43 514 km,Carrinha,Automática,Sim,39405,Série 5,
653,2011,Classe 1,Diesel,Usados,8074048329,Renault,85 cv,169 735 km,Carrinha,Manual,,,,
654,2016,,Diesel,Usados,8075274092,Renault,110 cv,130 000 km,Sedan,,,,,Importado
655,2015,Classe 1,Diesel,Usados,8073091872,Renault,90 cv,147 000 km,Carrinha,,Sim,,,Importado
656,2015,Classe 1,Diesel,Usados,8073091872,Renault,90 cv,147 000 km,Carrinha,,Sim,,,Importado
657,2008,,Gasolina,Usados,8074048596,Skoda,70 cv,170 000 km,Carrinha,,,,,
658,2016,,Diesel,Usados,8069587581,Honda,120 cv,32 500 km,SUV / TT,,,,,
659,2018,,Gasolina,Usados,8072857711,Audi,116 cv,14 747 km,Cabrio,Manual,Sim,41659,,
660,1997,Classe 1,Diesel,Usados,8067349978,Opel,82 cv,297 000 km,Utilitário,Manual,Sim,,,Nacional
661,2016,Classe 1,Diesel,Usados,8074187919,Mercedes-Benz,170 cv,110 000 km,Carrinha,Automática,Sim,,Classe C,
662,2017,,Gasolina,Usados,8069100111,Opel,105 cv,33 000 km,Utilitário,Manual,,,,
663,2018,,Diesel,Usados,8064765687,Renault,90 cv,43 001 km,Carrinha,Manual,,,,
664,2018,Classe 1,Gasolina,Usados,8074299849,Renault,90 cv,36 100 km,Citadino,Manual,Sim,,,Nacional
665,2018,,Diesel,Usados,8072857954,Mercedes-Benz,109 cv,20 361 km,Utilitário,Manual,Sim,43759,Classe A,
666,2019,,Gasolina,Usados,8072857910,Fiat,140 cv,5 060 km,Cabrio,Manual,Sim,46106,,
667,2019,Classe 1,Diesel,Usados,8072483101,Mercedes-Benz,116 cv,14 987 km,Utilitário,Automática,Sim,,Classe B,Nacional
668,2013,,Diesel,Usados,8071693320,BMW,186 cv,155 000 km,Coupé,Automática,,,Série 4,
669,2008,,Diesel,Usados,8055533756,VW,170 cv,226 000 km,Carrinha,Automática,,,,Nacional
670,2019,,Diesel,Usados,8075275090,Renault,115 cv,27 897 km,SUV / TT,Manual,Sim,47969,,
671,2012,Classe 1,Híbrido (Diesel),Usados,8072012313,Mercedes-Benz,204 cv,174 000 km,Carrinha,Automática,Sim,,Classe E,
672,2002,Classe 1,GPL,Usados,8074369182,Volvo,200 cv,296 000 km,SUV / TT,Manual,,,,Nacional
673,2016,,Diesel,Usados,8074048434,Audi,150 cv,127 000 km,Carrinha,,Sim,,,
674,2009,,Diesel,Usados,8072573900,Audi,170 cv,85 600 km,Cabrio,,,,,
675,2014,,Gasolina,Usados,8074840655,Fiat,70 cv,74 000 km,Pequeno citadino,,,,,
676,2015,,Diesel,Usados,8074048818,Mercedes-Benz,170 cv,78 000 km,Coupé,,,,Classe C,
677,1996,,Gasolina,Usados,8074842498,Fiat,40 cv,0 km,Pequeno citadino,,,,,
678,2014,,Diesel,Usados,8073214963,Land Rover,258 cv,143 000 km,SUV / TT,Automática,,,,
679,2017,Classe 1,Diesel,Usados,8058054015,Volvo,190 cv,18 000 km,SUV / TT,Automática,Sim,,,Nacional
680,2018,Classe 1,Diesel,Usados,8045841384,BMW,116 cv,23 219 km,Citadino,Automática,Sim,76-XI-32,Série 1,
681,2013,Classe 1,Diesel,Usados,8073983144,SEAT,105 cv,110 000 km,Utilitário,Manual,,,,
682,2018,Classe 1,Gasolina,Usados,8074299849,Renault,90 cv,36 100 km,Citadino,Manual,Sim,,,Nacional
683,2020,Classe 1,Diesel,Usados,8073551170,BMW,116 cv,1 300 km,Utilitário,Manual,,,Série 1,Nacional
684,2019,Classe 1,Gasolina,Usados,8073558057,Smart,90 cv,6 000 km,Pequeno citadino,Automática,Sim,,,Nacional
685,2018,Classe 1,Diesel,Usados,8045841384,BMW,116 cv,23 219 km,Citadino,Automática,Sim,76-XI-32,Série 1,
686,2019,Classe 1,Gasolina,Usados,8075599190,Renault,90 cv,19 500 km,Citadino,Manual,,,,Nacional
687,2017,Classe 1,Diesel,Usados,8041688101,Peugeot,177 cv,25 000 km,Carrinha,Automática,,80-SJ-56,,Nacional
688,2016,,Gasolina,Usados,8074840106,Opel,105 cv,60 000 km,Utilitário,Manual,,,,
689,2004,,Gasolina,Usados,8068271917,Audi,250 cv,210 000 km,Utilitário,,,,,
690,2018,,Diesel,Usados,8073861683,Volvo,120 cv,37 303 km,Carrinha,Manual,Sim,39396,,
691,2019,,Diesel,Usados,8073385584,Renault,90 cv,8 815 km,SUV / TT,Manual,,,,
692,2017,,Gasolina,Usados,8075618690,Fiat,85 cv,15 000 km,Cabrio,Automática,Sim,,,
693,2018,,Diesel,Usados,8073370670,Renault,130 cv,20 693 km,Sedan,Manual,,,,
694,2017,,Diesel,Usados,8069510134,Ford,120 cv,80 000 km,Carrinha,Manual,,,,
695,2017,Classe 1,Diesel,Usados,8075740967,Peugeot,120 cv,156 611 km,Utilitário,Manual,,,,Importado
696,2006,Classe 2,Diesel,Usados,8038397620,Volvo,185 cv,229 500 km,SUV / TT,Automática,Sim,,,Nacional
697,2010,Classe 1,Híbrido (Gasolina),Usados,8074044608,Honda,125 cv,89 000 km,Coupé,Manual,Sim,,,Nacional
698,2017,Classe 1,Diesel,Usados,8074047335,Peugeot,120 cv,132 400 km,SUV / TT,Manual,,,,Importado
699,2017,,Diesel,Usados,8070317227,Ford,120 cv,83 435 km,Utilitário,Manual,Sim,18SZ69,,
700,2019,,Diesel,Usados,8068019078,Mercedes-Benz,194 cv,11 000 km,Carrinha,Automática,,,Classe E,
701,2017,,Gasolina,Usados,8075618690,Fiat,85 cv,15 000 km,Cabrio,Automática,Sim,,,
702,2017,Classe 1,Diesel,Usados,8075740967,Peugeot,120 cv,156 611 km,Utilitário,Manual,,,,Importado
703,2014,Classe 1,Diesel,Usados,8074838494,Renault,130 cv,125 000 km,Carrinha,Manual,,,,
704,2018,,Diesel,Usados,8075186277,Renault,110 cv,30 911 km,Carrinha,Manual,Sim,46073,,
705,2010,Classe 1,Diesel,Usados,8072078940,Renault,85 cv,147 097 km,Citadino,Manual,,,,Nacional
706,2015,Classe 1,Diesel,Usados,8068703630,Mercedes-Benz,170 cv,85 000 km,SUV / TT,Automática,,,Classe GLA,
707,2019,,Diesel,Usados,8073386939,Renault,115 cv,7 970 km,Carrinha,Manual,,,,
708,2010,,Gasolina,Usados,8061738116,Alfa Romeo,170 cv,82 500 km,Utilitário,Manual,,,,
709,2013,Classe 1,Diesel,Usados,8060595225,Mercedes-Benz,204 cv,160 000 km,Carrinha,Automática,,,Classe CLS,
710,2019,Classe 1,Diesel,Usados,8062315894,MINI,116 cv,80 km,Carrinha,,Sim,,,Nacional
711,2016,Classe 2,Diesel,Usados,8067300388,Mercedes-Benz,258 cv,69 486 km,SUV / TT,Automática,,,Classe GLE,Nacional
712,2011,,Diesel,Usados,8075370189,Renault,110 cv,174 910 km,Coupé,,,,,
713,2018,,Diesel,Usados,8072859110,Volvo,120 cv,40 352 km,Utilitário,Manual,Sim,40532,,
714,2011,Classe 1,Diesel,Usados,8074047218,Mercedes-Benz,170 cv,128 000 km,Cabrio,Automática,,,Classe E,Nacional
715,2011,Classe 1,Diesel,Usados,8074047021,Mercedes-Benz,177 cv,167 000 km,Coupé,Automática,,,Classe C,Nacional
716,2018,,Diesel,Usados,8075186285,Renault,110 cv,40 975 km,Monovolume,Manual,Sim,46307,,
717,2018,,Diesel,Usados,8073789260,Fiat,120 cv,19 554 km,Carrinha,Manual,Sim,48VE79,,
718,2015,,Diesel,Usados,8074497367,Citroën,120 cv,166 976 km,Monovolume,Manual,Sim,60-ZP-96,,
719,2016,,Diesel,Usados,8074614170,Jaguar,180 cv,188 000 km,SUV / TT,,,,,
720,2019,,Gasolina,Usados,8073370513,Nissan,140 cv,8 426 km,SUV / TT,Manual,,,,
721,2019,Classe 1,Diesel,Usados,8062315894,MINI,116 cv,80 km,Carrinha,,Sim,,,Nacional
722,2015,,Diesel,Usados,8074497367,Citroën,120 cv,166 976 km,Monovolume,Manual,Sim,60-ZP-96,,
723,2017,,Diesel,Usados,8069256918,Renault,110 cv,92 000 km,Carrinha,Automática,,,,
724,2014,,Diesel,Usados,8074877352,Volvo,115 cv,142 000 km,Carrinha,,,,,
725,2008,,Diesel,Usados,8073386792,BMW,177 cv,206 800 km,Sedan,Manual,,,Série 3,
726,2014,,Diesel,Usados,8075274984,BMW,143 cv,89 167 km,Carrinha,Manual,Sim,47808,Série 3,
727,2018,,Diesel,Usados,8075264137,Renault,110 cv,70 000 km,Carrinha,Automática,Sim,,,
