,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Matrícula,Série,Origem
312,2018,,Gasolina,Usados,8015321802,Fiat,69 cv,37 000 km,Citadino,Manual,,,,Nacional
313,2015,,Diesel,Usados,8072809859,BMW,190 cv,104 649 km,Carrinha,Automática,Sim,73QD62,Série 5,
314,2015,,Diesel,Usados,8069464770,SEAT,75 cv,48 013 km,Utilitário,Manual,Sim,70QH55,,
315,2011,Classe 1,Híbrido (Gasolina),Usados,8068296688,Honda,88 cv,104 980 km,Utilitário,Automática,,00-OO-00,,Nacional
316,2018,,Diesel,Usados,8070635894,Fiat,120 cv,96 981 km,Carrinha,Manual,Sim,30VA01,,
317,2015,,Diesel,Usados,8074604843,BMW,190 cv,118 307 km,Carrinha,Automática,Sim,30QN02,Série 5,
318,2014,,Diesel,Usados,8073802027,Mercedes-Benz,109 cv,77 543 km,Utilitário,Automática,Sim,67PA92,Classe B,
319,2015,,Diesel,Usados,8073765100,Fiat,95 cv,93 915 km,Monovolume,Manual,Sim,21QS83,,
320,2015,,Diesel,Usados,8074372860,BMW,150 cv,97 061 km,Carrinha,Manual,Sim,01QP11,Série 3,
321,2015,,Diesel,Usados,8071208519,BMW,150 cv,87 880 km,Carrinha,Automática,Sim,72QF70,Série 5,
322,2016,,Diesel,Usados,8070489236,Audi,190 cv,92 117 km,Sedan,Automática,Sim,73RR87,,
323,2015,Classe 1,Diesel,Usados,8070893153,Peugeot,75 cv,68 300 km,Carrinha,Manual,,,,Nacional
324,2015,,Diesel,Usados,8068142220,VW,150 cv,106 634 km,Sedan,Automática,Sim,45QJ66,,
325,2015,,Diesel,Usados,8071893931,BMW,190 cv,98 274 km,Carrinha,Automática,Sim,15QJ59,Série 5,
326,2015,,Diesel,Usados,8073763588,BMW,150 cv,132 585 km,Sedan,Manual,Sim,81QR44,Série 4,
327,2018,Classe 1,Diesel,Usados,8075581441,Mercedes-Benz,109 cv,38 604 km,Utilitário,Manual,,,Classe A,Nacional
328,2015,,Diesel,Usados,8071460593,BMW,190 cv,64 891 km,Carrinha,Automática,Sim,59QO17,Série 5,
329,2018,,Diesel,Usados,8037029399,Fiat,69 cv,55 000 km,Citadino,Manual,,,,Nacional
330,2018,,Diesel,Usados,8074605322,Fiat,120 cv,54 844 km,Carrinha,Manual,Sim,30VA40,,
331,2018,,Gasolina,Usados,8054334532,Fiat,69 cv,49 000 km,Pequeno citadino,Manual,,,,Nacional
332,2015,,Diesel,Usados,8071822639,Ford,120 cv,102 700 km,Utilitário,Manual,Sim,42PU32,,
333,2018,,Diesel,Usados,8073687480,Citroën,102 cv,37 050 km,Utilitário,Manual,Sim,98VN51,,
334,2012,Classe 1,Diesel,Usados,8073285820,Fiat,105 cv,53 500 km,Utilitário,Manual,,,,Nacional
335,2015,,Diesel,Usados,8067400683,Peugeot,68 cv,114 473 km,Citadino,Manual,Sim,60PS17,,
336,2018,,Diesel,Usados,8002265595,Alfa Romeo,120 cv,30 000 km,Utilitário,Manual,,,,Nacional
337,2016,Classe 1,Diesel,Usados,8070754492,Skoda,90 cv,70 362 km,Citadino,Manual,Sim,20-RA-95,,Nacional
338,2015,,Gasolina,Usados,8072184138,Peugeot,82 cv,49 285 km,Citadino,Manual,Sim,71QJ69,,
339,2015,Classe 1,Diesel,Usados,8075430565,VW,110 cv,155 000 km,Carrinha,Manual,,28-QS-63,,Nacional
340,2018,,Gasolina,Usados,8069601267,Opel,110 cv,27 162 km,SUV / TT,Manual,Sim,83VE84,,
341,2016,,Diesel,Usados,8070487670,Renault,110 cv,100 084 km,Carrinha,Manual,Sim,84RT67,,
342,2017,,Diesel,Usados,8070345347,Renault,90 cv,40 432 km,Citadino,Manual,Sim,30TR52,,
343,2015,,Diesel,Usados,8073687595,Nissan,110 cv,89 530 km,SUV / TT,Manual,Sim,54QP12,,
344,2015,,Diesel,Usados,8072521148,Renault,110 cv,110 595 km,SUV / TT,Manual,Sim,47QO18,,
345,2017,,Diesel,Usados,8070345643,Renault,90 cv,58 916 km,Citadino,Manual,Sim,14TR25,,
346,2017,,Diesel,Usados,8071918880,Nissan,90 cv,29 791 km,Citadino,Manual,Sim,57TX72,,
347,2013,,Diesel,Usados,8075644878,Volvo,115 cv,180 000 km,Sedan,,,,,
348,2014,,Diesel,Usados,8070645506,Opel,110 cv,85 153 km,Utilitário,Manual,Sim,57PH98,,
349,2018,,Diesel,Usados,8073273792,Audi,150 cv,34 494 km,Sedan,Manual,Sim,47UL44,,
350,2015,,Diesel,Usados,8071209668,Renault,110 cv,98 866 km,Carrinha,Manual,Sim,55QO58,,
351,2016,Classe 1,Diesel,Usados,8070754492,Skoda,90 cv,70 362 km,Citadino,Manual,Sim,20-RA-95,,Nacional
352,2017,,Diesel,Usados,8071978244,Opel,110 cv,136 072 km,Utilitário,Manual,Sim,28TE18,,
353,2017,,Diesel,Usados,8071467818,Ford,120 cv,38 075 km,Utilitário,Manual,Sim,05TV22,,
354,2017,,Diesel,Usados,8069963593,Opel,95 cv,18 163 km,Citadino,Manual,Sim,90TU84,,
355,2017,,Diesel,Usados,8072066287,Ford,120 cv,27 123 km,Utilitário,Manual,Sim,66TU65,,
356,2015,,Diesel,Usados,8071974111,Renault,110 cv,144 012 km,Utilitário,Manual,Sim,88QM55,,
357,2014,,Diesel,Usados,8075612517,Volvo,190 cv,164 700 km,Utilitário,Manual,,,,Importado
358,2015,,Diesel,Usados,8071906859,Audi,110 cv,91 815 km,Utilitário,Manual,Sim,60QN32,,
359,2018,,Diesel,Usados,8070317839,Fiat,120 cv,76 421 km,Carrinha,Manual,Sim,48VE94,,
360,2018,,Diesel,Usados,8073767329,Citroën,102 cv,38 561 km,Utilitário,Manual,Sim,38VL61,,
361,2014,,Diesel,Usados,8075612517,Volvo,190 cv,164 700 km,Utilitário,Manual,,,,Importado
362,2009,Classe 1,Híbrido (Gasolina),Usados,8067408600,Toyota,100 cv,71 500 km,Sedan,Automática,,,,Nacional
363,2013,,Diesel,Usados,8075644878,Volvo,115 cv,180 000 km,Sedan,,,,,
364,2017,,Diesel,Usados,8071981764,Renault,90 cv,65 404 km,Citadino,Manual,Sim,13TR96,,
365,2017,,Diesel,Usados,8069838960,Opel,95 cv,34 180 km,Citadino,Manual,Sim,65UB20,,
366,2012,Classe 1,Diesel,Usados,8073285820,Fiat,105 cv,53 500 km,Utilitário,Manual,,,,Nacional
367,2018,,Diesel,Usados,8069397064,BMW,116 cv,10 351 km,Utilitário,Manual,Sim,45VA28,Série 1,
368,2016,,Diesel,Usados,8074604159,Audi,150 cv,112 338 km,Sedan,Manual,Sim,29RX27,,
369,2017,,Diesel,Usados,8070443598,Fiat,95 cv,61 753 km,Carrinha,Manual,Sim,17UB76,,
370,2018,,Gasolina,Usados,8072854694,Fiat,69 cv,15 223 km,Pequeno citadino,Automática,,87VU83,,
371,2015,Classe 1,Diesel,Usados,8074056995,Alfa Romeo,120 cv,90 052 km,Utilitário,Manual,,,,Nacional
372,2004,Classe 1,Diesel,Usados,8074858460,Audi,140 cv,495 000 km,Utilitário,Manual,,,,
373,2013,Classe 1,Diesel,Usados,8072926213,Opel,95 cv,203 000 km,Citadino,Manual,,,,Nacional
374,1989,Classe 1,Diesel,Usados,8074828216,Mercedes-Benz,55 cv,381 682 km,Sedan,Manual,,,,
