,Ano de Registo,Combustível,Condição,ID,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Série,Origem
43,2011,Diesel,Usados,8067586295,Audi,177,132000,Carrinha,Automática,,Nacional
44,2014,Diesel,Usados,8066561671,Nissan,109,103482,SUV / TT,Manual,,
45,2013,Diesel,Usados,8064223563,Peugeot,115,100650,SUV / TT,Manual,,Nacional
46,2018,Diesel,Usados,8023993446,Fiat,95,39000,SUV / TT,Manual,,Nacional
47,2016,Diesel,Usados,8072375036,Nissan,110,57492,SUV / TT,Manual,,
48,2014,Diesel,Usados,8075745751,Mercedes-Benz,170,85547,SUV / TT,Automática,Classe GLK,Nacional
49,2018,Diesel,Usados,8073448596,Peugeot,100,113978,Carrinha,Manual,,Nacional
50,2015,Diesel,Usados,8074633256,VW,120,140355,Carrinha,Manual,,Nacional
51,2016,Diesel,Usados,8067742595,Mercedes-Benz,194,117042,Carrinha,Automática,Classe C,
52,2015,Diesel,Usados,8070045833,Mercedes-Benz,136,138000,Carrinha,Automática,Classe C,
53,2016,Diesel,Usados,8071908642,SEAT,110,124708,Carrinha,Manual,,
54,2018,Gasolina,Usados,8047959580,Fiat,69,20000,Cabrio,Automática,,Nacional
55,2017,Gasolina,Usados,8071241004,Renault,90,29785,Citadino,Manual,,Nacional
56,2015,Diesel,Usados,8058599803,Citroën,115,78600,Utilitário,Manual,,
57,2015,Diesel,Usados,8072326365,Mercedes-Benz,109,55022,Carrinha,Manual,Classe CLA,
58,2015,Diesel,Usados,8064029427,VW,150,62596,Carrinha,Manual,,Nacional
59,2017,Híbrido (Gasolina),Usados,8071802186,Porsche,416,37865,SUV / TT,Automática,,Nacional
60,2017,Gasolina,Usados,8036286396,Hyundai,75,33247,Citadino,Manual,,
61,2019,Gasolina,Usados,8040409968,Fiat,69,10000,Cabrio,Manual,,Nacional
62,2017,Diesel,Usados,8065802089,Peugeot,120,78000,Carrinha,Manual,,
63,2017,Diesel,Usados,8071918118,SEAT,110,122935,Carrinha,Manual,,
64,2017,Gasolina,Usados,8074529393,Renault,90,25000,Carrinha,Manual,,Nacional
65,2017,Gasolina,Usados,8073617781,Renault,90,25534,SUV / TT,Manual,,Nacional
66,2010,Gasolina,Usados,8074059511,Fiat,70,92000,Pequeno citadino,Unknown,,
67,2019,Gasolina,Usados,8071207369,Mitsubishi,80,19518,Citadino,Manual,,Nacional
68,2018,Gasolina,Usados,8072647260,Smart,90,14200,Citadino,Automática,,Nacional
69,2019,Gasolina,Usados,8068839744,Mitsubishi,105,21833,SUV / TT,Manual,,Nacional
70,2019,Gasolina,Usados,8004168820,Fiat,69,10000,Pequeno citadino,Manual,,Nacional
71,2015,Diesel,Usados,8070668883,Toyota,144,56321,SUV / TT,Manual,,Nacional
72,2018,Diesel,Usados,8074524542,Audi,150,10996,Sedan,Manual,,
73,2019,Gasolina,Usados,8069250956,Fiat,69,9200,Pequeno citadino,Manual,,Nacional
74,2015,Diesel,Usados,8074499242,Audi,190,75659,Sedan,Manual,,
75,2015,Diesel,Usados,8073763607,BMW,190,40783,Carrinha,Automática,Série 5,
76,2019,Diesel,Usados,8055734419,BMW,190,14442,SUV / TT,Automática,Série X,
77,2017,Diesel,Usados,8026572390,Fiat,95,30000,Monovolume,Manual,,
78,2004,Diesel,Usados,8074607512,Mercedes-Benz,170,300000,Coupé,Automática,Classe CLK,Nacional
79,2015,Diesel,Usados,8070343859,Ford,120,139643,Utilitário,Manual,,
80,2017,Diesel,Usados,8073975023,Mazda,105,40125,SUV / TT,Manual,,Nacional
81,2018,Diesel,Usados,8073430944,Fiat,95,40000,Monovolume,Manual,,Nacional
82,2018,Gasolina,Usados,8073878400,Peugeot,130,31745,SUV / TT,Automática,,
83,2018,Diesel,Usados,8074497331,Citroën,102,22786,Utilitário,Manual,,
84,2011,Diesel,Usados,8073536066,Fiat,95,87921,Pequeno citadino,Manual,,Nacional
85,2006,Diesel,Usados,8064522191,Peugeot,109,198789,Carrinha,Manual,,Nacional
86,2011,Diesel,Usados,8075683301,BMW,313,159791,Sedan,Automática,Série 5,Nacional
87,2011,Diesel,Usados,8075680143,Mercedes-Benz,110,181200,Utilitário,Unknown,,
88,2018,Diesel,Usados,8074502537,Audi,286,16955,Sedan,Automática,,
89,2016,Diesel,Usados,8075745332,BMW,218,60400,Carrinha,Automática,Série 5,Nacional
90,2016,Diesel,Usados,8072649208,Peugeot,75,34300,SUV / TT,Unknown,,Nacional
91,2018,Gasolina,Usados,8004169450,Fiat,69,34000,Pequeno citadino,Manual,,Nacional
92,2018,Diesel,Usados,8040391309,Fiat,95,49000,Monovolume,Manual,,Nacional
93,2018,Diesel,Usados,8074190752,Audi,190,44555,Coupé,Automática,,
94,2016,Diesel,Usados,8072060883,BMW,116,78132,Utilitário,Manual,Série 1,
95,2015,Diesel,Usados,8069399606,Audi,110,69566,Utilitário,Manual,,
96,2015,Diesel,Usados,8073801133,Audi,190,91202,Sedan,Automática,,
97,2019,Gasolina,Usados,8072643777,Fiat,69,22303,Cabrio,Automática,,Nacional
98,2007,Gasolina,Usados,8043562444,MINI,130,80000,Citadino,Manual,,
99,2017,Diesel,Usados,8075630365,Renault,110,83250,Monovolume,Automática,,
100,2019,Diesel,Usados,8062780500,Renault,115,17475,SUV / TT,Manual,,
101,2017,Diesel,Usados,8074489304,VW,110,106546,Carrinha,Manual,,
102,2014,Diesel,Usados,8074862114,Kia,128,116000,Utilitário,Manual,,
103,2015,Diesel,Usados,8070562027,VW,110,145522,Carrinha,Manual,,
104,2015,Diesel,Usados,8070316563,Peugeot,75,57019,Citadino,Manual,,
105,2015,Diesel,Usados,8069227950,VW,75,52635,Citadino,Manual,,
106,2016,Diesel,Usados,8070215450,VW,120,58878,Carrinha,Manual,,
107,2017,Diesel,Usados,8011106265,Fiat,95,59000,Monovolume,Manual,,Nacional
108,2015,Diesel,Usados,8069407450,VW,150,132152,Utilitário,Manual,,
109,2014,Diesel,Usados,8072158714,VW,75,89992,Citadino,Manual,,
110,2007,Diesel,Usados,8075606250,Opel,125,190000,Utilitário,Manual,,
111,2005,Diesel,Usados,8075366686,Land Rover,190,235000,SUV / TT,Unknown,,
112,2019,Híbrido (Gasolina),Usados,8072325960,Volvo,392,4644,SUV / TT,Automática,,
113,2015,Diesel,Usados,8074283919,VW,190,106197,Carrinha,Automática,,
114,2015,Diesel,Usados,8073274518,VW,120,65245,Carrinha,Automática,,
115,2015,Diesel,Usados,8074283219,VW,150,111630,Carrinha,Manual,,
116,2010,Gasolina,Usados,8074954471,Toyota,51,38037,Citadino,Manual,,Nacional
117,2015,Diesel,Usados,8073765034,VW,150,87943,Carrinha,Manual,,
118,2016,Diesel,Usados,8069215198,SEAT,90,87186,Utilitário,Manual,,
119,2017,Diesel,Usados,8070445008,Volvo,235,42432,SUV / TT,Automática,,
120,2009,Diesel,Usados,8074057885,BMW,177,112000,Sedan,Manual,Série 3,Nacional
121,2014,Diesel,Usados,8071297979,VW,90,83473,Utilitário,Manual,,
122,2018,Diesel,Usados,8070976514,Volvo,190,109319,Sedan,Automática,,
123,2015,Diesel,Usados,8070561937,VW,110,147387,Carrinha,Manual,,
124,2016,Diesel,Usados,8063250162,MINI,95,52568,Citadino,Manual,,
125,2015,Gasolina,Usados,8068142637,VW,75,109436,Utilitário,Manual,,
126,2016,Diesel,Usados,8073863482,VW,110,57583,Carrinha,Manual,,
127,2015,Diesel,Usados,8069221812,VW,90,107997,Utilitário,Manual,,
128,2015,Diesel,Usados,8073763792,VW,120,89542,Carrinha,Manual,,
129,2018,Diesel,Usados,8070642336,Volvo,190,37803,Carrinha,Automática,,
130,2016,Diesel,Usados,8072162577,Volvo,120,43097,Utilitário,Manual,,
131,2014,Diesel,Usados,8070635135,Nissan,130,128618,SUV / TT,Manual,,
132,2015,Diesel,Usados,8074507473,VW,150,144813,Carrinha,Automática,,
133,2019,Gasolina,Usados,8067782588,Renault,90,10692,SUV / TT,Manual,,
134,2015,Diesel,Usados,8060301923,Nissan,110,161000,SUV / TT,Manual,,
135,2015,Diesel,Usados,8071982034,Renault,90,96842,Citadino,Manual,,
136,2017,Diesel,Usados,8073763563,Renault,110,39359,Carrinha,Manual,,
137,2017,Diesel,Usados,8072066495,Renault,90,47969,Citadino,Manual,,
138,2016,Gasolina,Usados,8074402708,SEAT,75,32512,Utilitário,Manual,,
139,2019,Diesel,Usados,8075585452,Renault,85,9000,Citadino,Manual,,Nacional
140,2017,Diesel,Usados,8071209531,Renault,110,66462,Carrinha,Manual,,
141,2016,Gasolina,Usados,8073763725,SEAT,75,29770,Utilitário,Manual,,
142,2017,Diesel,Usados,8072162414,Renault,110,48036,Carrinha,Manual,,
143,2016,Gasolina,Usados,8072456123,SEAT,75,42325,Utilitário,Manual,,
144,2018,Gasolina,Usados,8073787770,Smart,90,19772,Coupé,Manual,,
145,2016,Gasolina,Usados,8072324823,SEAT,75,44830,Utilitário,Manual,,
146,2015,Diesel,Usados,8070643093,Renault,90,86091,Citadino,Manual,,
147,2018,Diesel,Usados,8001752050,Fiat,95,35000,Carrinha,Manual,,Nacional
148,2015,Diesel,Usados,8071197856,Renault,90,97319,Citadino,Manual,,
149,2016,Gasolina,Usados,8072521294,SEAT,75,73176,Utilitário,Manual,,
150,2018,Diesel,Usados,8068142395,Renault,110,71328,Sedan,Manual,,
151,2015,Diesel,Usados,8071890862,SEAT,110,139392,Utilitário,Manual,,
152,2016,Gasolina,Usados,8072374623,SEAT,75,33707,Utilitário,Manual,,
153,2016,Diesel,Usados,8073763739,Renault,75,52393,Citadino,Manual,,
154,2015,Diesel,Usados,8068142220,VW,150,106634,Sedan,Automática,,
155,2016,Gasolina,Usados,8074272645,SEAT,75,7497,Utilitário,Manual,,
156,2016,Diesel,Usados,8070338363,Renault,90,122334,Citadino,Manual,,
157,2016,Gasolina,Usados,8073581008,SEAT,75,21982,Utilitário,Manual,,
158,2016,Gasolina,Usados,8074401028,SEAT,75,51745,Utilitário,Manual,,
159,2016,Gasolina,Usados,8072374546,SEAT,75,54658,Utilitário,Manual,,
160,2016,Diesel,Usados,8072326175,Renault,110,90806,Carrinha,Manual,,
161,2016,Gasolina,Usados,8072066254,SEAT,75,29990,Utilitário,Manual,,
162,2015,Diesel,Usados,8072325119,Renault,110,81525,Carrinha,Manual,,
163,2016,Gasolina,Usados,8072521198,SEAT,75,17404,Utilitário,Manual,,
164,2016,Gasolina,Usados,8074491553,SEAT,75,30442,Utilitário,Manual,,
165,2017,Gasolina,Usados,8074189655,SEAT,75,11647,Utilitário,Manual,,
166,2016,Gasolina,Usados,8074402312,SEAT,75,21742,Utilitário,Manual,,
167,2016,Gasolina,Usados,8074400119,SEAT,75,20527,Utilitário,Manual,,
168,2015,Diesel,Usados,8072521176,Renault,90,147732,Citadino,Manual,,
169,2015,Diesel,Usados,8071891671,Peugeot,150,146592,Carrinha,Manual,,
170,2017,Diesel,Usados,8070315567,Peugeot,100,58336,Carrinha,Manual,,
171,2018,Diesel,Usados,8053469956,Fiat,95,39000,Carrinha,Manual,,Nacional
172,2018,Diesel,Usados,8070645030,Peugeot,100,116283,Carrinha,Manual,,
173,2018,Diesel,Usados,8071823058,Peugeot,100,111406,Carrinha,Manual,,
174,2017,Diesel,Usados,8070647770,Peugeot,100,46786,Carrinha,Manual,,
175,2015,Diesel,Usados,8070647084,Peugeot,68,43828,Citadino,Manual,,
176,2015,Diesel,Usados,8073780039,Opel,136,131853,Monovolume,Manual,,
177,2017,Diesel,Usados,8072064127,Opel,95,99370,Citadino,Manual,,
178,2016,Gasolina,Usados,8066063279,BMW,109,100000,Utilitário,Manual,Série 1,
179,2016,Diesel,Usados,8071209596,Renault,75,70917,Citadino,Manual,,
180,2018,Diesel,Usados,8028905916,Fiat,95,30000,Citadino,Manual,,Nacional
181,2017,Diesel,Usados,8072325210,Peugeot,100,53789,Carrinha,Manual,,
182,2017,Diesel,Usados,8070341656,Peugeot,100,48577,Carrinha,Manual,,
183,2017,Diesel,Usados,8072066357,Opel,95,95460,Citadino,Manual,,
184,2018,Diesel,Usados,8070644840,Peugeot,100,119614,Carrinha,Manual,,
185,2018,Diesel,Usados,8070340150,Peugeot,100,133255,Carrinha,Manual,,
186,2018,Diesel,Usados,8071209314,Peugeot,100,106877,Carrinha,Manual,,
187,2016,Gasolina,Usados,8074283131,Porsche,265,69628,Cabrio,Automática,,
188,2015,Diesel,Usados,8072325244,Peugeot,68,84926,Citadino,Manual,,
189,2015,Diesel,Usados,8067400637,Peugeot,68,87129,Citadino,Manual,,
190,2008,Diesel,Usados,8075595697,Audi,143,291222,Carrinha,Unknown,,
191,2017,Diesel,Usados,8053996729,Jeep,120,60000,SUV / TT,Manual,,Nacional
192,2018,Diesel,Usados,8070579792,Peugeot,100,85104,Carrinha,Manual,,
193,2018,Gasolina,Usados,8067954328,Smart,90,10000,Cabrio,Manual,,Nacional
194,2017,Diesel,Usados,8072453658,Peugeot,100,67252,Carrinha,Manual,,
195,2015,Diesel,Usados,8067058550,Opel,95,121628,Citadino,Manual,,
196,2016,Diesel,Usados,8073687628,Peugeot,100,85546,SUV / TT,Manual,,
197,2018,Diesel,Usados,8074605322,Fiat,120,54844,Carrinha,Manual,,
198,2017,Diesel,Usados,8074492247,Opel,110,77561,Utilitário,Manual,,
199,2015,Diesel,Usados,8073274020,Mercedes-Benz,109,79881,SUV / TT,Manual,Classe GLA,
200,2016,Diesel,Usados,8071775549,Opel,110,70050,Utilitário,Manual,,
201,2015,Diesel,Usados,8071206421,Mercedes-Benz,136,95561,Carrinha,Manual,Classe CLA,
202,2015,Diesel,Usados,8075606899,BMW,163,101000,SUV / TT,Manual,Série X,Nacional
203,2015,Diesel,Usados,8072325540,Ford,180,105481,Monovolume,Manual,,
204,2018,Diesel,Usados,8070645345,Opel,95,51356,Citadino,Manual,,
205,2017,Diesel,Usados,8069478541,Ford,120,24097,Utilitário,Manual,,
206,2018,Diesel,Usados,8070635894,Fiat,120,96981,Carrinha,Manual,,
207,2018,Diesel,Usados,8072802841,Mercedes-Benz,204,26000,SUV / TT,Automática,Classe GLC,
208,2017,Gasolina,Usados,8075708522,Ford,125,35000,Utilitário,Manual,,Nacional
209,2015,Diesel,Usados,8069466447,Mercedes-Benz,109,90471,Utilitário,Manual,Classe A,
210,2017,Diesel,Usados,8071777888,Opel,110,31763,Utilitário,Manual,,
211,2016,Diesel,Usados,8074412178,Opel,110,50783,Utilitário,Manual,,
212,2016,Diesel,Usados,8069465844,Opel,110,59854,Utilitário,Manual,,
213,2016,Diesel,Usados,8073763648,Mercedes-Benz,116,64253,Carrinha,Manual,Classe C,
214,2015,Diesel,Usados,8073801244,BMW,190,60259,Carrinha,Automática,Série 5,
215,2015,Diesel,Usados,8064928480,Land Rover,150,76579,SUV / TT,Automática,,
216,2015,Diesel,Usados,8071208441,BMW,116,145139,Monovolume,Manual,Série 2,
217,2017,Diesel,Usados,8071920084,Opel,95,122534,Citadino,Manual,,
218,2018,Diesel,Usados,8066567011,VW,150,23643,Carrinha,Automática,,
219,2015,Diesel,Usados,8069841111,Mercedes-Benz,204,52111,SUV / TT,Automática,Classe GLC,
220,2016,Diesel,Usados,8071917652,Mercedes-Benz,150,110791,Sedan,Automática,Classe E,
221,2018,Diesel,Usados,8037029399,Fiat,69,55000,Citadino,Manual,,Nacional
222,2017,Diesel,Usados,8069840852,Ford,120,84501,Utilitário,Manual,,
223,2015,Diesel,Usados,8073765100,Fiat,95,93915,Monovolume,Manual,,
224,2015,Diesel,Usados,8073763588,BMW,150,132585,Sedan,Manual,Série 4,
225,2018,Diesel,Usados,8073763986,Mercedes-Benz,109,44866,Carrinha,Manual,Classe CLA,
226,2017,Diesel,Usados,8072065578,Opel,95,91972,Citadino,Manual,,
227,2015,Diesel,Usados,8072375252,Mercedes-Benz,109,62670,Utilitário,Manual,Classe A,
228,2015,Diesel,Usados,8071893931,BMW,190,98274,Carrinha,Automática,Série 5,
229,2015,Híbrido (Diesel),Usados,8070341193,Mercedes-Benz,231,82283,Carrinha,Automática,Classe E,
230,2018,Diesel,Usados,8073767919,Mercedes-Benz,109,41490,Carrinha,Manual,Classe CLA,
231,2015,Diesel,Usados,8073273896,Mercedes-Benz,116,107654,Carrinha,Manual,Classe C,
232,2015,Diesel,Usados,8073780308,Mercedes-Benz,170,66732,Carrinha,Manual,Classe C,
233,2017,Diesel,Usados,8072065368,BMW,116,61478,Utilitário,Manual,Série 1,
234,2015,Diesel,Usados,8070339919,SEAT,110,96786,Utilitário,Manual,,
235,2016,Diesel,Usados,8072158819,BMW,95,96948,Utilitário,Manual,Série 1,
236,2015,Diesel,Usados,8070313291,Renault,110,140585,Monovolume,Manual,,
237,2018,Diesel,Usados,8075581441,Mercedes-Benz,109,38604,Utilitário,Manual,Classe A,Nacional
238,2015,Diesel,Usados,8073800257,Audi,150,52688,Coupé,Manual,,
239,2015,Diesel,Usados,8070422546,MINI,95,168000,Citadino,Manual,,
240,2015,Diesel,Usados,8071205220,VW,75,71754,Citadino,Manual,,
241,2015,Diesel,Usados,8071976139,BMW,190,112417,Carrinha,Automática,Série 5,
242,2015,Diesel,Usados,8070351173,BMW,143,100544,Sedan,Automática,Série 3,
243,2016,Gasolina,Usados,8071908669,SEAT,75,22267,Utilitário,Manual,,
244,2015,Diesel,Usados,8070968667,Audi,110,10299,Utilitário,Manual,,
245,2011,Híbrido (Gasolina),Usados,8068296688,Honda,88,104980,Utilitário,Automática,,Nacional
246,2015,Diesel,Usados,8069217007,VW,110,113181,Utilitário,Manual,,
247,2015,Diesel,Usados,8070893153,Peugeot,75,68300,Carrinha,Manual,,Nacional
248,2015,Diesel,Usados,8069718762,Audi,150,84120,Coupé,Manual,,
249,2015,Diesel,Usados,8073800210,Audi,150,28962,Coupé,Manual,,
250,2018,Gasolina,Usados,8015321802,Fiat,69,37000,Citadino,Manual,,Nacional
251,2015,Diesel,Usados,8072809859,BMW,190,104649,Carrinha,Automática,Série 5,
252,2015,Diesel,Usados,8069464770,SEAT,75,48013,Utilitário,Manual,,
253,2015,Diesel,Usados,8074604843,BMW,190,118307,Carrinha,Automática,Série 5,
254,2014,Diesel,Usados,8073802027,Mercedes-Benz,109,77543,Utilitário,Automática,Classe B,
255,2015,Diesel,Usados,8074372860,BMW,150,97061,Carrinha,Manual,Série 3,
256,2015,Diesel,Usados,8071208519,BMW,150,87880,Carrinha,Automática,Série 5,
257,2016,Diesel,Usados,8070489236,Audi,190,92117,Sedan,Automática,,
258,2015,Diesel,Usados,8071460593,BMW,190,64891,Carrinha,Automática,Série 5,
259,2018,Gasolina,Usados,8054334532,Fiat,69,49000,Pequeno citadino,Manual,,Nacional
260,2015,Diesel,Usados,8071822639,Ford,120,102700,Utilitário,Manual,,
261,2018,Diesel,Usados,8073687480,Citroën,102,37050,Utilitário,Manual,,
262,2015,Diesel,Usados,8067400683,Peugeot,68,114473,Citadino,Manual,,
263,2018,Diesel,Usados,8002265595,Alfa Romeo,120,30000,Utilitário,Manual,,Nacional
264,2016,Diesel,Usados,8070754492,Skoda,90,70362,Citadino,Manual,,Nacional
265,2015,Gasolina,Usados,8072184138,Peugeot,82,49285,Citadino,Manual,,
266,2015,Diesel,Usados,8075430565,VW,110,155000,Carrinha,Manual,,Nacional
267,2018,Gasolina,Usados,8069601267,Opel,110,27162,SUV / TT,Manual,,
268,2016,Diesel,Usados,8070487670,Renault,110,100084,Carrinha,Manual,,
269,2017,Diesel,Usados,8070345347,Renault,90,40432,Citadino,Manual,,
270,2015,Diesel,Usados,8073687595,Nissan,110,89530,SUV / TT,Manual,,
271,2015,Diesel,Usados,8072521148,Renault,110,110595,SUV / TT,Manual,,
272,2017,Diesel,Usados,8070345643,Renault,90,58916,Citadino,Manual,,
273,2017,Diesel,Usados,8071918880,Nissan,90,29791,Citadino,Manual,,
274,2013,Diesel,Usados,8075644878,Volvo,115,180000,Sedan,Unknown,,
275,2014,Diesel,Usados,8070645506,Opel,110,85153,Utilitário,Manual,,
276,2018,Diesel,Usados,8073273792,Audi,150,34494,Sedan,Manual,,
277,2015,Diesel,Usados,8071209668,Renault,110,98866,Carrinha,Manual,,
278,2017,Diesel,Usados,8071978244,Opel,110,136072,Utilitário,Manual,,
279,2017,Diesel,Usados,8071467818,Ford,120,38075,Utilitário,Manual,,
280,2017,Diesel,Usados,8069963593,Opel,95,18163,Citadino,Manual,,
281,2017,Diesel,Usados,8072066287,Ford,120,27123,Utilitário,Manual,,
282,2015,Diesel,Usados,8071974111,Renault,110,144012,Utilitário,Manual,,
283,2014,Diesel,Usados,8075612517,Volvo,190,164700,Utilitário,Manual,,Importado
284,2015,Diesel,Usados,8071906859,Audi,110,91815,Utilitário,Manual,,
285,2018,Diesel,Usados,8070317839,Fiat,120,76421,Carrinha,Manual,,
286,2018,Diesel,Usados,8073767329,Citroën,102,38561,Utilitário,Manual,,
287,2009,Híbrido (Gasolina),Usados,8067408600,Toyota,100,71500,Sedan,Automática,,Nacional
288,2017,Diesel,Usados,8071981764,Renault,90,65404,Citadino,Manual,,
289,2017,Diesel,Usados,8069838960,Opel,95,34180,Citadino,Manual,,
290,2018,Diesel,Usados,8069397064,BMW,116,10351,Utilitário,Manual,Série 1,
291,2016,Diesel,Usados,8074604159,Audi,150,112338,Sedan,Manual,,
292,2017,Diesel,Usados,8070443598,Fiat,95,61753,Carrinha,Manual,,
293,2018,Gasolina,Usados,8072854694,Fiat,69,15223,Pequeno citadino,Automática,,
294,2015,Diesel,Usados,8074056995,Alfa Romeo,120,90052,Utilitário,Manual,,Nacional
295,2004,Diesel,Usados,8074858460,Audi,140,495000,Utilitário,Manual,,
296,2013,Diesel,Usados,8072926213,Opel,95,203000,Citadino,Manual,,Nacional
297,1989,Diesel,Usados,8074828216,Mercedes-Benz,55,381682,Sedan,Manual,,
298,2005,Diesel,Usados,8074232912,Volvo,110,240000,Carrinha,Unknown,,
299,2011,Diesel,Usados,8075540577,Audi,143,82080,Carrinha,Manual,,Nacional
300,2015,Diesel,Usados,8070777927,BMW,116,93100,Utilitário,Manual,Série 1,
301,2018,Gasolina,Usados,8065862500,Porsche,420,7000,Cabrio,Automática,911 (Todos),
302,2010,Diesel,Usados,8074832265,Toyota,117,160000,Monovolume,Manual,,
303,2018,Diesel,Usados,8070355597,Alfa Romeo,120,40000,Utilitário,Automática,,Nacional
304,2005,Diesel,Usados,8074852862,SEAT,75,242000,Citadino,Unknown,,
305,2017,Diesel,Usados,8075362444,Mercedes-Benz,194,96800,Carrinha,Automática,Classe E,
306,2009,Gasolina,Usados,8053397314,Nissan,115,117060,SUV / TT,Manual,,Nacional
307,2015,Diesel,Usados,8073885799,Volvo,114,72900,Utilitário,Manual,,Importado
308,2019,Diesel,Usados,8069282734,Volvo,150,12076,Carrinha,Manual,,Nacional
309,2005,Diesel,Usados,8074056921,Smart,41,157851,Pequeno citadino,Unknown,,
310,2016,Diesel,Usados,8064374140,Jaguar,180,41300,Sedan,Automática,,Nacional
311,2017,Diesel,Usados,8066209746,Citroën,120,22650,Utilitário,Automática,,
312,2002,Diesel,Usados,8061089961,Hyundai,112,240000,Monovolume,Manual,,Nacional
313,2009,Diesel,Usados,8073887353,Ford,140,228511,Carrinha,Manual,,Nacional
314,2019,Diesel,Usados,8069238351,Fiat,95,12000,SUV / TT,Manual,,Nacional
315,2014,Diesel,Usados,8074057195,BMW,200,103000,Coupé,Automática,Série 1,
316,2015,Diesel,Usados,8074216755,BMW,190,88790,Carrinha,Automática,Série 5,Nacional
317,2006,Gasolina,Usados,8074217647,Smart,61,99000,Pequeno citadino,Automática,,Nacional
318,2017,Diesel,Usados,8067893570,Peugeot,120,110000,SUV / TT,Manual,,Importado
319,2015,Diesel,Usados,8059473697,Mercedes-Benz,80,110000,Utilitário,Automática,Classe B,
320,2014,Eléctrico,Usados,8075174087,Tesla,367,115000,Sedan,Automática,,
